Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages
b'alcatel',b'alcatel 3T 10',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q1'",b'260 x 156.6 x 9 mm (10.24 x 6.17 x 0.35 in)',b'440 g (15.52 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.0 inches, 290.0 cm2 (~71.2% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~151 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'2 MP, f/2.8, 1/5"", 1.65\xc2\xb5m'",b'720p@30fps',"b'2 MP, f/2.8, 1/5"", 1.65\xc2\xb5m'",b'720p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Non-removable Li-Ion 4080 mAh battery',"b'Prime Black, Midnight Blue'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3L',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q1'",b'151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in)',b'145 g (5.11 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB (uses shared SIM slot)'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted, market dependent), accelerometer, proximity'",b'Li-Ion 3500 mAh battery',"b'Anthracite black, Metallic Blue'",b'Asahi Dragontrail Glass',b'Qualcomm SDM429 Snapdragon 429',b'Quad-core 1.8 GHz Cortex-A53',b'Adreno 504',"b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m 5 MP, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',b'Yes (market dependent)',b'5034D',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 3 (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-3-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q1'",b'151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in)',b'145 g (5.11 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB (uses shared SIM slot)'","b'32 GB, 3 GB RAM'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Li-Ion 3500 mAh battery',"b'Blue-purple gradient, Black-blue gradien'",b'Asahi Dragontrail Glass',b'Qualcomm SDM439 Snapdragon 439 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53)',b'Adreno 505',"b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m 5 MP, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',b'Yes (market dependent)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1s',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-1s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, Q1'",b'147.8 x 70.7 x 8.6 mm (5.82 x 2.78 x 0.34 in)',b'146 g (5.15 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~74.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (uses shared SIM slot)'","b'32 GB, 3 GB RAM'","b'5 MP, f/2.2, 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Li-Ion 3060 mAh battery',"b'Blue, Black, Rose, Gold'",,b'Unisoc SC9863A',b'Octa-core 1.6 GHz Cortex-A55',,"b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m 2 MP, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1x (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-1x-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 40(2300) - 5008T'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, January'","b'Available. Released 2019, Q1'",b'146.4 x 68.8 x 8.3 mm (5.76 x 2.71 x 0.33 in)',b'130 g (4.59 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~77.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'16 GB, 2 GB RAM'",b'5 MP',b'1080p@30fps',,b'720p',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1900 / 2100 - 5059X/Y/D/J/T/I',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted, 5008T only), accelerometer, proximity'","b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700) - 5008Y'","b'Pebble Blue, Pebble Black'",,b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'13 MP 2 MP',"b'LED flash, HDR'",b'LED flash',b'No',,"b'3,0000 mAh battery'",b'About 120 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 1c (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-1c-2019.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,b'HSPA 42.2/5.76 Mbps',"b'2019, January'","b'Available. Released 2019, Q1'",b'136.6 x 65.3 x 10 mm (5.38 x 2.57 x 0.39 in)',b'148 g (5.22 oz)',b'Single SIM (Nano-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 64.5 cm2 (~72.3% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 32 GB'","b'8 GB, 1 GB RAM'",b'5 MP',b'720p@30fps',b'2 MP',b'720p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1900 / 2100',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'2000 mAh battery',"b'Enamel Blue, Blush Pink, Volcano Black'",,b'Spreadtrum SC7731E',b'Quad-core 1.3 GHz Cortex-A53',,,"b'LED flash, HDR'",b'LED flash',,,,b'About 70 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel Tetra',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-tetra.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 14(700)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, September'","b'Available. Released 2018, September'",b'142.5 x 71.9 x 9.4 mm (5.61 x 2.83 x 0.37 in)',b'150 g (5.29 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'16 GB, 2 GB RAM'","b'5 MP, AF'",b'720p@30fps',b'2 MP',b'720p@30fps',b'Yes',b'Yes',b'Removable Li-Ion 2050 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Stealth Black',b'Asahi Dragontrail Glass',b'Mediatek MT6739WM (28 nm)',b'Quad-core 1.1 GHz Cortex-A53',b'PowerVR GE8100',,"b'LED flash, HDR'",,,,,b'About 50 USD',,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 7',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-7-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 66(1700/2100), 71(600)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, August'","b'Available. Released 2018, August'",b'162.1 x 75 x 8.6 mm (6.38 x 2.95 x 0.34 in)',b'175 g (6.17 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 93.8 cm2 (~77.1% screen-to-body ratio)'","b'1080 x 2180 pixels, 18:9 ratio (~402 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'32 GB, 2 RAM'","b'8 MP, f/2.8, 1/4"", 1.12 \xce\xbcm'",b'1080p@30fps (gyro-EIS)',,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4000 mAh battery',b'Black',b'Asahi Glass',b'Mediatek MT6763T Helio P23 (16 nm)',b'Octa-core 2.5 GHz Cortex-A53',b'Mali-G71 MP2',"b'12 MP, f/2.2, 27mm (wide), 1/2.8"", 1.25 \xce\xbcm, PDAF 2 MP, f/2.4, 1/5"", 1.75 \xce\xbcm, depth sensor'","b'Dual-LED dual-tone flash, HDR, panorama'",b'LED flash',,b'6062W',,b'About 180 USD',b'Yes',b'Fast battery charging 10W (Pump Express 2.0+)',b'Up to 700 h (3G)',b'Up to 28 h (3G)',,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 5v',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-5v.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, July'","b'Available. Released 2018, August'",b'153.7 x 74.5 x 8.5 mm (6.05 x 2.93 x 0.33 in)',b'158 g (5.57 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.7 cm2 (~84.5% screen-to-body ratio)'",b'720 x 1500 pixels (~268 ppi density)',b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'32 GB, 3 RAM'","b'8 MP, f/2.8, 1/4"", 1.12 \xce\xbcm'",b'1080p@30fps (gyro-EIS)',,b'720p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4000 mAh battery',"b'Black, Blue'",b'Asahi Dragontrail Glass',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'12 MP, f/2.2, 1/2.8"", 1.25 \xce\xbcm, PDAF 2 MP, f/2.4, 1/5"", 1.75 \xce\xbcm, depth sensor'","b'Dual-LED dual-tone flash, HDR, panorama'",b'LED flash',b'Yes',b'5060D',,b'About 180 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,
b'alcatel',b'alcatel 5',b'https://cdn2.gsmarena.com/vv/bigpic/alcatel-5-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - 5086D/Y',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700) - 5086D/Y'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, February'","b'Available. Released 2018, February'",b'152.3 x 71.1 x 8.4 mm (6.00 x 2.80 x 0.33 in)',b'144 g (5.08 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 83.8 cm2 (~77.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 7.1 (Nougat)',"b'microSD, up to 128 GB'","b'32 GB, 3 GB RAM (5086D/Y) or 16 GB, 2 GB RAM (5086A)'","b'12 MP, f/2.2, 1/2.9"", 1.25\xc2\xb5m, AF'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5086A',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'","b'FM radio, wireless FM'","b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700) - 5086A'","b'Metallic Gold, Metallic Black'",,b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',"b'13 MP, f/2.0, 1.4 \xce\xbcm 5 MP, depth sensor'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Yes (5086Y only)',b'5086D',b'Non-removable Li-Ion 3000 mAh battery',b'About 230 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,
