Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance
b'apple',b'Apple iPad Air (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-air3-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - A2153'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat16 1024/150 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in)',b'456 g (Wi-Fi) / 464 g (3G/LTE) (1.01 lb)',"b'Nano-SIM, Electronic SIM card (eSIM)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'10.5 inches, 341.4 cm2 (~78.3% screen-to-body ratio)'","b'1668 x 2224 pixels, 4:3 ratio (~265 ppi density)'",b'iOS 12.1.3',b'No',"b'64/256 GB, 3 GB RAM'","b'8 MP, f/2.4, 31mm (standard), 1.12\xc2\xb5m, AF'",b'1080p@30fps',"b'7 MP, f/2.2, 31mm (standard)'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2123'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, EDR'","b'Yes, with A-GPS, GLONASS (3G/LTE model only)'",b'No',"b'2.0, proprietary reversible connector'","b'Fingerprint (front-mounted), accelerometer, gyro, compass, barometer'",b'Stylus support',"b'Space Gray, Silver, Gold'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12 Bionic (7 nm)',b'Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (4-core graphics)',,b'HDR',b'HDR',,"b'A2153, A2123, A2154, A2152'",b'Non-removable Li-Po 8134 mAh battery (30.8 Wh)',b'About 550 EUR',,,,b'Up to 10 h (multimedia)',,,,,,,,,,b'0.99 W/kg (body)',,,,,,b'1.19 W/kg (body)',,,,,,,,
b'apple',b'Apple iPad mini (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-mini-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - A2126'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat16 1024/150 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'203.2 x 134.8 x 6.1 mm (8.0 x 5.31 x 0.24 in)',b'300.5 g (Wi-Fi) / 308.2 g (3G/LTE) (10.86 oz)',"b'Nano-SIM, Electronic SIM card (eSIM)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'7.9 inches, 193.3 cm2 (~70.6% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~324 ppi density)'",b'iOS 12.1.3',b'No',"b'64/256 GB, 3 GB RAM'","b'8 MP, f/2.4, 32mm (standard), 1.12\xc2\xb5m, AF'",b'1080p@30fps',"b'7 MP, f/2.2, 31mm (standard)'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2124'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, EDR'","b'Yes, with A-GPS, GLONASS (Wi\xe2\x80\x91Fi + Cellular model only)'",b'No',"b'2.0, proprietary reversible connector'","b'Fingerprint (front-mounted), accelerometer, gyro, compass, barometer'",b'Stylus support',"b'Space Gray, Silver, Gold'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12 Bionic (7 nm)',b'Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (4-core graphics)',,b'HDR',b'HDR',,"b'A2126, A2124, A2133, A2125'",b'Non-removable Li-Ion 5124 mAh battery (19.1 Wh)',b'About 450 EUR',,,,b'Up to 10 h (multimedia)',,,,,,,,,,b'0.99 W/kg (body)',,,,,,b'1.19 W/kg (body)',,,,,,,,
b'apple',b'Apple iPad Pro 12.9 (2018)',b'https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2018.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - A2014'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2018, October'","b'Available. Released 2018, November'",b'280.6 x 214.9 x 5.9 mm (11.05 x 8.46 x 0.23 in)',"b'631 g (Wi-Fi), 633 g (LTE) (1.39 lb)'","b'Nano-SIM, Electronic SIM card (eSIM)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'12.9 inches, 515.3 cm2 (~85.4% screen-to-body ratio)'","b'2048 x 2732 pixels, 4:3 ratio (~265 ppi density)'","b'iOS 12, upgradable to iOS 12.3'",b'No',"b'1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM'","b'12 MP, f/1.8, 29mm (standard), 1/3"", 1.22\xc2\xb5m, PDAF'","b'2160p@30/60fps, 1080p@30/60/120fps, 720p@240fps'","b'7 MP, f/2.2, 32mm (standard)'",b'1080p@30fps',"b'Yes, with stereo speakers (4 speakers)'",b'No',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi\xe2\x80\x91Fi + Cellular model only)'",b'No',"b'3.1, Type-C 1.0 reversible connector; magnetic connector'","b'Face ID, accelerometer, gyro, proximity, barometer'",b'CDMA2000 1xEV-DO',"b'Silver, Space Gray'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12X Bionic (7 nm)',b'Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (7-core graphics)',,"b'Quad-LED dual-tone flash, HDR'","b'Face detection, HDR, panorama'",,"b'A2014, A1895, A1876, A1983'",b'Non-removable Li-Po 9720 mAh battery (36.71 Wh)',b'About 1100 EUR',,b'Power Bank/Reverse charging',,,,,,,,,,,,b'0.99 W/kg (body)',,,,,,b'1.19 W/kg (body)',,,,,,,,
b'apple',b'Apple iPad Pro 11',b'https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2018.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - A2013'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2018, October'","b'Available. Released 2018, November'",b'247.6 x 178.5 x 5.9 mm (9.75 x 7.03 x 0.23 in)',b'468 g (1.03 lb)',"b'Nano-SIM, Electronic SIM card (eSIM)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'11.0 inches, 366.5 cm2 (~82.9% screen-to-body ratio)'",b'1668 x 2388 pixels (~265 ppi density)',"b'iOS 12, upgradable to iOS 12.3'",b'No',"b'1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM'","b'12 MP, f/1.8, 29mm (standard), 1/3"", 1.22\xc2\xb5m, PDAF'","b'2160p@30/60fps, 1080p@30/60/120fps, 720p@240fps'","b'7 MP, f/2.2, 32mm (standard)'",b'1080p@30fps',"b'Yes, with stereo speakers (4 speakers)'",b'No',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS (Wi\xe2\x80\x91Fi + Cellular model only)'",b'No',"b'3.1, Type-C 1.0 reversible connector; magnetic connector'","b'Face ID, accelerometer, gyro, proximity, barometer'",b'CDMA2000 1xEV-DO',"b'Silver, Space Gray'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12X Bionic (7 nm)',b'Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (7-core graphics)',,"b'Quad-LED dual-tone flash, HDR'","b'Face detection, HDR, panorama'",,"b'A2013, A1934, A1980, A1979'",b'Non-removable Li-Po 7812 mAh battery (29.45 Wh)',b'About 880 EUR',,b'Power Bank/Reverse charging',,,,,,,,,,,,b'0.99 W/kg (body)',,,,,,b'1.19 W/kg (body)',,,,,,,,
b'apple',b'Apple iPhone XS Max',b'https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-max-new1.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2101'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2018, September'","b'Available. Released 2018, September'",b'157.5 x 77.4 x 7.7 mm (6.20 x 3.05 x 0.30 in)',b'208 g (7.34 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - for China'","b'OLED capacitive touchscreen, 16M colors'","b'6.5 inches, 102.9 cm2 (~84.4% screen-to-body ratio)'","b'1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)'","b'iOS 12, upgradable to iOS 12.3'",b'No',"b'64/256/512 GB, 4 GB RAM'",,"b'2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.'",,b'1080p@60fps',"b'Yes, with stereo speakers'",b'No',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',"b'2.0, proprietary reversible connector'","b'Face ID, accelerometer, gyro, proximity, compass, barometer'",b'CDMA2000 1xEV-DO',"b'Space Gray, Silver, Gold'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12 Bionic (7 nm)',b'Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (4-core graphics)',"b'12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0\xc2\xb5m, PDAF, OIS, 2x optical zoom'","b'Quad-LED dual-tone flash, HDR (photo/panorama)'",b'HDR',b'Yes',"b'A1921, A2101, A2102, A2104'",b'Non-removable Li-Ion 3174 mAh battery',b'About 1250 EUR',,b'Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging',,b'Up to 25 h (3G)',,,"b'Front/back glass, stainless steel frame'",b'Up to 65 h',,,,,,b'0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body)',"b'Contrast ratio: Infinite (nominal), 4.516 (sunlight)'",b'Photo / Video',b'Voice 70dB / Noise 74dB / Ring 84dB',b'Noise -93.7dB / Crosstalk -82.8dB',b'Endurance rating 79h',b'1.16 W/kg (head) \xc2\xa0 \xc2\xa0 1.17 W/kg (body)',,,,,,,"b'7 MP, f/2.2, 32mm (standard) TOF 3D camera'",b'Basemark OS II 2.0: 4915'
b'apple',b'Apple iPhone XS',b'https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-new.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100) - A2097'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2018, September'","b'Available. Released 2018, September'",b'143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in)',b'177 g (6.24 oz)',"b'Nano-SIM, Electronic SIM card (eSIM)'","b'OLED capacitive touchscreen, 16M colors'","b'5.8 inches, 84.4 cm2 (~82.9% screen-to-body ratio)'","b'1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)'","b'iOS 12, upgradable to iOS 12.3'",b'No',"b'64/256/512 GB, 4 GB RAM'",,"b'2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.'",,b'1080p@60fps',"b'Yes, with stereo speakers'",b'No',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',"b'2.0, proprietary reversible connector'","b'Face ID, accelerometer, gyro, proximity, compass, barometer'",b'CDMA2000 1xEV-DO',"b'Space Gray, Silver, Gold'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12 Bionic (7 nm)',b'Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (4-core graphics)',"b'12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0\xc2\xb5m, PDAF, OIS, 2x optical zoom'","b'Quad-LED dual-tone flash, HDR (photo/panorama)'",b'HDR',b'Yes',"b'A2097, A1920, A2100, A2098'",b'Non-removable Li-Ion 2658 mAh battery (10.13 Wh)',b'About 1150 EUR',,b'Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging',,b'Up to 20 h (3G)',,,"b'Front/back glass, stainless steel frame'",b'Up to 60 h',,,,,,b'0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body)',"b'Contrast ratio: Infinite (nominal), 5.171 (sunlight)'",b'Photo / Video',b'Voice 71dB / Noise 75dB / Ring 78dB',b'Noise -93.7dB / Crosstalk -82.8dB',b'Endurance rating 72h',b'1.19 W/kg (head) \xc2\xa0 \xc2\xa0 1.18 W/kg (body)',,,,,,,"b'7 MP, f/2.2, 32mm (standard) TOF 3D camera'",b'Basemark OS II 2.0: 6060'
b'apple',b'Apple iPhone XR',b'https://cdn2.gsmarena.com/vv/bigpic/apple-iphone-xr-new.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100), 71(600)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2018, September'","b'Available. Released 2018, October'",b'150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in)',b'194 g (6.84 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - for China'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio)'","b'828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)'","b'iOS 12, upgradable to iOS 12.3'",b'No',"b'64/128/256 GB, 3 GB RAM'","b'12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, PDAF, OIS'","b'2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.'","b'7 MP, f/2.2, 32mm (standard)'",b'1080p@60fps',"b'Yes, with stereo speakers'",b'No',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',"b'2.0, proprietary reversible connector'","b'Face ID, accelerometer, gyro, proximity, compass, barometer'",b'CDMA2000 1xEV-DO',"b'Black, Red, Yellow, Blue, Coral, White'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A12 Bionic (7 nm)',b'Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest)',b'Apple GPU (4-core graphics)',,"b'Quad-LED dual-tone flash, HDR (photo/panorama)'",b'HDR',b'Yes',"b'A2105, A1984, A2107, A2108, A2106'",b'Non-removable Li-Ion 2942 mAh battery',b'About 850 EUR',,b'Fast battery charging 15W: 50% in 30 min USB Power Delivery 2.0 Qi wireless charging',,b'Up to 25 h (3G)',,,"b'Front/back glass, aluminum frame (7000 series)'",b'Up to 65 h',,,,,,b'0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body)',,,,,b'Endurance rating 78h',b'1.13 W/kg (head) \xc2\xa0 \xc2\xa0 1.16 W/kg (body)',,,,,,,,
b'apple',b'Apple Watch Series 4',b'https://cdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-steel.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 2100 / 800 - Europe, Australia'","b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850) - Europe, Australia'","b'HSPA, LTE'","b'2018, September'","b'Available. Released 2018, September'",b'44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in)',b'48 g (1.69 oz)',b'Electronic SIM card (eSIM)',"b'LTPO OLED capacitive touchscreen, 16M colors'","b'1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)'",b'448 x 368 pixels (~326 ppi density)',"b'watchOS 5.0, upgradable to 5.2.1'",b'No',b'16 GB',,,,,b'Yes',b'No',"b'HSDPA 850 / 1700(AWS) / 1900 / 800 - USA, LATAM, Canada'",b'Wi-Fi 802.11 b/g/n',"b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',b'No',"b'Accelerometer, gyro, heart rate (2nd gen), barometer'",b'HSDPA 2100 - China',"b'Space Black, Silver, Gold'",b'Sapphire crystal glass',b'Apple S4',b'Dual-core',b'PowerVR',,,,b'Yes',,b'Non-removable Li-Ion battery',b'About 700 EUR',,,b'Up to 18 h (mixed usage)',,,,b'Stainless Steel frame; all-ceramic/sapphire crystal back',,,,,,,,,,,,,,,,,,,,,
b'apple',b'Apple Watch Series 4 Aluminum',b'https://cdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-aluminum.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 2100 / 800 - Europe, Australia'","b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850) - Europe, Australia'","b'HSPA, LTE'","b'2018, September'","b'Available. Released 2018, September'",b'44 x 38 x 10.7 mm (1.73 x 1.50 x 0.42 in)',b'36.7 g (1.31 oz)',b'Electronic SIM card (eSIM)',"b'LTPO OLED capacitive touchscreen, 16M colors'","b'1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)'",b'448 x 368 pixels (~326 ppi density)',"b'watchOS 5.0, upgradable to 5.2.1'",b'No',b'16 GB',,,,,b'Yes',b'No',"b'HSDPA 850 / 1700(AWS) / 1900 / 800 - USA, LATAM, Canada'",b'Wi-Fi 802.11 b/g/n',"b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'No',b'No',"b'Accelerometer, gyro, heart rate (2nd gen), barometer'",b'HSDPA 2100 - China',"b'Silver, Gold, Space Gray'",b'Ion-X strengthened glass',b'Apple S4',b'Dual-core',b'PowerVR',,,,b'Yes',,b'Non-removable Li-Ion battery',b'About 430 EUR',,,b'Up to 18 h (mixed usage)',,,,b'Aluminum frame; all-ceramic/sapphire crystal back',,,,,,,,,,,,,,,,,,,,,
b'apple',b'Apple iPad 9.7 (2018)',b'https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2018.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1954'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2018, March'","b'Available. Released 2018, March'",b'240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in)',b'469 g (Wi-Fi) / 478 g (LTE) (1.05 lb)',"b'Nano-SIM, Electronic SIM card (eSIM)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~264 ppi density)'","b'iOS 11.3, upgradable to iOS 12.3'",b'No',"b'32/128 GB, 2 GB RAM'","b'8 MP, f/2.4, 31mm (standard), 1.12\xc2\xb5m, AF'","b'1080p@30fps, 720p@120fps, HDR, stereo sound rec.'","b'1.2 MP, f/2.2, 31mm (standard)'",b'720p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'CDMA 800 / 1900',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.2, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS (Wi\xe2\x80\x91Fi + Cellular model only)'",b'No',"b'2.0, proprietary reversible connector'","b'Fingerprint (front-mounted), accelerometer, gyro, compass, barometer'",b'CDMA2000 1xEV-DO',"b'Silver, Gold, Space Gray'","b'Scratch-resistant glass, oleophobic coating'",b'Apple A10 Fusion (16 nm)',b'Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr)',b'PowerVR Series7XT Plus (six-core graphics)',,b'HDR',"b'Face detection, HDR, panorama'",,"b'A1893, A1954'",b'Non-removable Li-Po 8827 mAh battery (32.9 Wh)',b'About 350 EUR',,,,b'Up to 10 h (multimedia)',,,"b'Front glass, aluminum body'",,,,,,,b'0.99 W/kg (body)',,,,,,b'1.18 W/kg (body)',,,,,,,,
