Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'asus',b'Asus Zenfone 6 ZS630KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - A version',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - A version'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, May'","b'Available. Released 2019, May'",b'159.1 x 75.4 x 9.2 mm (6.26 x 2.97 x 0.36 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.4 inches, 100.5 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'Android 9.0 (Pie), ZenUI 6'","b'microSD, up to 1 TB (dedicated slot)'","b'256 GB, 8 GB RAM or 64/128 GB, 6 GB RAM'",,"b'2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)'",,"b'2160p@30/60fps, 1080p@30/60/240fps, 1080p@30fps, 720p@480fps; gyro-EIS (except @240/480fps)'","b'Yes, with stereo speakers'",b'Yes',"b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - B version, C version'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 26(850), 28(700), 38(2600), 39(1900), 41(2500), 46 - B version'","b'Midnight Black, Twilight Silver'",b'Corning Gorilla Glass 6',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',"b'48 MP, f/1.8, 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF/Laser AF 13 MP, f/2.4, 11mm (ultrawide)'","b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'Dual-LED flash, HDR, auto panorama (motorized rotation)'",b'Yes',"b'ASUS_I01WD, ZS630KL'",b'Non-removable Li-Po 5000 mAh battery',b'About 500 EUR',,b'Fast battery charging 18W (Quick Charge 4.0) Power bank/Reverse charging 10W',b'Up to 624 h (3G)',b'Up to 33 h (3G)',,,"b'Front glass (Gorilla Glass 6), back glass (Gorilla Glass), aluminum frame'",,,,,,,,b'Contrast ratio: 1201:1 (nominal)',b'Photo / Video',b'Voice 77dB / Noise 75dB / Ring 81dB',b'Noise -85.8dB / Crosstalk -76.2dB',b'Endurance rating 112h',,,,,,,,b'Motorized flip-up main camera module',b'Basemark OS II 2.0: 4979 / Basemark X: 45291',
b'asus',b'Asus ZenFone Live (L2)',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - A version',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - A version'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, May'",b'147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in)',b'140 g (4.94 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~73.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 8.0 Oreo (Go edition); ZenUI 5',"b'microSD, up to 1 TB (dedicated slot)'","b'16/32 GB, 2 RAM'","b'8 MP or 13 MP, f/2.0, PDAF'",b'1080p@30fps',"b'5 MP, f/2.4'",b'',b'Yes',b'Yes',b'HSDPA 850 / 900 / 2100 - B version',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",b'HSDPA 850 / 900 / 2100 / 800 - C version',"b'Rocket Red, Cosmic Blue'",,b'Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53',b'Adreno 308Adreno 505',,"b'LED flash, HDR, panorama'","b'LED flash, HDR'",,,b'Non-removable Li-Ion 3000 mAh battery',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max Plus (M2) ZB634KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'S-IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)'",b'Android 8.0 (Oreo)',"b'microSD, up to 1 TB (dedicated slot)'","b'32 GB, 3 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",b'Non-removable Li-Po 4000 mAh battery',"b'Red, Silver, Blue, Black'",,b'Qualcomm Snapdragon SiP 1',b'Octa-core 1.8 GHz',b'Adreno 506',"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 5 MP, f/2.4, 1.12\xc2\xb5m, depth sensor'","b'LED flash, HDR, panorama'",b'LED flash',,,,b'About 200 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max Shot ZB634KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'S-IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)'",b'Android 8.0 (Oreo)',"b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 4 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",b'Non-removable Li-Po 4000 mAh battery',"b'Red, Silver, Blue, Black'",,b'Qualcomm Snapdragon SiP 1',b'Octa-core 1.8 GHz',b'Adreno 506',,"b'LED flash, HDR, panorama'",b'LED flash',,,,b'About 310 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 8 MP, 13mm (ultrawide) 5 MP, f/2.4, 1.12\xc2\xb5m, depth sensor'"
b'asus',b'Asus Zenfone Max Pro (M2) ZB631KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'157.9 x 75.5 x 8.5 mm (6.22 x 2.97 x 0.33 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~82.0% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~403 ppi density)'","b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)'","b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 4/6 GB RAM or 32 GB, 3 GB RAM'","b'13MP, f/2.0, 1.12\xc2\xb5m'","b'2160p@30fps, 1080p@30/60fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 5000 mAh battery',"b'Blue, Titanium'",b'Corning Gorilla Glass 6',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',b'Adreno 512',"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 5 MP, f/2.4, 1.12\xc2\xb5m, depth sensor'","b'LED flash, HDR, panorama'","b'LED flash, HDR'",b'Yes',"b'X01BDA, Zenfone Max Pro M2'",,,,b'Fast battery charging 10W',,,,,"b'Front glass, plastic body'",,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max (M2) ZB633KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'158.4 x 76.3 x 7.7 mm (6.24 x 3.00 x 0.30 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 97.8 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~269 ppi density)'","b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)'","b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'8 MP, f/2.0, 1.12\xc2\xb5m'","b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4000 mAh battery',"b'Black, Blue'",,b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',"b'13 MP, f/1.8, 1.12\xc2\xb5m, PDAF 2 MP, depth sensor'","b'LED flash, HDR, panorama'","b'LED flash, HDR'",,b'X01AD',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max (M1) ZB556KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2018, October'","b'Available. Released 2018, October'",b'147.3 x 70.9 x 8.7 mm (5.80 x 2.79 x 0.34 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 86.5 cm2 (~82.8% screen-to-body ratio)'","b'720 x 1440 pixels, 16:10 ratio (~247 ppi density)'",b'Android 8 (Oreo); ZenUI 5',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 3 GB RAM'","b'8 MP, f/2.0, 25mm (wide), 1.12\xc2\xb5m'",b'1080p@30fps (gyro-EIS)',,b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Photo/video editor',"b'Deepsea Black, Sunlight Gold'",,b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',"b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'",b'LED flash',,b'A001',b'Non-removable Li-Po 4000 mAh battery',b'About 120 EUR',,b'Fast battery charging 10W',,,,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ZenFone Lite (L1) ZA551KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA, LTE-A'","b'2018, October'","b'Available. Released 2018, October'",b'147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in)',b'140 g (4.94 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~72.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 8.0 Oreo',"b'microSD, up to 1 TB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m, PDAF'",b'1080p@30fps',"b'5 MP, f/2.4, 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 3000 mAh battery',"b'Black, Gold'",,b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',,"b'LED flash, HDR, panorama'",b'LED flash',,,,b'About 80 EUR',,,,,,,b'Plastic body',,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone ZS600KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version, B version'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 28(700), 29(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46 - A version, B version'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2018, June'","b'Available. Released 2018, October'",b'158.8 x 76.2 x 8.3 mm (6.25 x 3.00 x 0.33 in)',b'200 g (7.05 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~76.8% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'","b'Android 8.1 (Oreo), planned upgrade to Android 9.0 (Pie); ROG Gaming X UI'",b'No',"b'128/512 GB, 8 GB RAM'","b'8 MP, f/2.0, 24mm (wide)'","b'2160p@30/60fps, 1080p@30/60/240fps, (3-axis gyro-EIS)'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'CDMA 800 & TD-SCDMA - B version',"b'Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'FM radio',"b'3.1, Type-C 1.0 reversible connector; accessory connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'3 Ultrasonic pressure sensitive zones Water resistant',b'Black',b'Corning Gorilla Glass 6',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.96 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',"b'12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, 4-axis OIS 8 MP, 12mm (ultrawide), no AF'","b'LED flash, panorama, HDR'","b'Panorama, HDR'",b'Yes',"b'Z01QD, ZS600KL'",b'Non-removable Li-Ion 4000 mAh battery',b'About 800 EUR',,b'Fast battery charging 30W (Quick Charge 4+)',,,,,b'Front glass (Gorilla Glass 6) /back glass (Gorilla Glass 5) & aluminum frame',,,,,,,,"b'Contrast ratio: Infinite (nominal), 4.765 (sunlight)'",b'Photo / Video',b'Voice 79dB / Noise 77dB / Ring 84dB',b'Noise -93.8dB / Crosstalk -62.5dB',b'Endurance rating 78h',,,,,,,,,b'Basemark OS II: 5225 / Basemark OS II 2.0: 4702Basemark X: 60171',
b'asus',b'Asus ZenFone Live (L1) ZA550KL',b'https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, May'","b'Available. Released 2018, May'",b'147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in)',b'140 g (4.94 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~73.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 8.0 Oreo (Go edition); ZenUI 5',"b'microSD, up to 1 TB (dedicated slot)'","b'32 GB, 2 RAM or 16 GB, 1 GB RAM'","b'13 MP, f/2.0, PDAF'",b'1080p@30fps',"b'5 MP, f/2.4'",b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 3000 mAh battery',"b'Space Blue, Rose Pink, Shimmer Gold, Midnight Black'",,b'Qualcomm MSM8917 Snapdragon 425 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Adreno 308',,"b'LED flash, HDR, panorama'",b'LED flash',,b'X00RD',,b'About 100 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
