Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'benq',b'BenQ F52',b'https://cdn2.gsmarena.com/vv/bigpic/benq-f52.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE 700 / 900 / 1800',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, May'","b'Available. Released 2015, May'",b'147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in)',b'142 g (5.01 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~68.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 5.0 (Lollipop)',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'8 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2500 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'Glam Pink, Chic Gray'",,b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',,"b'LED flash, HDR, panorama'",b'LED flash',b'Yes',,,,,,b'Up to 580 h (3G)',b'Up to 24 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ B502',b'https://cdn2.gsmarena.com/vv/bigpic/benq-b502.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2014, October'","b'Available. Released 2014, October'",b'144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in)',b'125 g (4.41 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 1800 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, White'",,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,,,,,b'Up to 430 h (3G)',b'Up to 11 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ T3',b'https://cdn2.gsmarena.com/vv/bigpic/benq-t3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 3(1800), 7(2600)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, September'","b'Available. Released 2014, September'",b'131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in)',b'128 g (4.52 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'4 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 1840 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,"b'Black, White, Green'",,b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',,"b'LED flash, HDR, panorama'",,,,,b'About 80 EUR',,,b'Up to 450 h (3G)',b'Up to 15 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ F5',b'https://cdn2.gsmarena.com/vv/bigpic/benq-f5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 3(1800), 7(2600)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, September'","b'Available. Released 2014, September'",b'143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in)',b'135 g (4.76 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2520 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,"b'Black, White'",,b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',,"b'LED flash, HDR, panorama'",,b'Yes',,,b'About 100 EUR',,,b'Up to 550 h (3G)',b'Up to 24 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ F3',b'https://cdn2.gsmarena.com/vv/bigpic/benq-f3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 42.2/11.5 Mbps',"b'2013, November. Released 2013, November'",b'Discontinued',b'131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in)',b'119 g (4.20 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.2.2 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 1 GB RAM'","b'13 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2100 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,"b'White, Red'",,b'Mediatek MT6589 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'PowerVR SGX544',,"b'LED flash, HDR, panorama'",,,,,b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ A3',b'https://cdn2.gsmarena.com/vv/bigpic/benq-a3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 7.2/5.76 Mbps',"b'2013, November. Released 2013, November'",b'Discontinued',b'133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in)',b'135 g (4.76 oz)',b'Mini-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2 (~63.2% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.1.2 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'Black, White'",,b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',,b'LED flash',,,,,b'About 150 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'benq',b'BenQ E55',b'https://cdn2.gsmarena.com/vv/bigpic/benq-e55.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2008, July. Released 2008, July'",b'Discontinued',b'94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,"b'microSD, up to 2 GB (dedicated slot)'",b'45 MB',b'2 MP',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',"b'Wallpapers Second external 1-inch 65K CSTN display, 96 x 64 pixels'",b'No',"b'1.2, A2DP'",b'No',b'No',b'1.2',b'',b'MP3/MP4 player Organizer Voice memo',"b'Red, Brown'",,,,,,,,,,b'Removable Li-Ion 900 mAh battery',,,,b'Up to 180 h',b'Up to 2 h 40 min',,,,,b'Yes',b'Yes',"b'SMS, EMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'benq',b'BenQ C36',b'https://cdn2.gsmarena.com/vv/bigpic/benq-c36.jpg',b'GSM',b'GSM 900 / 1800',,,,"b'2008, April. Released 2008'",b'Discontinued',b'108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in)',b'78 g (2.75 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~24.7% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,"b'microSD, up to 2 GB (dedicated slot)'",,b'1.3 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio; scheduled recording',b'1.1',b'',b'Dedicated music keys',b'Lustrous Blue',,,,,,,,,,b'Removable Li-Ion 640 mAh battery',,,,b'Up to 180 h',b'Up to 2 h 40 min',b'Class 12',b'No',,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones, composer'",,,,,,
b'benq',b'BenQ E53',b'https://cdn2.gsmarena.com/vv/bigpic/benq-e53.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2008, March. Released 2008'",b'Discontinued',b'93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~28.8% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,"b'microSD, up to 2 GB (dedicated slot)'",b'45 MB',b'1.3 MP',b'Yes',b'Yes',b'',b'Yes',b'No',b'Wallpapers Second external 1-inch OLED display',b'No',b'2.0',b'No',b'No',b'1.2',b'',b'MP3/MP4 player Voice memo Photo editor',b'Black',,,,,,,,,,b'Removable Li-Ion 900 mAh battery',,,,,,,,,,b'Yes',b'Yes',"b'SMS, EMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'benq',b'BenQ T60',b'https://cdn2.gsmarena.com/vv/bigpic/benq-t60.jpg',b'GSM',b'GSM 900 / 1800',,,,"b'2008, March. Released 2008'",b'Discontinued',b'109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~29.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,"b'microSD, up to 2 GB (dedicated slot)'",b'24 MB',b'3.15 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',"b'1.1, A2DP'",b'No',b'FM radio; scheduled recording',b'1.2',b'',b'MP3/MP4/3GP player Caller Blacklist Photo Artist Voice memo',b'Sleek black',,,,,,,,,,b'Removable Li-Ion 750 mAh battery',,,,b'Up to 180 h',b'Up to 2 h 30 min',b'Class 12',b'No',,,b'Yes',b'Yes',"b'SMS, MMS, EMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MIDI, MP3 ringtones'",,,,,,
