Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'bird',b'Bird M32',b'https://cdn2.gsmarena.com/vv/bigpic/bird-m32.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'microSD',,b'VGA',b'No',,,b'Yes',b'No',b'Second External LCD Neon Color',b'No',b'No',b'No',b'FM radio (optional)',b'Proprietary',b'',b'No',b'Light Blue',,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 150 h',b'Up to 3 h 20 min',b'Class 10',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D636',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d636.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'98.4 g (3.46 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'microSD',b'60 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hindi FR,HR,EFR,AMR Voice Codecs'",b'Black',,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 120 h',b'Up to 3 h 20 min',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D706',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d706.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'microSD',b'60 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hind FR,HR,EFR,AMR Voice Codecs'",b'Golden Black',,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 120 h',b'Up to 3 h 20 min',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D615',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d615.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'microSD (dedicated slot)',b'60 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'FM radio',b'Proprietary',b'',"b'MP3 player, MP4 player Voice memo Data/Fax Modem'","b'Soft-touch Grey, Shining Blue'",,,,,,,,,,b'Removable Li-Ion 650 mAh battery',,,,b'Up to 140 h',b'Up to 4 h',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,"b'Chinese, English, French, Spanish, Portuguese, Hin'",,,
b'bird',b'Bird S768',b'https://cdn2.gsmarena.com/vv/bigpic/bird-s768.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'microSD',,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',b'MP3 player X-Slim design',"b'Pink, Blue'",,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 150 h',b'Up to 4 h',b'No',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird S758',b'https://cdn2.gsmarena.com/vv/bigpic/bird-s758.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in)',b'73 g (2.57 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'No',,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio (optional)',b'No',b'',b'X-Slim design',"b'Pink, Black'",,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 150 h',b'Up to 4 h',b'No',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird S618',b'https://cdn2.gsmarena.com/vv/bigpic/bird-s618.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Cancelled',b'103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in)',b'73 g (2.57 oz)',b'Mini-SIM',b'Monochrome graphic',"b'1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)'",b'128 x 160 pixels (~121 ppi density)',,b'No',,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio (optional)',b'No',b'',"b'FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese'",b'Black',,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 150 h',b'Up to 4 h',b'No',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D736',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d736.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in)',b'96 g (3.39 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'microSD (dedicated slot)',b'60 MB',b'2 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',"b'MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'","b'UV Black, Soft-touch Black'",,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 120 h',b'Up to 3 h 30 min',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D716',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d716.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in)',b'81 g (2.86 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'microSD (dedicated slot)',b'60 MB',"b'2 MP, AF'",b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'",b'Mirror  Silver',,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 120 h',b'Up to 3.30 h',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'bird',b'Bird D720',b'https://cdn2.gsmarena.com/vv/bigpic/bird-d720.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in)',b'93 g (3.28 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,b'miniSD',b'60 MB',b'2 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',"b'MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'","b'Silver, Green, Blue'",,,,,,,,,,b'Removable Li-Ion 700 mAh battery',,,,b'Up to 120 h',b'Up to 4 h',b'Class 12',b'No',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
