Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'blu',b'BLU G9',b'https://cdn2.gsmarena.com/vv/bigpic/blu-g9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700)'","b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, May'","b'Available. Released 2019, May'",b'155.4 x 71.8 x 8 mm (6.12 x 2.83 x 0.31 in)',b'165 g (5.82 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 99.1 cm2 (~88.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~267 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB'","b'64 GB, 4 GB RAM'","b'13 MP, f/2.0, 1/3""'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,"b'Black, Blue'",,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'13 MP, f/2.0, 1/3"", PDAF 2 MP, depth sensor'",b'LED flash',,,,,b'About 180 USD',,,b'Up to 750 h (2G) / Up to 650 h (3G)',b'Up to 30 h (2G) / Up to 24 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU C5L',b'https://cdn2.gsmarena.com/vv/bigpic/blu-c5l.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 - C0050UU',"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - C0050UU'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, February'","b'Available. Released 2019, February'",b'144.3 x 72.5 x 10.3 mm (5.68 x 2.85 x 0.41 in)',b'153 g (5.40 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'8 GB, 1 GB RAM'","b'5 MP, AF'",b'1080p@30fps',b'2 MP',b'720p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 1900 / 2100 - C0050LL',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700) - C0050LL'","b'Black, Blue'",,,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-400',,b'LED flash',b'LED flash',,,b'Li-Ion 2000 mAh battery',b'About 70 USD',,,b'Up to 500 h (2G) / Up to 450 h (3G)',b'Up to 18 h (2G) / Up to 14 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Studio X8 HD (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/blu-studio-x8-hd-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 - S532U',,"b'Yes, 384 kbps'","b'2019, February'","b'Available. Released 2019, February'",b'145.5 x 74.5 x 9.8 mm (5.73 x 2.93 x 0.39 in)',b'143 g (5.04 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~63.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'8 GB, 1 GB RAM'",b'8 MP',b'1080p@30fps',b'5 MP',b'720p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 1900 / 2100 - S532L',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 900 / 1900 / 2100 - S532V',"b'Black, White'",,b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,b'Li-Ion 2000 mAh battery',,,,b'Up to 500 h (3G)',b'Up to 15 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU C6L',b'https://cdn2.gsmarena.com/vv/bigpic/blu-c6l.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100 - C0030UU',"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - C0030UU'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, January'","b'Available. Released 2019, January'",b'154.4 x 78.6 x 10.4 mm (6.08 x 3.09 x 0.41 in)',b'203 g (7.16 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'5 MP',b'720p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1900 / 2100 - C0030LL',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 28(700) - C0030LL'","b'Black, Gold, Blue'",,,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-400',,b'LED flash',b'LED flash',,,b'Li-Ion 2500 mAh battery',b'About 80 USD',,,b'Up to 600 h (2G) / Up to 550 h (3G)',b'Up to 21 h (2G) / Up to 16 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Vivo One Plus (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-one-plus-2019.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 28(700)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, January'","b'Available. Released 2019, January'",b'156.7 x 75.2 x 8.3 mm (6.17 x 2.96 x 0.33 in)',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.7 cm2 (~82.1% screen-to-body ratio)'",b'720 x 1500 pixels (~268 ppi density)',b'Android 8.1 (Oreo)',"b'microSD, up to 64 GB'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.2, 1/5""'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 3000 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,b'Silver',,b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'PowerVR GE8100',"b'13 MP, f/2.2, 1/4"" 2 MP, depth sensor'",b'LED flash',b'LED flash',,,,b'About 120 USD',,,b'Up to 600 h (2G) / Up to 550 h (3G)',b'Up to 21 h (2G) / Up to 16 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Vivo Go',b'https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-go.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 7(2600), 12(700), 17(700), 28(700)'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'156.7 x 75.2 x 8.4 mm (6.17 x 2.96 x 0.33 in)',b'155 g (5.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 9.0 Pie (Go edition)',"b'microSD, up to 64 GB'","b'16 GB, 1 GB RAM'",b'5 MP',b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',b'Non-removable Li-Po 2600 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,b'Black',,b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',"b'8 MP, AF 0.3 MP, depth sensor'",b'LED flash',b'LED flash',,,,b'About 80 USD',,,b'Up to 600 h (2G) / Up to 550 h (3G)',b'Up to 21 h (2G) / Up to 16 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Vivo XL4',b'https://cdn2.gsmarena.com/vv/bigpic/blu-vivo-xl4.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 28(700), 66(1700/2100)'","b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'157.2 x 76.2 x 8 mm (6.19 x 3.00 x 0.31 in)',b'178 g (6.28 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~80.1% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'32 GB, 3 GB RAM'","b'13 MP, f/2.2, 1/4""'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Black, Gold'",,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'13 MP, f/2.0, 1/3"", PDAF 2 MP, depth sensor'",b'LED flash',b'LED flash',,,,b'About 150 USD',,,b'Up to 750 h (2G) / Up to 650 h (3G)',b'Up to 30 h (2G) / Up to 24 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Studio Mega (2018)',b'https://cdn2.gsmarena.com/vv/bigpic/blu-studio-mega-2018-.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2018, October'","b'Available. Released 2018, October'",b'156.7 x 75.2 x 8.4 mm (6.17 x 2.96 x 0.33 in)',b'155 g (5.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'16 GB, 1 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 2600 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, Blue, Silver'",,b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',"b'13 MP, AF 2 MP, depth sensor'",b'LED flash',b'LED flash',,,,b'About 100 USD',,,b'Up to 675 h (2G) / Up to 575 h (3G)',b'Up to 22 h (2G) / Up to 18 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Grand M2 (2018)',b'https://cdn2.gsmarena.com/vv/bigpic/blu-grand-m2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100 - G290Q',,b'HSPA 21.1/5.76 Mbps',"b'2018, October'","b'Available. Released 2018, October'",b'144.9 x 72.1 x 9.4 mm (5.70 x 2.84 x 0.37 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~71.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'8/16 GB, 1 GB RAM'",b'8 MP',b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1900 / 2100 - G290EQ',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Non-removable Li-Po 2600 mAh battery',"b'Black, Blue, Gold'",,b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',b'LED flash',,,,,,,b'Up to 725 h (2G) / Up to 625 h (3G)',b'Up to 22 h (2G) / Up to 16 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU Advance L4',b'https://cdn2.gsmarena.com/vv/bigpic/blu-al4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - A350A',,b'HSPA 21.1/5.76 Mbps',"b'2018, September'","b'Available. Released 2018, September'",b'124.3 x 65.2 x 10.4 mm (4.89 x 2.57 x 0.41 in)',b'104 g (3.67 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~56.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 8.1 Oreo (Go edition)',"b'microSD, up to 64 GB'","b'8 GB, 512 MB RAM'",b'5 MP',b'720@30fps',b'2 MP',b'480p',b'Yes',b'Yes',b'HSDPA 850 / 2100 - A350I',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'HSDPA 900 / 2100 - A350B',"b'Black, Cyan, White, Teal'",,,b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',,b'LED flash',b'LED flash',,,b'Removable Li-Po 1300 mAh battery',b'About 50 USD',,,b'Up to 400 h (2G) / Up to 450 h (3G)',b'Up to 18 h (2G) / Up to 13 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
