Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'cat',b'Cat B35',b'https://cdn2.gsmarena.com/vv/bigpic/cat-b35.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2018, September'","b'Available. Released 2018, October'",b'138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in)',b'130 g (4.59 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',"b'microSD, up to 128 GB (uses shared SIM slot)'","b'4 GB, 512 MB RAM'",b'2 MP',b'480p@30fps',,,b'Yes',b'Yes',b'IP68 dust/water resistant (up to 1.2m for 35 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight',b'Wi-Fi 802.11 b/g/n',"b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',b'No',b'Black',b'Scratch-proof glass',b'Qualcomm MSM8905 Snapdragon 205 (28 nm)',b'Dual-core (2x1.3 GHz Cortex-A7)',b'Adreno 304',,b'LED flash',,,,b'Non-removable Li-Ion 2300 mAh battery',b'About 110 EUR',,,b'Up to 720 h (3G)',b'Up to 12 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S41',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s41.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - EU',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, September'","b'Available. Released 2017, September'",b'152 x 75 x 12.9 mm (5.98 x 2.95 x 0.51 in)',b'218 g (7.69 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'TFT capacitive touchscreen',"b'5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 7.0 (Nougat)',"b'microSD, up to 256 GB'","b'32 GB, 3 GB RAM'","b'13 MP, PDAF'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - APAC/LATAM',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS (market dependant)'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'","b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 66(1700/2100) - Americas'",b'Black',b'Corning Gorilla Glass 5',b'Mediatek MT6757 Helio P20 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)',b'Mali-T880MP2',,b'LED flash',,,b'S41',b'Non-removable Li-Ion 5000 mAh battery',b'About 450 EUR',,b'Fast battery charging 18W (Pump Express 2.0)',b'Up to 1056 h (3G)',b'Up to 38 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S31',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s31.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - EU',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - EU'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, September'","b'Available. Released 2017, October'",b'146 x 74.4 x 12.6 mm (5.75 x 2.93 x 0.50 in)',b'200 g (7.05 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'TFT capacitive touchscreen',"b'4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'Android 7.0 (Nougat)',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'8 MP, AF'",b'720p@30fps',b'2 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - USA'",b'Black',b'Corning Gorilla Glass 3',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',,b'LED flash',,,,b'Non-removable Li-Ion 4000 mAh battery',b'About 330 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S61',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s61.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 19(800), 20(800), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - EU/ROW'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps'","b'2018, February'","b'Available. Released 2018, June'",b'150 x 76 x 13 mm (5.91 x 2.99 x 0.51 in)',b'250 g (8.82 oz)',"b'Single SIM (Nano-SIM) - South Africa onlyHybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~65.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'","b'Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)'","b'microSD, up to 256 GB (uses shared SIM slot)'","b'64 GB, 4 GB RAM'","b'16 MP, PDAF, FLIR thermal camera (Lepton module)'","b'2160p@30fps, 1080p@30fps'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, SBAS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 25(1900), 26(850), 28(700), 29(700), 66(1700/2100) - USA'",b'Black',b'Corning Gorilla Glass 5',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 508',,"b'Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama'",,b'Yes',,b'Non-removable Li-Ion 4500 mAh battery',b'About 900 EUR',,b'Fast battery charging 18W (Quick Charge 4)',b'Up to 888 h (3G)',b'Up to 35 h (3G)',,,b'Aluminum frame',,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S60',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - Global',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, June'",b'147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in)',b'223 g (7.87 oz)',"b'Single SIM (Nano-SIM) - South Africa onlyDual SIM (Nano-SIM, dual stand-by)'","b'a-Si AHVA capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'Android 6.0 (Marshmallow)',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 3 GB RAM'","b'13 MP, AF, FLIR thermal camera (Lepton module)'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 1700(AWS) / 1900 - North America',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'","b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - North America'",b'Black',b'Corning Gorilla Glass 4',b'Qualcomm MSM8952 Snapdragon 617 (28 nm)',b'Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Adreno 405',,"b'Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama'",,b'Yes',,b'Non-removable Li-Ion 3800 mAh battery',b'About 650 EUR',,b'Fast battery charging 18W (Quick Charge 2.0)',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S30',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s30.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100 - Global',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, September'","b'Available. Released 2015, September'",b'141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in)',b'181 g (6.38 oz)',b'Nano-SIM',b'TFT capacitive touchscreen',"b'4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 64 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'5 MP, AF'",b'1080p@60fps',b'2 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 1700(AWS) / 1900 - North America',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'","b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - North America'",b'Black',b'Corning Gorilla Glass 3',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',,b'LED flash',,,b'S30',b'Non-removable Li-Ion 3000 mAh battery',b'About 340 EUR',,,b'Up to 936 h',b'Up to 18 h',,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S40',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s40.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100 - Global',"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, July'","b'Available. Released 2015, August'",b'144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in)',b'185 g (6.53 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~234 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'1080p@60fps',b'2 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 1700(AWS) / 1900 - North America',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'","b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - North America'",b'Black',b'Corning Gorilla Glass 4',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',,b'LED flash',,b'Yes',,b'Non-removable Li-Ion 3000 mAh battery',b'About 440 EUR',,,b'Up to 936 h',b'Up to 18 h',,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat B30',b'https://cdn2.gsmarena.com/vv/bigpic/cat-b30.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA',"b'2015, June'","b'Available. Released 2015, June'",b'118 x 54 x 16 mm (4.65 x 2.13 x 0.63 in)',b'101 g (3.56 oz)',b'Dual SIM',b'TFT',"b'2.0 inches, 12.6 cm2 (~19.8% screen-to-body ratio)'",b'144 x 176 pixels (~114 ppi density)',,"b'microSD, up to 16 GB'",,b'2 MP',b'Yes',,,b'Yes',b'Yes',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight',b'No',b'2.1',b'No',b'FM radio',b'microUSB 2.0',b'',b'No',b'Black',b'Scratch-proof glass',b'Spreadtrum 7701',,,,b'LED flash',,,,b'Non-removable Li-Ion 1000 mAh battery',b'About 140 EUR',,,b'Up to 240 h',b'Up to 6 h',,,,,b'Yes',b'Yes',b'SMS',b'No',b'',,,,,,,,,,,,,,,,
b'cat',b'Cat B15 Q',b'https://cdn2.gsmarena.com/vv/bigpic/cat-b15q.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'HSDPA 850 / 900 / 2100 - EU, EMEA'",,b'HSPA 21.1/5.76 Mbps',"b'2014, Q2'","b'Available. Released 2014, June'",b'125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in)',b'170 g (6.00 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'4 GB, 1 GB RAM'","b'5 MP, AF'",b'1080p@30fps',b'VGA',b'',b'Yes',b'Yes',b'HSDPA 850 / 1700 / 1900 / 2100 - Latin America',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m',b'Black',b'Corning Gorilla Glass',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,b'Removable Li-Ion 2000 mAh battery',b'About 320 EUR',,,b'Up to 504 h',b'Up to 16 h',,,,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S50',b'https://cdn2.gsmarena.com/vv/bigpic/cat-s50.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, September'","b'Available. Released 2014, November'",b'144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in)',b'185 g (6.53 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~54.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'8 GB, 2 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'VGA',b'',b'Yes',b'Yes',b'HSDPA 850 / 1700 / 1900 / 2100',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'",b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.2m',"b'Forest, Slate'",b'Corning Gorilla Glass 3',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quadcore 1.2 GHz Cortex-A7',b'Adreno 305',,b'LED flash',,b'Yes',,b'Non-removable Li-Ion 2630 mAh battery',b'About 460 EUR',,b'Qi wireless charging',b'Up to 792 h',b'Up to 16 h',,,,,,,,,,,,,,,,,,,,,,,,,
