Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G
b'gionee',b'Gionee F205',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-f205.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE'","b'2018, January'","b'Available. Released 2018, January'",b'148.4 x 70.7 x 8 mm (5.84 x 2.78 x 0.31 in)',b'135.6 g (4.80 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~73.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB'","b'16 GB, 2 GB RAM'","b'8 MP, AF'",b'720p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 2670 mAh battery',"b'Gold, Red, Blue'",,b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'PowerVR GE8100',,"b'LED flash, HDR, panorama'",,,b'F205',,b'About 130 EUR',,,,,,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee S11S',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-s11s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE'","b'2017, November'","b'Available. Released 2017, December'",b'155.8 x 72.6 x 7 mm (6.13 x 2.86 x 0.28 in)',b'177 g (6.24 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.01 inches, 93.2 cm2 (~82.4% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB'","b'64 GB, 6 GB RAM'",,b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 3600 mAh battery',"b'Silver, Gold'",,b'Mediatek Helio P30 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53)',b'Mali-G71 MP2',"b'16 MP, AF 8 MP'","b'LED flash, HDR, panorama'",,b'Yes',,,b'About 500 EUR',,,,,,,b'Front/back glass & aluminum frame',,,,,,,,,,,,,,,,,,,,b'20 MP 8 MP',,,
b'gionee',b'Gionee S11',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-s11.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, November'","b'Available. Released 2017, December'",b'159.5 x 77.7 x 7.8 mm (6.28 x 3.06 x 0.31 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.99 inches, 92.6 cm2 (~74.7% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'64 GB, 4 GB RAM'",,b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 3410 mAh battery',"b'Moonlight blue, space gold, cherry powder'",,b'Mediatek MT6763T Helio P23 (16 nm)',b'Octa-core 2.5 GHz Cortex-A53',b'Mali-G71 MP2',"b'16 MP, AF 5 MP, depth sensor'","b'LED flash, HDR, panorama'",,,,,b'About 320 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'16 MP 8 MP',,,
b'gionee',b'Gionee S11 lite',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-s11-mini-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA, LTE'","b'2017, November'","b'Available. Released 2018, February'",b'153.8 x 72.6 x 7.9 mm (6.06 x 2.86 x 0.31 in)',b'141 g (4.97 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 83.8 cm2 (~75.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'32 GB, 4 GB RAM'","b'16 MP, f/2.0'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Non-removable Li-Ion 3030 mAh battery',"b'Gold, Dark Blue, Black'",,b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',"b'13 MP, f/2.2, AF 2 MP, depth sensor'","b'LED flash, HDR, panorama'",,,b'S11 lite',,b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee M7 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-m7-plus.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, November'","b'Available. Released 2018, July'",b'166.5 x 81.6 x 8.7 mm (6.56 x 3.21 x 0.34 in)',b'241 g (8.50 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.43 inches, 106.7 cm2 (~78.5% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~376 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB'","b'128 GB, 6 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 5000 mAh battery',b'Blue',,b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',b'Adreno 512',"b'16 MP, AF 8 MP'","b'LED flash, HDR, panorama'",,b'Yes',,,b'About 670 EUR',b'Yes',b'Fast battery charging 10W',,,,,"b'Front glass, aluminum frame & back, leather cover'",,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee M7 Power',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-m7-power-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, October'","b'Available. Released 2017, November'",b'156.4 x 76.7 x 8.6 mm (6.16 x 3.02 x 0.34 in)',b'199 g (7.02 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~77.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 7.1.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'64 GB, 4 GB RAM'","b'13 MP, f/2.0, AF'",b'1080p@30fps',"b'8 MP, f/2.2'",b'',b'Yes',b'Yes',b'Non-removable Li-Po 5000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Dark blue, black, gold'",b'Corning Gorilla Glass 3',b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',,"b'LED flash, HDR, panorama'",,,b'M7 Power',,b'About 260 EUR',,,b'Up to 625 h (3G)',b'Up to 56 h (3G)',,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee M7',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-m7.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, September'","b'Available. Released 2017, September'",b'157 x 76 x 7.2 mm (6.18 x 2.99 x 0.28 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.01 inches, 93.2 cm2 (~78.1% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'Android 7.1 (Nougat); Amigo 5',"b'microSD, up to 256 GB'","b'64 GB, 6 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'","b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Sapphire Blue, Star Blue, Maple Red, Champagne Gold, Black'",,b'Mediatek Helio P30 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53)',b'Mali-G71 MP2',"b'16 MP, AF 8 MP'","b'LED flash, HDR, panorama'",,b'Yes',,,b'About 360 EUR',b'Yes',b'Fast battery charging 10W',,,,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee X1s',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-x1s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, September'","b'Available. Released 2017, September'",b'150.4 x 73.5 x 8.8 mm (5.92 x 2.89 x 0.35 in)',b'166 g (5.86 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~67.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Android 7 (Nougat); Amigo 4',"b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 3 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'16 MP',b'1080p@30fps',b'Yes',b'Yes',b'Non-removable Li-Ion 4000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,"b'Black, Gold'",b'Corning Gorilla Glass 3',b'Mediatek MT6737T (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'Mali-T720',,"b'Dual-LED dual-tone flash, HDR, panorama'",,,b'X1S',,b'About 13000 INR',b'Yes',,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee X1',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-x1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, August'","b'Available. Released 2017, August'",b'144.3 x 72.2 x 8.8 mm (5.68 x 2.84 x 0.35 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 7 (Nougat); Amigo 5',"b'microSD, up to 256 GB'","b'16 GB, 2 GB RAM'","b'8 MP, AF'",b'1080p@30fps',"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'720p',b'Yes',b'Yes',b'Non-removable Li-Ion 3000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,"b'Black, Gold'",,b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',,"b'Dual-LED dual-tone flash, HDR, panorama'",,,b'X1',,b'About 9000 INR',,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee P8 Max',b'https://cdn2.gsmarena.com/vv/bigpic/gionee-p8-max.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2017, June'","b'Available. Released 2017, Q4'",b'154.4 x 76.6 x 9.2 mm (6.08 x 3.02 x 0.36 in)',b'-',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow); Amigo 3.2',"b'microSD, up to 128 GB'","b'32 GB, 3 GB RAM'","b'13 MP, f/2.2, AF'",b'1080p@30fps',"b'8 MP, f/2.2'",b'',b'Yes',b'Yes',b'Non-removable Li-Ion 3150 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'Gold, Gray, White'",b'Corning Gorilla Glass (unspecified version)',b'Mediatek MT6737T (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'Mali-T720',,"b'LED flash, HDR, panorama'",,,,,,b'Yes',b'Fast battery charging 10W',,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
