Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'honor',b'Honor 8S',b'https://cdn2.gsmarena.com/vv/bigpic/honor-8s-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, April'",b'147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in)',b'146 g (5.15 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.71 inches, 81.4 cm2 (~78.1% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie); EMUI 9',"b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 3 GB RAM or 32 GB, 2 GB RAM'","b'13 MP, f/1.8, PDAF'",b'1080p@30fps',"b'5 MP, f/2.2'",b'',b'Yes',b'Yes',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 39(1900), 40(2300), 41(2500) - China'","b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Active noise cancellation with dedicated mic',"b'Black, Gold, Blue'",,b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',,"b'LED flash, HDR, panorama'",,,"b'KSE-LX9, KSA-LX9'",b'Non-removable Li-Ion 3020 mAh battery',b'About 120 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Pad 5 10.1',b'https://cdn2.gsmarena.com/vv/bigpic/honor5-10-ags2-al00hn.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, June'","b'Available. Released 2019, July'",b'243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in)',b'-',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~74.2% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'",b'Android 8.0 (Oreo); EMUI 8',"b'microSD, up to 256 GB'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'5 MP, f/2.4, AF'",b'1080p@30fps',"b'2 MP, f/2.4'",b'',"b'Yes, with stereo speakers'",b'Yes',b'Non-removable Li-Po 5100 mAh battery',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS (LTE model), GLONASS, BDS'",b'No',b'microUSB 2.0',b'Accelerometer',,b'Glacial Blue',,b'HiSilicon Kirin 659 (16 nm)',b'Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53)',b'Mali-T830 MP2',,,,,b'AGS2-AL00HN',,b'About 250 EUR',,,,,,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Pad 5 8',b'https://cdn2.gsmarena.com/vv/bigpic/honor5-8-jdn2-al00hn.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA, LTE-A'","b'2019, June'","b'Available. Released 2019, July'",b'204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in)',b'-',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~74.4% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'",b'Android 9.0 (Pie); Magic 2.0',"b'microSD, up to 1 TB'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'8 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos sound',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Non-removable Li-Po 5100 mAh battery',"b'Champagne Gold, Dark Gray, Glacial Blue'",,b'Hisilicon Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,,,,b'JDN2-AL00HN',,b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 20 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-20-pro-r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, May'","b'Coming soon. Exp. release 2019, July'",b'154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in)',b'182 g (6.42 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 96.2 cm2 (~84.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)'",b'Android 9.0 (Pie); Magic 2.1',b'No',"b'256 GB, 8 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60fps; gyro-EIS'",,"b'1080p@30fps, gyro-EIS'",b'Yes',b'No',b'Active noise cancellation with dedicated mic 32-bit/192kHz audio',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Phantom Blue, Phantom Black'",,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'LED flash, HDR, panorama'",b'HDR',b'Yes (market/region dependent)',b'YAL-AL10',,b'About 600 EUR',b'Yes',b'Fast battery charging 22.5W (50% in 30 min)',,,,,"b'Front/back glass, aluminum frame'",,,,,,,,,b'Photo / Video',b'Voice 68dB / Noise 72dB / Ring 87dB',b'Noise -92.9dB / Crosstalk -46.8dB',b'Endurance rating 104h',,,,,,,,,,,,"b'48 MP, f/1.4, 28mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF/Laser AF, OIS 8 MP, f/2.4, 80mm (telephoto), 1/4.4"", PDAF/Laser AF, OIS, 3x optical zoom 16 MP, f/2.2, 13mm (ultrawide), 1/3.1"" 2 MP, f/2.4, 27mm (wide) dedicated macro camera'"
b'honor',b'Honor 20',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-20.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, May'","b'Available. Released 2019, June'",b'154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in)',b'174 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.26 inches, 96.2 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)'",b'Android 9.0 (Pie); Magic 2.1',b'No',"b'128 GB, 6 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@30/60fps; gyro-EIS'",,"b'1080p@30fps, gyro-EIS'",b'Yes',b'No',b'Active noise cancellation with dedicated mic 32-bit/192kHz audio',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 3750 mAh battery',"b'Midnight Black, Sapphire Blue, Icelandic white'",,b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',,"b'LED flash, HDR, panorama'",b'HDR',,,,b'About 500 EUR',b'Yes',b'Fast battery charging 22.5W (50% in 24 min)',,,,,"b'Front/back glass, aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.8, 28mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 16 MP, f/2.2, 13mm (ultrawide), 1/3.1"" 2 MP, f/2.4, 27mm (wide), dedicated macro camera 2 MP, f/2.4, depth sensor'"
b'honor',b'Honor 20 lite',b'https://cdn2.gsmarena.com/vv/bigpic/honor-20-lite.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in)',b'164 g (5.78 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)'",b'Android 9.0 (Pie); EMUI 9',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'128 GB, 4 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'",b'1080p@30/60fps',,b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Non-removable Li-Po 3400 mAh battery',"b'Phantom Blue, Phantom Red, Magic Night Black'",,b'Hisilicon Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,"b'LED flash, HDR, panorama'",b'HDR',b'Yes',b'HRY-LX1T',,b'About 280 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'24 MP, f/1.8, PDAF 8 MP, f/2.2, 13mm (ultrawide) 2 MP, f/2.4, depth sensor'",,
b'honor',b'Honor 20i',b'https://cdn2.gsmarena.com/vv/bigpic/honor-20i.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in)',b'164 g (5.78 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)'",b'Android 9.0 (Pie); EMUI 9.1',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'256 GB, 6 GB RAM or 128 GB, 4/6 GB RAM or 64 GB, 6 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'",b'1080p@30/60fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Gradient Blue, Gradient red, Magic Night Black'",,b'Hisilicon Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,"b'LED flash, HDR, panorama'",b'HDR',,"b'HRY-TL00T, HRY-AL00TA'",b'Non-removable Li-Po 3400 mAh battery',b'About 210 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'24 MP, f/1.8, PDAF 8 MP, f/2.4, 13mm (ultrawide) 2 MP, f/2.4, depth sensor'",,
b'honor',b'Honor 8A Pro',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-8a-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LCD capacitive touchscreen, 16M colors'","b'6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie); EMUI 9',"b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 3 GB RAM or 32 GB, 2/3 GB RAM'","b'13 MP, f/1.8, PDAF'",b'1080p@30fps',"b'8 MP, f/2.0'",b'1080p@30fps',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Non-removable Li-Po 3020 mAh battery',"b'Black, Blue, Red, Gold'",,b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,"b'LED flash, HDR, panorama'",b'HDR',,"b'JAT-L41, JAT-LX1'",,b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Tab 5',b'https://cdn2.gsmarena.com/vv/bigpic/honor-tab-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in)',b'310 g (10.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~74.4% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'",b'Android 9.0 (Pie); Magic 2',"b'microSD, up to 1 TB'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'8 MP, f/2.0, AF'",b'1080p@30fps',"b'8 MP, f/2.0'",b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos sound',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS (LTE model), GLONASS, BDS'",b'No',b'microUSB 2.0',b'Accelerometer',b'Non-removable Li-Po 5100 mAh battery',"b'Silver, Blue'",b'Scratch-resistant glass',b'Hisilicon Kirin 710 (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',,b'HDR',,,b'JDN2-W09HN',,b'About 200 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor View 20',b'https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 6(900), 8(900), 19(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2018, December'","b'Available. Released 2018, December'",b'156.9 x 75.4 x 8.1 mm (6.18 x 2.97 x 0.32 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.4 inches, 101.4 cm2 (~85.7% screen-to-body ratio)'",b'1080 x 2310 pixels (~398 ppi density)',b'Android 9.0 (Pie); Magic UI 2',b'No',"b'256 GB, 8 GB RAM or 128 GB, 6/8 GB RAM'","b'25 MP, f/2.0, 27mm'","b'2160p@30fps, 1080p@30fps, 720p@960fps, (gyro-EIS)'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'3.1, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Saphire Blue, Phantom Blue, Phantom Red, Midnight Black'",b'Yes',b'HiSilicon Kirin 980 (7 nm)',b'Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55)',b'Mali-G76 MP10',"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF TOF 3D camera'","b'Panorama, HDR, LED flash'",b'HDR',b'Yes',"b'PCT-AL10, PCT-TL10, PCT-L29'",b'Non-removable Li-Po 4000 mAh battery',b'About 410 EUR',b'Yes',b'Fast battery charging 22.5W (55% in 30 min) - for Global market Fast battery charging 18W - India only',,,,,"b'Front glass, aluminum frame'",,,,,,,,"b'Contrast ratio: Infinite (1313), 3.597 (sunlight)'",b'Photo / Video',b'Voice 68dB / Noise 74dB / Ring 82dB',b'Noise -93.1dB / Crosstalk -64.5dB',b'Endurance rating 96h',,,,,,,,,b'Basemark OS II: 4363 / Basemark OS II 2.0: 4281Basemark X: 43637',,,
