Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'hp',b'HP Elite x3',b'https://cdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, August'",b'161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in)',b'195 g (6.88 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'Capacitive touchscreen, 16M colors'","b'5.96 inches, 97.5 cm2 (~72.2% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~494 ppi density)'",b'Microsoft Windows 10',"b'microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only'","b'64 GB, 4 GB RAM'","b'16 MP, f/2.2, AF'",b'1080p@30fps',b'8 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'3.0, Type-C 1.0 reversible connector; magnetic connector'","b'Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Bang & Olufsen audio Active noise cancellation with dedicated mic',b'Black',b'Corning Gorilla Glass 4',b'Qualcomm MSM8996 Snapdragon 820 (14 nm)',b'Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)',b'Adreno 530',,"b'LED flash, HDR, panorama'",,b'Yes',,b'Non-removable Li-Po 4150 mAh battery',b'About 700 EUR',,b'Qi/PMA wireless charging',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP Slate 17',b'https://cdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, September'","b'Available. Released 2014, September'",b'418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in)',b'2005 g (4.42 lb)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'17.3 inches, 825.1 cm2 (~69.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~127 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot); SD cards'","b'32 GB, 2 GB RAM'",b'0.9 MP',b'720p@30fps',,,"b'Yes, with stereo speakers'",b'Yes',b'Built-in 2 kickstands',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct'","b'4.0, A2DP'",b'No',b'No',b'USB 2.0',b'Accelerometer',b'No',"b'Snow White, Sweet Yellow'",,b'Intel Celeron N2807',b'Dual-core 1.58 GHz',,,,,,,"b'Non-removable Li-Po battery (43 Wh, 3-cell)'",b'About 370 EUR',,,,b'Up to 7 h 45 min (multimedia)',b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP Pro Slate 12',b'https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',"b'2015, January. Released 2015, January'",b'Discontinued',b'300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in)',b'850 g (1.87 lb)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'12.3 inches, 468.5 cm2 (~70.3% screen-to-body ratio)'","b'1200 x 1600 pixels, 4:3 ratio (~163 ppi density)'",b'Android 4.4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'32 GB, 2 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'2 MP',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'HP Duet Pen',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass, barometer'",b'DTS Sound+',b'Silver',b'Corning Concore Glass',b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',,b'HDR',,b'Yes',,b'Non-removable Li-Po battery (21 Wh)',b'About 490 EUR',,,,b'Up to 10 h (multimedia)',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP Pro Slate 10 EE G1',b'https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, January'","b'Available. Released 2015, January'",b'280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in)',b'855 g (1.88 lb)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~58.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 4.4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'16/32 GB, 1/2 GB RAM'","b'5 MP, AF or 2 MP, AF'",b'Yes',b'2 MP or 1.3 MP',b'',b'Yes',b'Yes',b'Optional mobile dock with standard QWERTY keyboard and trackpad',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, compass'",b'DTS Sound+',b'Black',,b'Intel Atom Z3735G',b'Quad-core 1.33 GHz',,,,,,,b'Non-removable Li-Ion 8380 mAh battery (28.5 Wh)',b'About 240 EUR',,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP Pro Slate 8',b'https://cdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',"b'2015, January'","b'Available. Released 2015, January'",b'207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in)',b'350 g (12.35 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.86 inches, 191.3 cm2 (~67.5% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~326 ppi density)'",b'Android 4.4.4 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'16/32 GB, 2 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'2 MP',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'HP Duet Pen',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro, proximity, compass, barometer'",b'DTS Sound+',b'Gray',b'Corning Gorilla Glass 4',b'Qualcomm Snapdragon 800 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',,b'HDR',,b'Yes',,b'Non-removable Li-Po 5900 mAh battery (21 Wh)',b'About 390 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP Slate6 VoiceTab II',b'https://cdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2014, November'","b'Available. Released 2014, November'",b'165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in)',b'160 g (5.64 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 99.2 cm2 (~72.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'DTS: X Surround Sound',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",b'Removable Li-Ion 3000 mAh battery',b'Silver',,b'Marvell PXA1088',b'Quad-core 1.2 GHz',,,b'LED flash',,,,,b'About 200 EUR',,,b'Up to 750 h (2G) / Up to 750 h (3G)',b'Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G)',,,,,,,,,,b'0.54 W/kg (head) \xc2\xa0 \xc2\xa0 0.28 W/kg (body)',,,,,,b'0.15 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',,,,,,,,,,,
b'hp',b'HP 10 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg',b'No cellular connectivity',b'N/A',,,,b'2014',b'Available. Released 2014',b'265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in)',b'660 g (1.46 lb)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~63.8% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'5 MP, AF'",b'1080p@30fps',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Non-removable Li-Po 7700 mAh battery (28 Wh)',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro'",,b'Black/Silver',,,b'Quad-core 1.0 GHz',,,b'HDR',,,,,,,,,b'Up to 6 h (multimedia)',b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP 7 VoiceTab',b'https://cdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',,b'HSPA',"b'2014, October'","b'Available. Released 2014, October'",b'192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in)',b'305 g (10.76 oz)',b'Micro-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'6.95 inches, 135.9 cm2 (~69.2% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~171 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'",b'5 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 3000 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black/White',,b'Mediatek MT8382 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,,b'About 140 EUR',,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP 7 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, May'","b'Available. Released 2014, May'",b'192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in)',b'294.8 g (10.37 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~58.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 4.2.2 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'",b'2 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Non-removable Li-Po 2800 mAh battery',b'Wi-Fi 802.11 b/g/n',b'',b'No',b'No',b'microUSB 2.0',b'Accelerometer',,b'Silver',,b'Allwinner A31',b'Quad-core 1.0 GHz Cortex-A7',,,,,,,,b'About 70 EUR',,,,b'Up to 5 h 30 min (multimedia)',b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'hp',b'HP 8',b'https://cdn2.gsmarena.com/vv/bigpic/hp-8.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, February'","b'Available. Released 2014, March'",b'200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in)',b'313 g (11.04 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.85 inches, 190.8 cm2 (~69.9% screen-to-body ratio)'","b'768 x 1024 pixels, 4:3 ratio (~163 ppi density)'",b'Android 4.2.2 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'16 GB, 1 GB RAM'",b'2 MP',b'Yes',b'VGA',b'',"b'Yes, with stereo speakers'",b'Yes',b'Non-removable Li-Po 3800 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro'",,b'Silver',,b'Allwinner A31',b'Quad-core 1.0 GHz Cortex-A7',,,,,,,,b'About 120 EUR',,,,b'Up to 7 h (multimedia)',b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
