Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'i_mate',b'i-mate 810-F',b'https://cdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/0.384 Mbps',"b'2009, February. Released 2009'",b'Discontinued',b'111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.46 inches, 18.7 cm2 (~25.6% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~163 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',b'No',"b'2 GB, 128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',b'Yes',b'',b'Yes',b'No',b'',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'Yes',b'No',b'Proprietary',"b'Accelerometer, compass'",b'Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager',b'Blue',,,b'624 MHz Marvell PXA310',,,,,,,b'Removable Li-Po 1200 mAh battery',b'About 550 EUR',,,b'Up to 200 h',b'Up to 3 h 30 min',,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)'",,,,,,,,,
b'i_mate',b'i-mate Ultimate 9502',b'https://cdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, October. Released 2008, March'",b'Discontinued',b'116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in)',b'200 g (7.05 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.8 inches, 24.3 cm2 (~34.9% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD (dedicated slot)',"b'128 MB RAM, 256 MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'2.5 mm audio jack',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'Yes',b'No',b'Proprietary',b'',"b'Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager TV-out i-mate GPRS Configurator(WAP, MMS)'",b'Black',,b'Qualcomm MSM7200',b'400 MHz ARM 11',b'Adreno 130',,b'LED flash',,,,b'Removable Li-Po 1620 mAh battery',b'About 410 EUR',,,b'Up to 180 h',b'Up to 4 h 20 min',,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 8502',b'https://cdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, October. Released 2008, September'",b'Discontinued',b'116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.6 inches, 20.9 cm2 (~32.8% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~154 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD (dedicated slot)',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'Yes',b'No',b'Proprietary',b'',b'2.5 mm audio jack',b'Black',,b'Qualcomm MSM7200',b'400 MHz ARM 11',b'Adreno 130',,b'LED flash',,,,b'Removable Li-Ion 1530 mAh battery',b'About 200 EUR',,,b'Up to 180 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate JAMA 201',b'https://cdn2.gsmarena.com/vv/bigpic/imate-jama201.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2007, October. Released 2008, October'",b'Discontinued',b'113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in)',b'152 g (5.36 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 17.8 cm2 (~25.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD (dedicated slot)',"b'64 MB RAM, 128 MB ROM'","b'2 MP, AF'",b'Yes',,,b'Yes',b'No',b'No',b'No',b'1.1',b'No',b'No',b'miniUSB 1.1',b'',b'Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager',b'Black',,,b'SAMSUNG SC3 2442X 300MHz',,,b'LED flash',,,,b'Removable Li-Ion 1050 mAh battery',b'About 250 EUR',,,b'Up to 150 h',b'Up to 4 h',b'Class 10',b'No',,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate JAMA 101',b'https://cdn2.gsmarena.com/vv/bigpic/imate-jama101.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2007, October'",b'Cancelled',b'105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in)',b'110 g (3.63 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD',"b'64 MB RAM, 128 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'Handwriting recognition 4-way navigation pad',b'No',b'1.2',b'No',b'No',b'miniUSB 1.1',b'',b'No',b'Black',,,b'SAMSUNG SC3 2442X 300MHz',,,,,,,b'Removable Li-Ion 1020 mAh battery',b'About 250 EUR',,,b'Up to 150 h',b'Up to 4 h',b'Class 10',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate JAMA',b'https://cdn2.gsmarena.com/vv/bigpic/imate-jama.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2007, June'",b'Discontinued',b'106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in)',b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 17.8 cm2 (~32.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'microSD (dedicated slot)',"b'64 MB RAM, 128 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'Handwriting recognition 4-way navigation pad',b'No',b'1.2',b'No',b'No',b'miniUSB 1.1',b'',b'No',b'Silver',,,b'Samsung SC3 2442X 300MHz',,,,,,,b'Removable Li-Ion 1000 mAh battery',b'About 200 EUR',,,b'Up to 150 h',b'Up to 4 h',b'Class 10',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 9150',b'https://cdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, February'",b'Cancelled',b'98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in)',b'',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.6 inches, 20.9 cm2 (~42.7% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~308 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',b'Yes',b'',b'Yes',b'No',"b'Second OLED, 1.2 inches display Handwriting recognition'",b'Wi-Fi 802.11 b/g/e/i',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out',b'Silver',,,b'Intel Bulverde 520 MHz',,,,,,,b'Removable Li-Ion 1400 mAh battery',b'About 410 EUR',b'Yes',,,,,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 8150',b'https://cdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, February'",b'Discontinued',b'118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in)',b'152 g (5.36 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.6 inches, 20.9 cm2 (~29.2% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~308 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD (dedicated slot)',"b'128 MB RAM, 256 MB ROM'","b'2 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11 b/g/e/i',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out',b'Silver',,,b'Intel XScale PXA270 520 MHz',,,,,,,b'Removable Li-Ion 1530 mAh battery',b'About 260 EUR',b'Yes',,,,,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 7150',b'https://cdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, February'",b'Cancelled',b'110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in)',b'180 g (6.35 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'3.8 inches, 44.7 cm2 (~54.9% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~211 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',"b'Second OLED, 2.2 inches display (128 x 128 pixels) Handwriting recognition'",b'Wi-Fi 802.11 b/g/e/i',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out',b'Silver',,,b'Intel Bulverde 520 MHz',,,,,,,b'Removable Li-Ion 1400 mAh battery',b'About 300 EUR',b'Yes',,,,,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 6150',b'https://cdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, February. Released 2008, January'",b'Discontinued',b'118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in)',b'152 g (5.36 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.8 inches, 24.3 cm2 (~33.9% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD (dedicated slot)',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11 b/g/e/i',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out',b'Silver',,,b'Intel Bulverde 520 MHz',,,,,,,b'Removable Li-Ion 1530 mAh battery',b'About 260 EUR',b'Yes',,,,,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
b'i_mate',b'i-mate Ultimate 5150',b'https://cdn2.gsmarena.com/vv/bigpic/imate-ultim5150.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, February'",b'Cancelled',b'117 x 60.5 x 19.5 mm (4.61 x 2.38 x 0.77 in)',b'',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.8 inches, 24.3 cm2 (~34.3% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',b'Yes',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11 b/g/e/i',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'miniUSB',b'',b'Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Pocket Office  File manager TV-out',b'Silver',,,b'Intel Bulverde 520 MHz',,,,,,,b'Removable Li-Ion 1400 mAh battery',b'About 300 EUR',b'Yes',,,,,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,
