Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'icemobile',b'Icemobile G8 LTE',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900 / 900',"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)'","b'HSPA, LTE'","b'2017, July'","b'Available. Released 2017, July'",b'188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in)',b'320 g (11.29 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~67.9% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 5.1 (Lollipop)',b'microSD',,"b'5 MP, AF'",b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2800 mAh battery',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,"b'Black, Silver, Gold'",,b'Mediatek MT8735',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',,b'LED flash',,,,,,b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Mash',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2016, March'","b'Available. Released 2016, March'",b'110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in)',b'-',b'Dual SIM',b'TFT',"b'2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~182 ppi density)'",,"b'microSD, up to 16 GB (dedicated slot)'","b'32 MB, 32 MB RAM'",b'VGA',b'No',,,b'Yes',b'Yes',b'No',b'No',b'2.0',b'No',b'FM radio',b'microUSB',b'',b'MP4/H.263 player MP3 player',"b'White, Black, Red, Gold'",,b'Spreadtrum 6531DA',,,,,,,,b'Removable Li-Ion 800 mAh battery',,,,b'Up to 150 h',b'Up to 3 h',b'Yes',b'No',,,b'300 entries',b'20 entries',b'SMS',b'No',b'No',,,,,,,,b'QWERTY',,,,,,,,,,
b'icemobile',b'Icemobile G8',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2015, September'","b'Available. Released 2015, September'",b'190 x 110 x 13 mm (7.48 x 4.33 x 0.51 in)',b'320 g (11.29 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~66.0% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 4.4.2 (KitKat)',b'microSD (dedicated slot)',,"b'5 MP, AF'",b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2600 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'2.1, EDR'","b'Yes, with A-GPS'",b'FM radio',b'2.0',b'Accelerometer',,"b'White, Black, Blue'",,b'Mediatek MT6572 (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,b'Yes',,b'Up to 280 h',b'Up to 10 h',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Prime 5.0 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700 / 1900',,b'HSPA',"b'2015, February'","b'Available. Released 2015, February'",b'-',b'-',b'Dual SIM',b'IPS LCD capacitive touchscreen',"b'5.0 inches, 68.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'8 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 2000 mAh battery',"b'Black, Blue'",,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Prime 5.0',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900',,b'HSPA',"b'2015, February'","b'Available. Released 2015, February'",b'142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in)',b'-',b'Dual SIM',b'IPS LCD capacitive touchscreen',"b'5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'Yes',b'1.3 MP',b'',b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g/n',b'2.0',b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1600 mAh battery',"b'Black, White'",,b'Mediatek MT6572A',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,,b'Up to 3 h',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Prime 4.0 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700 / 1900',,b'HSPA',"b'2015, February'","b'Available. Released 2015, February'",b'125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in)',b'-',b'Dual SIM',b'IPS LCD capacitive touchscreen',"b', -'","b'480 x 800 pixels, 5:3 ratio'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'2 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g/n',b'2.0',b'Yes',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1400 mAh battery',"b'Black, Blue'",,b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Gravity 4.0',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',b'2014',"b'Available. Released 2014, November'",b'140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in)',b'316 g (11.15 oz)',b'Micro-SIM',b'IPS LCD capacitive touchscreen',"b'4.02 inches, 44.5 cm2 (~41.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~244 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'1.3 MP',b'',b'Yes',b'Yes',b'IP68 dust/water proof (up to 1.5m for 30 mins)',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'",b'Yes',b'FM radio',b'microUSB 2.0',b'',b'Active noise cancellation with dedicated mic',"b'Black, White, Orange, Yellow, Green'",,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,b'Removable Li-Ion 2800 mAh battery',,,,b'Up to 300 h (2G) / Up to 300 h (3G)',b'Up to 12 h (2G) / Up to 7 h 30 min (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Rock 2.4',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2014',b'Available. Released 2014',b'120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in)',b'60 g (2.12 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.4 inches, 18.1 cm2 (~30.2% screen-to-body ratio)'",b'176 x 220 pixels (~117 ppi density)',,"b'microSD, up to 8 GB'",b'32 MB + 32 MB',b'VGA',b'Yes',,,b'Yes',b'No',b'No',b'No',b'2.0',b'No',b'FM radio',b'microUSB',b'',b'MP3/MP4/WAV player Calendar Predictive text input',"b'Black, White, Red, Pink, Green, White&blue;'",,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 100 h',b'Up to 9 h',b'Yes',b'No',,,b'500 contacts',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Prime 5.5',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900',,b'HSPA',"b'2014, August. Released 2014, August'",b'Discontinued',b'152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in)',b'-',b'Dual SIM',b'IPS LCD capacitive touchscreen',"b'5.46 inches, 82.2 cm2 (~70.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~269 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB'","b'16 GB, 1 GB RAM'",b'8 MP',b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2250 mAh battery',b'Wi-Fi 802.11 b/g/n',b'Yes',b'',b'FM radio',b'Proprietary',b'',,b'White',,b'Mediatek MT6582A/W',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Prime 3.5',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900',,b'HSPA 7.2/5.76 Mbps',"b'2014, July'","b'Available. Released 2014, July'",b'119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in)',b'-',b'Dual SIM',b'TFT capacitive touchscreen',"b'3.5 inches, 36.5 cm2 (~48.1% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.2.2 (Jelly Bean)',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'2 MP',b'480p@30fps',b'VGA',b'',b'Yes',b'Yes',b'Removable Li-Ion 1200 mAh battery',b'Wi-Fi 802.11 b/g',b'2.1',b'Yes',b'No',b'microUSB 2.0',b'Accelerometer',,"b'White, Black'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
