Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'intex',b'Intex Aqua Craze',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 3(1800), 5(850), 40(2300)'","b'HSPA, LTE'","b'2016, January'","b'Available. Released 2016, January'",b'143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in)',b'165 g (5.82 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2500 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Gray, White, Gold'",,b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',,"b'LED flash, panorama, HDR'",,,,,,,,,,,,,,,,,,,b'0.73 W/kg (head)',,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua GenX',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 3(1800), 40(2300)'","b'HSPA, LTE'","b'2015, August'","b'Available. Released 2015, August'",b'152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in)',b'175 g (6.17 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 32 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2850 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'White',b'Asahi Dragontrail Glass',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-T720MP3',,"b'LED flash, panorama, HDR'",,,,,,,,,,,,,,,,,,,b'0.72 W/kg (head)',,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua Ace',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 3(1800), 5(850), 40(2300)'","b'HSPA, LTE'","b'2015, October'","b'Available. Released 2015, October'",b'145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in)',b'121.5 g (4.30 oz)',b'Dual SIM',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 3 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Po 2300 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, White'",b'Corning Gorilla Glass',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',,"b'LED flash, panorama, HDR'",,,,,,,,b'Up to 250 h',b'Up to 10 h',,,"b'Front/back glass (Gorilla Glass), aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua Trend',b'https://cdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',"b'LTE band 3(1800), 40(2300)'","b'HSPA, LTE'","b'2015, September'","b'Available. Released 2015, September'",b'144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in)',b'158.5 g (5.61 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',"b'microSD, up to 32 GB'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 3000 mAh battery',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Champagne, silver, gray, black'",,b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',,"b'LED flash, panorama'",,,,,,,,b'Up to 250 h',b'Up to 7 h',,,,,,,,,,,,,,,,b'1.44 W/kg (head)',,,,,,,,,,,
b'intex',b'Intex IRist Smartwatch',b'https://cdn2.gsmarena.com/vv/bigpic/intex-watch.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 1900 / 2100',,b'HSPA',"b'2015, July'","b'Available. Released 2015, August'",b'44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in)',b'83 g (3.03 oz)',b'Micro-SIM',b'OLED capacitive touchscreen',"b'1.56 inches, 7.9 cm2 (~40.5% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~218 ppi density)'",b'Android OS compatible',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'",b'5 MP',b'Yes',,,b'Yes',b'No',b'No',b'Wi-Fi 802.11 b/g/n',b'2.0',b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Video player Photo viewer',"b'Orange, pink, black'",,b'Mediatek MT6572 (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',,,,,,b'Non-removable Li-Ion 600 mAh battery',b'About 160 EUR',,,b'Up to 200 h (mixed usage)',,,,,,,,,,,,,,,,,b'0.98 W/kg (head)',,,,,,,,,,,
b'intex',b'Intex Aqua 4G+',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'LTE band 1(2100), 3(1800), 40(2300), 41(2500)'","b'HSPA, LTE'","b'2015, June'","b'Available. Released 2015, June'",b'140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in)',b'136.5 g (4.83 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.0 (Lollipop)',"b'microSD, up to 32 GB'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2300 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'White, Black'",,b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',,"b'LED flash, panorama'",,,,,,,,b'Up to 210 h',b'Up to 8 h',,,,,,,,,,b'0.26 W/kg (head)',,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua Xtreme II',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA',"b'2015, June'","b'Available. Released 2015, June'",b'140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in)',b'132 g (4.66 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'16 GB, 2 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,"b'White, Black, Champagne, Silver'",,b'Mediatek MT6592M (28 nm)',b'Octa-core 1.4 GHz Cortex-A7',b'Mali-450MP4',,"b'LED flash, panorama, HDR'",,,,,,,,b'Up to 300 h',b'Up to 8 h',,,,,,,,,,b'0.26 W/kg (head)',,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua Y2 Remote',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA',"b'2015, February'","b'Available. Released 2015, February'",b'125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in)',b'110 g (3.88 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 1500 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Blue, White, Gray'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',,"b'LED flash, panorama'",,,,,,,,b'Up to 180 h',b'Up to 8 h',,,,,,,,,,,,,,,,b'0.78 W/kg (head)',,,,,,,,,,,
b'intex',b'Intex Aqua Xtreme',b'https://cdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA',"b'2014, December'","b'Available. Released 2014, December'",b'144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in)',b'119.5 g (4.23 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.0 (Lollipop)',"b'microSD, up to 32 GB'","b'32 GB, 2 GB RAM'","b'13 MP, AF'",b'Yes',b'5 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, Gray, Red'",b'Asahi Dragontrail Glass',b'Mediatek MT6592 (28 nm)',b'Octa-core 1.7 GHz Cortex-A7',b'Mali-450MP4',,"b'LED flash, panorama, HDR'",,,,,,,,b'Up to 180 h',b'Up to 7 h',,,,,,,,,,,,,,,,b'0.62 W/kg (head)',,,,,,,,,,,
b'intex',b'Intex Aqua Star L',b'https://cdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 2100',,b'HSPA',"b'2015, January'","b'Available. Released 2015, January'",b'141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in)',b'130 g (4.59 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 5.0 (Lollipop)',"b'microSD, up to 32 GB'","b'8 GB, 1 GB RAM'","b'8 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'White, black'",,b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,"b'LED flash, panorama'",,,,,,,,b'Up to 220 h',b'Up to 5 h',,,,,,,,,,,,,,,,b'0.72 W/kg (head)',,,,,,,,,,,
