Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'lenovo',b'Lenovo Z6',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z6.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, July'","b'Available. Released 2019, July'",b'157 x 74.5 x 8 mm (6.18 x 2.93 x 0.31 in)',b'159 g (5.61 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); ZUI 11',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'128 GB, 6/8 GB RAM or 64 GB, 6 GB RAM'",b'16 MP',"b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, proximity, compass'",b'DCI-P3 HDR10 120 Hz',b'Blue',b'Corning Gorilla Glass (unspecified)',b'Qualcomm SDM730 Snapdragon 730 (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',,"b'Dual-LED flash, panorama, HDR'",b'HDR',,,b'Non-removable Li-Po 4000 mAh battery',b'About 250 EUR',,b'Fast battery charging 15W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'24 MP, f/1.8, (wide), 1/2.8"", 0.9\xc2\xb5m, PDAF 8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom 5 MP, f/2.2, depth sensor'",,
b'lenovo',b'Lenovo Z6 Pro 5G',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)'","b'2019, June'","b'Coming soon. Exp. release 2019, July'",b'157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); ZUI 11',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'512 GB, 12 GB RAM or 256 GB, 8 GB RAM or 128 GB, 6/8 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'DCI-P3 HDR10',b'Red',,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',,"b'Dual-LED flash, panorama, HDR'",b'HDR',b'Yes',,b'Non-removable Li-Po 4000 mAh battery',b'About 400 EUR',,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5G NSA / Sub6 / mmWave; N41/N78',"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, (telephoto), PDAF 16 MP, f/2.2, 12mm (ultrawide) 2 MP, f/1.8, 2.9\xc2\xb5m, PDAF, OIS (dedicated video camera) TOF 3D camera'"
b'lenovo',b'Lenovo Z6 Youth',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, May'","b'Available. Released 2019, May'",b'156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in)',b'164 g (5.78 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~83.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'",b'Android 9.0 (Pie); ZUI 11',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'128 GB, 6 GB RAM or 64 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'HDR10',"b'Red, Green'",,b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',b'L38111',b'Non-removable Li-Po 4050 mAh battery',b'About 160 EUR',,b'Fast battery charging 15W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP, f/1.8, PDAF 8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom 5 MP, f/2.2, (wide)'",,
b'lenovo',b'Lenovo Z6 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~85.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); ZUI 11',"b'microSD, up to 1 TB (uses shared SIM slot)'","b'512 GB, 12 GB RAM or 256 GB, 8 GB RAM or 128 GB, 6/8 GB RAM'","b'32 MP, f/2.0, 0.8\xc2\xb5m'","b'2160p@30fps, 1080p@120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'DCI-P3 HDR10',"b'Red, Green'",,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',,"b'Dual-LED flash, panorama, HDR'",b'HDR',b'Yes',,b'Non-removable Li-Po 4000 mAh battery',b'About 400 EUR',,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.8, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, (telephoto), PDAF 16 MP, f/2.2, 12mm (ultrawide) 2 MP, f/1.8, 2.9\xc2\xb5m, PDAF, OIS (dedicated video camera) TOF 3D camera'"
b'lenovo',b'Lenovo K6 Enjoy',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-k6-enjoy.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, April'",b'156.4 x 75 x 8 mm (6.16 x 2.95 x 0.31 in)',b'161 g (5.68 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.22 inches, 96.6 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'64/128 GB, 4 GB RAM'",b'8 MP',b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Active noise cancellation with dedicated mic',"b'Blue, Black'",,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',,"b'Dual-LED flash, HDR, panorama'",b'HDR',,b'L38082',b'Non-removable Li-Ion 3300 mAh battery',b'About 190 EUR',,b'Fast battery charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'12 MP, PDAF 8 MP 5 MP, f/2.4, depth sensor'",,
b'lenovo',b'Lenovo Tab V7',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-tab-v7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1800 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)'","b'HSPA, LTE-A'","b'2019, February'","b'Available. Released 2019, April'",b'177.9 x 86.5 x 7.9 mm (7.00 x 3.41 x 0.31 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.95 inches, 122.5 cm2 (~79.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~350 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 256 GB'","b'64 GB, 3/4 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Dolby Atmos sound',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Non-removable Li-Ion 5180 mAh battery',b'Black',,b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',,"b'LED flash, HDR, panorama'",,,,,b'About 250 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo S5 Pro GT',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'154.5 x 75.5 x 7.7 mm (6.08 x 2.97 x 0.30 in)',b'170 g (6.00 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.9 cm2 (~83.0% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)'",b'Android 8.1 (Oreo); ZUI 10',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'64/128 GB, 6 GB RAM or 64 GB, 4 GB RAM'",,"b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Infrared face recognition, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, Gold, Blue'",,b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',b'Adreno 512',"b'12 MP, f/1.8, 1/2.9"", 1.25\xc2\xb5m, PDAF 20 MP, f/2.6, 2x optical zoom'","b'Dual-LED dual-tone flash, HDR, panorama'",b'HDR',,,b'Non-removable Li-Ion 3500 mAh battery',b'About 200 EUR',,b'Fast battery charging 2A/9V 18W',,,,,,,,,,,,,,,,,,,,,,,,,"b'20 MP, f/2.0, 1/2.8"", 1.0\xc2\xb5m 8 MP'",,,,
b'lenovo',b'Lenovo Z5s',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z5s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'156.7 x 74.5 x 7.9 mm (6.17 x 2.93 x 0.31 in)',b'172 g (6.07 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~83.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'",b'Android 9.0 (Pie); ZUI 10',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'128 GB, 6 GB RAM or 64 GB, 4 GB RAM'","b'16 MP, f/2.0'","b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Starry Night Grey, Love Orange, Titanium Blue'",b'Corning Gorilla Glass (unspecified version)',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core 2.2 GHz Kryo 260',b'Adreno 616',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'HDR',,b'L78071',b'Non-removable Li-Ion 3300 mAh battery',b'About 220 EUR',,b'Fast battery charging 15W',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom 5 MP, f/2.4, depth sensor'",,
b'lenovo',b'Lenovo Z5 Pro GT',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro-gt-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2018, December'","b'Available. Released 2019, January'",b'155.1 x 73 x 9.3 mm (6.11 x 2.87 x 0.37 in)',b'210 g (7.41 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~88.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo); ZUI 10',b'No',"b'512 GB, 12 GB RAM or 128/256 GB, 8 GB RAM'",,"b'2160p@30fps, 1080p@120fps'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Infrared face recognition, fingerprint (under display), accelerometer, gyro, proximity, compass'",b'Dolby Atmos sound',b'Carbon Black',,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',"b'16 MP, f/1.8, 1/2.6"", 1.22\xc2\xb5m, PDAF 24 MP, 1/2.8"", 0.9\xc2\xb5m'","b'Dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',,b'Non-removable Li-Po 3350 mAh battery',b'About 400 EUR',,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,"b'Manual pop-up 16 MP, f/2.2 Manual pop-up 8 MP'",,,,
b'lenovo',b'Lenovo Z5 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, November'","b'Available. Released 2018, November'",b'155.1 x 73 x 9.3 mm (6.11 x 2.87 x 0.37 in)',b'210 g (7.41 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~88.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo); ZUI 10',b'No',"b'64/128 GB, 6 GB RAM'",,"b'2160p@30fps, 1080p@120fps'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Infrared face recognition, fingerprint (under display), accelerometer, gyro, proximity, compass'",b'Dolby Atmos sound',b'Black',,b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',"b'16 MP, f/1.8, 1/2.6"", 1.22\xc2\xb5m, PDAF 24 MP, 1/2.8"", 0.9\xc2\xb5m'","b'Dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',b'L78031',b'Non-removable Li-Po 3350 mAh battery',b'About 300 EUR',,b'Fast battery charging 18W',,,,,,,,,,,,,,,,,,,,,,,,,"b'Manual pop-up 16 MP, f/2.2 Manual pop-up 8 MP'",,,,
