Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple
b'meizu',b'Meizu 16Xs',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, May'","b'Available. Released 2019, June'",b'152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED capacitive touchscreen, 16M colors'","b'6.2 inches, 95.8 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); Flyme',b'No',"b'64/128 GB, 6 GB RAM'","b'16 MP, f/2.2'","b'2160p@30fps, 1080p@30fps (gyro-EIS)'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Carbon Black, Pearl White, Phantom Blue'",,b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',,"b'LED flash, HDR, panorama'",b'HDR',,,b'Non-removable Li-Po 4000 mAh battery',b'About 220 EUR',,b'Fast battery charging 24W mCharge',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.7, 13mm (ultrawide), 1/2"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2 5 MP, f/1.9, depth sensor'",,,
b'meizu',b'Meizu 16s',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 40(2300)'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.2 inches, 97.2 cm2 (~87.2% screen-to-body ratio)'","b'1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)'",b'Android 9.0 (Pie); Flyme 7.3',b'No',"b'128/256 GB, 8 GB RAM or 128 GB, 6 GB RAM'","b'20MP, f/2.2'","b'2160p@30fps, 1080p@30fps (gyro-EIS)'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Carbon Black, Pearl White, Phantom Blue'",,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',"b'48 MP, f/1.7, (wide), 1/2"", 0.8\xc2\xb5m, PDAF, OIS 20MP, f/2.6, (telephoto), PDAF'","b'Six-LED dual-tone flash, Auto-HDR, panorama'",b'HDR',b'Yes',,b'Non-removable Li-Po 3600 mAh battery',b'About 420 EUR',,b'Fast battery charging 24W mCharge',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu Note 9',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, March'","b'Available. Released 2019, March'",b'153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.4 cm2 (~84.7% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); Flyme 7.2',b'No',"b'64/128 GB, 6 GB RAM or 64 GB, 4 GB RAM'","b'20 MP, f/2.0'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, White, Starlight Blue'",,b'Qualcomm SDM675 Snapdragon 675 (11 nm)',b'Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)',b'Adreno 612',"b'48 MP, f/1.7, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 5 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama'",,,,b'Non-removable Li-Ion 4000 mAh battery',b'About 200 EUR',,b'Fast battery charging 18W (mCharge)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu C9 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 40(2300)'","b'HSPA, LTE-A'","b'2018, December'","b'Available. Released 2018, December'",b'146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IGZO IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 8.0 (Oreo); Flyme UI',"b'microSD, up to 128 GB'","b'32 GB, 3 GB RAM'","b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 3000 mAh battery',"b'Black, Gold'",,b'Unisoc SC9832E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820MP1',,"b'LED flash, panorama'",,,,,b'About 110 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu Zero',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps'","b'2019, January'",b'Cancelled',b'-',b'-',b'eSIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'5.99 inches, 88.1 cm2'","b'1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)'",b'Android 9.0 (Pie)',b'No',"b'64/128 GB, 4/6 GB RAM'",b'20 MP',"b'2160p@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',"b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'IP68',"b'Black, White'",,b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver)',b'Adreno 630',"b'12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55\xc2\xb5m, PDAF 20 MP, PDAF'","b'Dual-LED dual-tone flash, panorama'",,b'Yes',,b'Non-removable Li-Ion battery',,,b'Wireless charging 18W',,,,,"b'Front glass, ceramic unibody'",,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu C9',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-c9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 5(850), 8(900), 40(2300)'","b'HSPA, LTE-A'","b'2018, December'","b'Available. Released 2018, December'",b'146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IGZO IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 8.0 (Oreo); Flyme UI',"b'microSD, up to 128 GB'","b'16 GB, 2 GB RAM'","b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 3000 mAh battery',"b'Black, Blue'",,b'Unisoc SC9832E',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-820MP1',,"b'LED flash, panorama'",,,b'C9',,b'About 90 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu Note 8',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-note-8-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - China',"b'LTE band 1(2100), 3(1800), 5(850), 38(2600), 39(1900), 40(2300), 41(2500) - China'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, October'","b'Available. Released 2018, November'",b'153.6 x 75.5 x 7.9 mm (6.05 x 2.97 x 0.31 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~80.1% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'Android 8.0 (Oreo); Flyme 7.3',b'No',"b'64 GB, 4 GB RAM'","b'8 MP, f/2.0'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA - China',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, Blue, Red, Pink'",,b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',"b'12 MP, f/1.9, 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF 5 MP, depth sensor'","b'Dual-LED dual-tone flash, panorama'",,,,b'Non-removable Li-Ion 3600 mAh battery',b'About 200 EUR',,b'Fast battery charging 24W mCharge 4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu X8',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-x8.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - China',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - China'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat15 800/150 Mbps'","b'2018, September'","b'Available. Released 2018, October'",b'151.2 x 74.6 x 7.8 mm (5.95 x 2.94 x 0.31 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 97.6 cm2 (~86.5% screen-to-body ratio)'","b'1080 x 2220 pixels, 18.5:9 ratio (~398 ppi density)'",b'Android 8.0 (Oreo); Flyme UI',b'No',"b'128 GB, 6 GB RAM or 64 GB, 4/6 GB RAM'",b'20 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA - China',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, Blue, White'",,b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',"b'12 MP, f/1.9, 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF 5 MP'","b'Dual-LED dual-tone flash, panorama'",,,b'X8',b'Non-removable Li-Ion 3210 mAh battery',b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu V8 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-v8-pro.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - China',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - China'","b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, September'","b'Available. Released 2018, September'",b'147.5 x 72.7 x 8.1 mm (5.81 x 2.86 x 0.32 in)',b'159 g (5.61 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 83.8 cm2 (~78.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 8.0 (Oreo); Flyme UI',"b'microSD, up to 128 GB'","b'64 GB, 4 GB RAM'","b'5 MP, f/1.9'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA - China',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, Gold'",,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',"b'12 MP, f/2.2, AF 5 MP, f/2.2'","b'Dual-LED dual-tone flash, panorama'",,,,b'Non-removable Li-Ion 3100 mAh battery',b'About 150 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'meizu',b'Meizu V8',b'https://cdn2.gsmarena.com/vv/bigpic/meizu-v8.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - China',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500) - China'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, September'","b'Available. Released 2018, September'",b'148 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in)',b'145 g (5.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 83.8 cm2 (~77.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 8.0 (Oreo); Flyme UI',"b'microSD, up to 128 GB'","b'32 GB, 3 RAM'","b'13 MP, f/2.2, AF'",b'1080p@30fps',"b'5 MP, f/1.9'",b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA - China',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, White'",,b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',,"b'Dual-LED dual-tone flash, panorama'",,,,b'Non-removable Li-Ion 3200 mAh battery',b'About 100 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
