Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Charging,Colors,Price,Performance,Loudspeaker_1,Battery life,Dual,Models,Display,Camera,Audio quality,Dual_1,Talk time,SAR,Stand-by,Infrared port,SAR EU,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm,Triple
motorola,Motorola Moto Z4,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-z4-r.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 30(2300), 38(2600), 40(2300), 41(2500), 66(1700/2100), 71(600) - USA","HSPA, LTE-A","2019, May","Available. Released 2019, June",158 x 75 x 7.4 mm (6.22 x 2.95 x 0.29 in),165 g (5.82 oz),"Front/back glass, aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",Splash and dust resistant,"OLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Corning Gorilla Glass 3,Android 9.0 (Pie),Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"microSD, up to 1 TB (uses shared SIM slot)","128 GB, 4 GB RAM","48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS","Dual-LED dual-tone flash, panorama, HDR","2160p@30fps, 1080p@30/60fps","25 MP, f/2.0, 0.9µm",HDR,1080p@30fps,Yes,Yes,Non-removable Li-Ion 3600 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO",Yes,FM radio,"3.1, Type-C 1.0 reversible connector, magnetic connector, USB On-The-Go","Fingerprint (under display), accelerometer, gyro, proximity, compass",Fast battery charging 15W,"Flash Grey, Frost White",About 500 EUR,Basemark OS II: 2922 / Basemark OS II 2.0: 2975Basemark X: 21197,Voice 70dB / Noise 73dB / Ring 80dB,Endurance rating 70h,,,,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One Vision,https://cdn2.gsmarena.com/vv/bigpic/motorola-one-vision.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - Europe,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 28(700), 66(1700/2100) - USA","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, May","Available. Released 2019, May",160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),180 g (6.35 oz),"Front/back glass, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500) - Europe","LTPS IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 94.0 cm2 (~82.5% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~432 ppi density)",Corning Gorilla Glass (unspecified version),Android 9.0 (Pie); Android One,Exynos 9609,Octa-core 2.2 GHz,Mali-G72 MP3,"microSD, up to 1 TB (uses shared SIM slot)","128 GB, 4 GB RAM","25 MP, f/2.0, 0.9µm","Dual-LED dual-tone flash, HDR, panorama","2160p@30fps, 1080p@30/60fps",,,1080p@30fps,Yes,Yes,Non-removable Li-Po 3500 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 15W,"Bronze gradient, Sapphire gradient",About 300 EUR,Basemark OS II: 2482 / Basemark OS II 2.0: 2370Basemark X: 21565,Voice 73dB / Noise 71dB / Ring 85dB,Endurance rating 67h,"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS 5 MP, f/2.2, depth sensor",XT1970-1,Contrast ratio: 1190:1 (nominal),Photo / Video,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G7 Plus,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Splash resistant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps","2019, February","Available. Released 2019, March",157 x 75.3 x 8.3 mm (6.18 x 2.96 x 0.33 in),176 g (6.21 oz),"Front/back glass (Gorilla Glass 3), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic Dolby Audio,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.2 cm2 (~81.4% screen-to-body ratio)","1080 x 2270 pixels, 19:9 ratio (~405 ppi density)",Corning Gorilla Glass 3,Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM","12 MP, 1.25µm","Dual-LED dual-tone flash, panorama, HDR","2160p@30fps, 1080p@30/60/120fps, gyro-EIS",,HDR,"2160p@30fps, 1080p@30fps","Yes, with stereo speakers",Yes,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR, aptX","Yes, with A-GPS, GLONASS, GALILEO",Yes (Europe model),FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Fast battery charging 27W Quick Charge 4, USB Power Delivery 3.0","Deep Indigo, Viva Red",About 300 EUR,Basemark OS II: 2422 / Basemark OS II 2.0: 1999Basemark X: 15004,Voice 70dB / Noise 72dB / Ring 84dB,Endurance rating 59h,"16 MP, f/1.7, 1.22µm, PDAF, OIS 5 MP, f/2.2, depth sensor",moto g(7) plus,"Contrast ratio: 1425 (nominal), 3.010 (sunlight)",Photo / Video,Noise -93.3dB / Crosstalk -93.8dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G7,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,HSDPA 850 / 900 / 1900 / 2100 - Europe,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500) - Europe","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps","2019, February","Available. Released 2019, March",157 x 75.3 x 8 mm (6.18 x 2.96 x 0.31 in),172 g (6.07 oz),"Front/back glass (Gorilla Glass 3), plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 66(1700/2100), 38(2600), 40(2300), 41(2500) - USA","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.2 cm2 (~81.4% screen-to-body ratio)","1080 x 2270 pixels, 19:9 ratio (~405 ppi density)",Corning Gorilla Glass 3,Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM","8 MP, 1.12µm","LED flash, panorama, HDR","2160p@30fps, 1080p@30/60fps, gyro-EIS",,HDR,1080p@30fps,Yes,Yes,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO",Yes (Europe model),FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass (market dependent)",Fast battery charging 15W,"Ceramic Black, Clear White",About 250 EUR,Basemark OS II 2.0: 1685 / Basemark X: 11173,Voice 70dB / Noise 71dB / Ring 84dB,Endurance rating 66h,"12 MP, f/1.8, 1.25µm, PDAF 5 MP, f/2.2, depth sensor",moto g(7),"Contrast ratio: 1565:1 (nominal), 3.011 (sunlight)",Photo / Video,Noise -93.6dB / Crosstalk -94.8dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G7 Power,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-power.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,HSDPA 850 / 900 / 1900 / 2100 - Europe,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 19(800), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - Europe","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps","2019, February","Available. Released 2019, February",159.4 x 76 x 9.3 mm (6.28 x 2.99 x 0.37 in),193 g (6.81 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 25(1900), 26(850), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 41(2500), 66(1700/2100), 71(600) - USA","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 94.0 cm2 (~77.6% screen-to-body ratio)","720 x 1570 pixels, 19.5:9 ratio (~279 ppi density)",Corning Gorilla Glass 3 (market dependent),Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM (Europe); 32 GB, 3 GB RAM (USA)","12 MP, f2.0, 1.25µm, PDAF","LED flash, panorama, HDR","2160p@30fps, 1080p@30fps","8 MP, f/2.2, 1.12µm",HDR,1080p@30fps,Yes,Yes,Non-removable Li-Po 5000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",Yes (market dependent),FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass (market dependent)",Fast battery charging 15W (Global)/ 18W (Germany),"Ceramic Black, Marine Blue, Iced Violet",About 210 EUR,Basemark OS II: 1929 / Basemark OS II 2.0: 1831Basemark X: 11525,Voice 75dB / Noise 75dB / Ring 82dB,Endurance rating 147h,,moto g(7) power,"Contrast ratio: 1674:1 (nominal), 3.176 (sunlight)",Photo / Video,Noise -90.6dB / Crosstalk -89.9dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto G7 Play,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-play.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 25(1900), 26(850), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 41(2500), 66(1700/2100), 71(600) - USA",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - Europe","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps","2019, February","Available. Released 2019, March",147.3 x 71.5 x 8 mm (5.80 x 2.81 x 0.31 in),149 g (5.26 oz),"Front glass, plastic back","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Splash resistant (market dependent),"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.4 cm2 (~77.3% screen-to-body ratio)","720 x 1512 pixels, 19:9 ratio (~294 ppi density)",Corning Gorilla Glass 3 (market dependent),Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,"microSD, up to 1 TB (dedicated slot)","32 GB, 2 GB RAM","13 MP, f/2.0, 1.12µm, PDAF","LED flash, panorama, HDR","2160p@30fps, 1080p@30fps","8 MP, f/2.2, 1.12µm",LED flash,1080p@30fps,Yes,Yes,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 10W (market dependent),"Deep indigo, Fine Gold, Starry Black",About 150 EUR,Basemark OS II: 1597 / Basemark OS II 2.0: 1449Basemark X: 11016,Voice 66dB / Noise 74dB / Ring 81dB,Endurance rating 103h,,moto g(7) play,"Contrast ratio: 1468:1 (nominal), 3.180 (sunlight)",Photo / Video,Noise -90.0dB / Crosstalk -92.9dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One (P30 Play),https://cdn2.gsmarena.com/vv/bigpic/motorola-one-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Europe,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE-A","2018, August","Available. Released 2018, October",149.9 x 72.2 x 8 mm (5.90 x 2.84 x 0.31 in),162 g (5.71 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 28(700) - Europe","LTPS IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 85.7 cm2 (~79.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~287 ppi density)",Corning Gorilla Glass (unspecified version),"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One; ZUI 4 (China version only)",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,"microSD, up to 256 GB","64 GB, 4 GB RAM","8 MP, f/2.2, 1.12µm","LED flash, panorama","2160p@30fps, 1080p@30/60fps",,,1080p@30fps,Yes,Yes,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 15W,"Black, White",About 180 EUR,Basemark OS II: 1430 / Basemark OS II 2.0: 1324Basemark X: 10524,Voice 79dB / Noise 74dB / Ring 85dB,Endurance rating 102h,"13 MP, f/2.0, 1.12µm, PDAF 2 MP, f/2.4, 1.75µm, depth sensor",one,"Contrast ratio: 1760 (nominal), 3.026 (sunlight)",Photo / Video,Noise -87.9dB / Crosstalk -90.2dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola One Power (P30 Note),https://cdn2.gsmarena.com/vv/bigpic/motorola-one-power-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100 - India,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA, LTE-A","2018, August","Available. Released 2018, October",156 x 76 x 8.4 mm (6.14 x 2.99 x 0.33 in),205 g (6.98 oz),,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500) - India","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.4 cm2 (~81.3% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",Corning Gorilla Glass (unspecified version),"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One; ZUI 4 (China version only)",Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"microSD, up to 256 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM or 64 GB, 6 GB RAM (China only)","12 MP, f/2.0, 1.25µm","Dual-LED dual-tone flash, HDR, panorama","2160p@30fps, 1080p@30/60fps",,LED flash,1080p@30fps,Yes,Yes,Non-removable Li-Ion 5000 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS, GALILEO",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 15W,Midnight Black,About 250 EUR,,,,"16 MP, f/1.8, 1.12µm, PDAF 5 MP, f/2.2, 1.0µm, depth sensor","one power, XT1942",,,,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto Z3,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-z3-play-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Splash and dust resistant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps","2018, August","Available. Released 2018, August",156.5 x 76.5 x 6.8 mm (6.16 x 3.01 x 0.27 in),156 g (5.50 oz),"Front/back glass (Gorilla Glass 3), aluminum frame (6000 series)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"Super AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~77.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Corning Gorilla Glass 3,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","8 MP, f/2.0, 1/4"", 24mm (wide), 1.12µm","Dual-LED dual-tone flash, panorama","2160p@30fps, 1080p@30/60fps",,,1080p@30fps,Yes,No,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,"3.1, Type-C 1.0 reversible connector, magnetic connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 15W,Ceramic Black,About 250 EUR,Basemark OS II: 3981 / Basemark OS II 2.0: 3432Basemark X: 34848,Voice 80dB / Noise 73dB / Ring 85dB,Endurance rating 86h,"12 MP, f/2.0, 1.25µm, PDAF/Laser AF 12 MP B/W, PDAF/Laser AF",moto z3,,,Noise -92.9dB / Crosstalk -92.8dB,,,,,,,,,,,,,,,,,,,,,
motorola,Motorola Moto Z3 Play,https://cdn2.gsmarena.com/vv/bigpic/motorola-moto-z3-play-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),CDMA 800 / 1900 - USA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 40(2300), 41(2500), 66(1700/2100), 71(600)","HSPA, LTE","2018, June","Available. Released 2018, June",156.5 x 76.5 x 6.8 mm (6.16 x 3.01 x 0.27 in),156 g (5.50 oz),"Front/back glass (Gorilla Glass 3), aluminum frame (6000 series)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",CDMA2000 1xEV-DO - USA,"Super AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~77.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Corning Gorilla Glass 3,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,Adreno 509,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM (Brazil only) or 32/64 GB, 4 GB RAM","8 MP, f/2.0, 1/4"", 24mm (wide), 1.12µm","Dual-LED dual-tone flash, panorama","2160p@30fps, 1080p@30/60fps",,,1080p@30fps,Yes,No,Non-removable Li-Ion 3000 mAh battery,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, BDS",Yes,FM radio,"3.1, Type-C 1.0 reversible connector, magnetic connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Fast battery charging 15W,"Deep Indigo, Onyx Black (128/6GB only)",About 250 EUR,,,,"12 MP, f/1.7, 1/2.55"", 1.4µm, dual pixel PDAF 5 MP, depth sensor","Moto Z3 Play, XT1929",,,,,,,,,,,,,,,,,,,,,,,,
