Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple
b'niu',b'NIU Andy C5.5E2I',b'https://cdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',b'UMTS 850 / 1900 - AC55E2I043',,b'HSPA 21.1/5.76 Mbps',"b'2015, December'","b'Available. Released 2016, March'",b'154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in)',b'128 g (4.52 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~68.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 64 GB (dedicated slot)'","b'4 GB, 512 MB RAM'","b'8 MP, AF'",b'1080p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'Removable Li-Po 3000 mAh battery',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Blue, Gun Metal'",,b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',,"b'LED flash, panorama, HDR'",,,,,,,,b'Up to 600 h (2G) / Up to 500 h (3G)',b'Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Andy 3.5E2I',b'https://cdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg',b'GSM / UMTS / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'UMTS 850 / 1900 - AM35E2I043',,b'HSPA 21.1/5.76 Mbps',"b'2015, February'","b'Available. Released 2015, March'",b'115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in)',b'102 g (3.60 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'LCD capacitive touchscreen, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 64 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'480p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'HSDPA 900 / 2100 - AM35E2I047',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1300 mAh battery',"b'Black, White, Blue, Green, Orange'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,"b'LED flash, panorama'",,,,,,,,b'Up to 260 h (2G) / Up to 217 h (3G)',b'Up to 18 h (2G) / Up to 8 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Andy 4E2I',b'https://cdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100 - AM4E2I047',,b'HSPA 21.1/5.76 Mbps',"b'2015, January'","b'Available. Released 2015, March'",b'121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in)',b'110 g (3.88 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT capacitive touchscreen, 256K colors'","b'4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4 (KitKat)',"b'microSD, up to 64 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'480p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 1900 - AM4E2I043',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1400 mAh battery',"b'Black, White, Red, Blue, Yellow'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,"b'LED flash, panorama'",,,,,,,,b'Up to 280 h (2G) / Up to 232 h (3G)',b'Up to 18 h (2G) / Up to 9 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Andy 5EI',b'https://cdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100 - SIM 1 or SIM 2',,b'HSPA 21.1/5.76 Mbps',"b'2014, May'","b'Available. Released 2014, July'",b'142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in)',b'160 g (5.64 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT capacitive touchscreen, 256K colors'","b'5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.2 (Jelly Bean)',"b'microSD, up to 64 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'480p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'HSDPA 850 / 1900 - SIM 1 or SIM 2',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'HSDPA 850 / 2100 - SIM 1 or SIM 2',"b'Black, White, Red, Blue, Green'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,b'Removable Li-Ion 1550 mAh battery',,,,b'Up to 480 h (2G) / Up to 350 h (3G)',b'Up to 16 h (2G) / Up to 7 h 30 min (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Andy 5T',b'https://cdn2.gsmarena.com/vv/bigpic/niu-5t.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 - SIM 1 or SIM 2',,b'HSPA 21.1/5.76 Mbps',"b'2014, July'","b'Available. Released 2014, August'",b'144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in)',b'123 g (4.34 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 256 GB'","b'4 GB, 1 GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',b'HSDPA 900 / 2100 - SIM 1 or SIM 2',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Po 1800 mAh battery',"b'White, Black, Blue, Red'",,b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,"b'LED flash, HDR'",,,,,,,,b'Up to 480 h (2G) / Up to 360 h (3G)',b'Up to 16 h (2G) / Up to 8 h 30 min (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU C21A',b'https://cdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003',,,,"b'2013, March. Released 2013, April'",b'Discontinued',b'106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in)',b'73 g without battery (2.57 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 32 GB'",b'32 Mbit + 32 Mbit',b'VGA',b'No',,,b'Yes',b'No',b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'Video Player Music Player Organizer Whatsapp',"b'Black, White, Blue, Green, Purple, Red, Fuchsia'",,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 200 h',b'Up to 4 h',b'Up to 48 kbps',b'No',,,b'Yes',b'Yes',"b'SMS, IM'",b'No',b'No',,,,,,,,,,,,,,,,,,,
b'niu',b'NIU F10',b'https://cdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3',,,,"b'2012, November. Released 2013, April'",b'Discontinued',b'102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in)',b'72 g without battery (2.54 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.2 inches, 15.2 cm2 (~25.3% screen-to-body ratio)'",b'220 x 176 pixels (~128 ppi density)',,"b'microSD, up to 32 GB (dedicated slot)'",b'64 Mb + 32 Mb',b'1.3 MP',b'Yes',,,b'Yes',b'Yes',b'Flashlight',b'No',"b'2.1, A2DP'",b'No',b'Stereo FM radio',b'microUSB',b'',b'No',"b'Black, Blue, Red, White'",,,,,,,,,,b'Removable Li-Ion 600 mAh battery',,,,b'Up to 400 h',b'Up to 5 h 30 min',b'Up to 48 kbps',b'No',,,b'Yes',b'Yes',b'SMS',b'Yes',b'No',,,,,,,,b'QWERTY',,,,,,,,,,,
b'niu',b'NIU Z10',b'https://cdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,,"b'2013, November'","b'Available. Released 2014, January'",b'113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in)',b'90 g without battery (3.17 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~20.1% screen-to-body ratio)'",b'144 x 176 pixels (~114 ppi density)',,"b'microSD, up to 32 GB'",b'32 Mb + 32 Mb',b'VGA',b'Yes',,,b'Yes',b'No',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'No',b'2.1',b'No',b'Stereo FM radio; buit-in antenna',b'microUSB',b'',b'Flashlight SOS button',"b'Black, White, Blue'",,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 290 h',b'Up to 7 h',b'Up to 48 kbps',b'No',,,b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Tek 5D',b'https://cdn2.gsmarena.com/vv/bigpic/niu-5d.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043',,b'HSPA 21.1/5.76 Mbps',"b'2015, January'","b'Available. Released 2015, February'",b'156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in)',b'150 g (5.29 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT capacitive touchscreen, 256K colors'","b'5.0 inches, 44.1 cm2 (~38.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB'","b'4 GB, 512 MB RAM'",b'5 MP',b'480p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 2000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,b'Up to 400 h (2G) / Up to 332 h (3G)',b'Up to 15 h (2G) / Up to 12 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'niu',b'NIU Tek 4D2',b'https://cdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043',,b'HSPA 21.1/5.76 Mbps',"b'2014, August'","b'Available. Released 2014, November'",b'123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in)',b'152 g (5.36 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',b'Capacitive touchscreen',"b'4.0 inches, 45.5 cm2 (~58.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 64 GB'","b'4 GB, 512 MB RAM'",b'3.15 MP',b'480p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',b'Removable Li-Ion 1200 mAh battery',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,"b'Black, Gray, White, Blue, Orange'",,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',,"b'LED flash, panorama'",,,,,,,,b'Up to 400 h (2G) / Up to 320 h (3G)',b'Up to 8 h (2G) / Up to 6 h (3G)',,,,,,,,,,,,,,,,,,,,,,,,,,,,
