Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple,Five
b'o2',b'O2 XDA Serra',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 7.2/0.384 Mbps',"b'2008, July. Released 2008, September'",b'Discontinued',b'102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in)',b'165 g (5.82 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~46.7% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',b'microSD (dedicated slot)',"b'288 MB RAM, 512 MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'miniUSB',b'Accelerometer',b'MP3/WAV/WMA player MP4/WMV/3gp player Pocket Office  Voice memo Predictive text input',b'Black',,b'Qualcomm MSM7201A',b'528 MHz ARM 11',b'Adreno 130',,b'LED flash',,,,b'Removable Li-Ion 1340 mAh battery',,,,b'Up to 406 h',b'Up to 8 h',,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML'",,,,,,,,,,,
b'o2',b'O2 XDA Guide',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',"b'2008, December. Released 2009, February'",b'Discontinued',b'102 x 53.5 x 14.5 mm (4.02 x 2.11 x 0.57 in)',b'102 g (3.60 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~44.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',"b'microSD (dedicated slot), 1 GB included'","b'256 MB RAM, 512 MB ROM'",b'3.15 MP',b'CIF',,,b'Yes',b'No',b'TouchFLO finger swipe navigation Handwriting recognition 5-way navigation',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS; TomTom NAVIGATOR 7'",b'No',b'miniUSB',b'',b'No',b'Grey',,b'Qualcomm MSM7225 Snapdragon S1',b'528 MHz ARM 11',b'No',,,,,,b'Removable Li-Ion 1110 mAh battery',,,,b'Up to 400 h',b'Up to 6 h 30 min',,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'",,,,,,,,,,,
b'o2',b'O2 XDA Zest',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 3.6/0.384 Mbps',"b'2008, October. Released 2008, November'",b'Discontinued',b'102 x 60.5 x 16.5 mm (4.02 x 2.38 x 0.65 in)',b'102.5 g (3.60 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~39.3% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',"b'microSD, up to 16 GB (dedicated slot)'","b'128 MB RAM, 256 MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS,  SiRF Star III chipset'",b'No',b'miniUSB 1.1',b'',b'SiRF star III chipset Pocket Office  Voice memo MP3 player Predictive text input',b'Black',,,b'624MHz Marvell TavorP',,,,,,,b'Removable Li-Ion 1300 mAh battery',,,,b'Up to 260 h',b'Up to 5 h',,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'",,,,,,,,,,,
b'o2',b'O2 XDA Ignito',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 7.2/0.384 Mbps',"b'2008, August. Released 2008, August'",b'Discontinued',b'102 x 51 x 11.5 mm (4.02 x 2.01 x 0.45 in)',b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~46.7% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',b'No',"b'4 GB, 192 MB RAM, 256 MB ROM'","b'3.15 MP, AF'",b'CIF@30fps',b'VGA videocall camera',b'',b'Yes',b'No',b'TouchFLO 3D finger swipe navigation Handwriting recognition',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'miniUSB',b'Accelerometer',b'Pocket Office  Voice memo MP3 player',b'Black',,b'Qualcomm MSM7201A',b'528 MHz ARM 11',b'Adreno 130',,,,,,b'Removable Li-Ion 900 mAh battery',,,,b'Up to 285 h',b'Up to 5 h 30 min',,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'","b'Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Stellar',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2007, November'",b'Cancelled',b'112 x 59 x 18.6 mm (4.41 x 2.32 x 0.73 in)',b'190 g (6.70 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~36.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'microSD',"b'128 MB RAM, 256 MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11b/g',b'2.0',"b'Yes, with A-GPS'",b'No',b'2.0',b'',b'Pocket Office  Business card reader Voice memo Media Player 10',b'Silver',,b'Qualcomm MSM7200',b'400 MHz ARM 11',b'Adreno 130',,,,,,b'Removable Li-Ion 1350 mAh battery',,,,b'Up to 365 h',b'Up to 5 h',,,,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Orbit II',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 3.6/0.384 Mbps',"b'2007, November. Released 2008, February'",b'Discontinued',b'110 x 58 x 15.5 mm (4.33 x 2.28 x 0.61 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~38.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',"b'microSD (dedicated slot), SD 2.0 compatible'","b'128 MB RAM, 256 MB ROM'","b'3.15 MP, AF'",b'Yes',b'VGA',b'',b'Yes',b'No',b'HSDPA 850 / 1900',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'","b'Yes, CoPilot Live Navigator'",b'FM radio',b'miniUSB',b'',b'TouchFLO finger swipe navigation Handwriting recognition 4-way navigation wheel',b'Black',,b'Qualcomm MSM7200',b'400 MHz ARM 11',b'Adreno 130',,,,,,b'Removable Li-Ion 1350 mAh battery',,,,b'Up to 400 h (2G) / Up to 450 h (3G)',b'Up to 7 h (2G) / Up to 4 h (3G)',,,,,,,,,,b'1.72 W/kg (head)',,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Comet',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 1900 / 2100',,b'HSPA',"b'2007, September'",b'Discontinued',b'106 x 58 x 19 mm (4.17 x 2.28 x 0.75 in)',b'145 g (5.11 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.7 inches, 22.6 cm2 (~36.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~148 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',b'miniSD',"b'64 MB RAM, 1 GB ROM'",b'2 MP',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11b/g',b'1.2',b'No',"b'Stereo FM radio, RDS'",b'miniUSB',b'',b'Pocket Office  Voice memo MP3/AAC player',b'Silver',,,b'Intel XScale PXA 270 620 MHz',,,b'LED flash',,,,b'Removable Li-Ion battery',,b'Yes',,b'Up to 200 h',b'Up to 6 h',,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Nova',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2007, June'",b'Discontinued',b'100 x 58 x 14 mm (3.94 x 2.28 x 0.55 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~41.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',"b'microSD (dedicated slot), 1 GB included'","b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'TouchFLO finger swipe navigation Handwriting recognition 5-way navigation',b'Wi-Fi 802.11b/g',b'2.0',b'No',b'No',b'miniUSB',b'',b'No',"b'Soft Black, Wasabi Green'",,b'TI OMAP 850',b'200 MHz ARM926EJ-S',,,,,,,b'Removable Li-Ion battery',b'About 520 EUR',,,b'Up to 200 h',b'Up to 3 h 30 min',b'Class 10',b'Yes',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Terra',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, March'",b'Discontinued',b'109 x 59 x 17 mm (4.29 x 2.32 x 0.67 in)',b'168 g (5.93 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.7 inches, 42 x 57 mm, 22.6 cm2 (~35.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~148 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'microSD (dedicated slot)',"b'64 MB RAM, 128 MB ROM'",b'2 MP',b'QCIF',,,b'Yes',b'No',b'Handwriting recognition',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'No',b'No',b'1.1',b'',b'No',b'Black',,b'TI OMAP 850',b'200 MHz ARM926EJ-S',,,,,,,b'Removable Li-Ion battery',,,,b'Up to 200 h',b'Up to 5 h',b'Class 10',b'Class 10',,,,,,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
b'o2',b'O2 XDA Argon',b'https://cdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2007, May'",b'Discontinued',b'130 x 70 x 18.8 mm (5.12 x 2.76 x 0.74 in)',b'200 g (7.05 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 37.9 cm2 (~41.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'SD',"b'128 MB RAM, 256 MB ROM'",b'2 MP',b'Yes',,,b'Yes',b'No',b'Handwriting recognition 5-way navigation',b'Wi-Fi 802.11b/g',b'2.0',b'No',b'No',b'miniUSB',b'',b'No',b'Silver',,,b'32-bit Samsung SC3 2442 400 MHz',,,,,,,b'Removable Li-Ion 1300 mAh battery',,b'Yes',,b'Up to 200 h',b'Up to 4 h',b'Class 10',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
