Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple,Five
b'oppo',b'Oppo Reno Z',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-z.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, May'","b'Available. Released 2019, June'",b'157.3 x 74.9 x 9.1 mm (6.19 x 2.95 x 0.36 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.4 inches, 100.5 cm2 (~85.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'No',"b'128/256 GB, 6 GB RAM or 128 GB, 8 GB RAM'","b'32 MP, f/2.0'","b'2160p@30fps, 1080p@30/60/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'CDMA2000 1xEV-DO',"b'Star Purple, Extreme Night Black, Coral Orange, Bead White'",,b'Mediatek MT6779 Helio P90 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, depth sensor'","b'Dual-LED flash, HDR, panorama'",b'HDR',b'Yes',b'PCDM10',b'Non-removable Li-Po 4035 mAh battery',b'About 330 EUR',,b'Fast battery charging 20W (VOOC 3.0)',,,,,"b'Front/back glass, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo K3',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-k3.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, May'","b'Available. Released 2019, May'",b'161.2 x 76 x 9.4 mm (6.35 x 2.99 x 0.37 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.5 inches, 104.8 cm2 (~85.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'No',"b'128/256 GB, 8 GB RAM or 64 GB, 6 GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 26mm (wide)'","b'2160p@30fps, 1080p@30/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Black, Nebula Purple, Morning White'",b'Corning Gorilla Glass 5',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',"b'16 MP, f/1.7, 1/2.5"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',,,b'Non-removable Li-Po 3765 mAh battery',b'About 210 EUR',,b'Fast battery charging 20W (VOOC 3.0)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A9x',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-a9.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1800 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, May'","b'Available. Released 2019, May'",b'162 x 76.1 x 8.3 mm (6.38 x 3.00 x 0.33 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~84.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',"b'microSD, up to 256 GB'","b'128 GB, 6 GB RAM'","b'16 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Meteorite Black, Ice Jade White'",,b'Mediatek MT6771V Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',"b'48 MP, f/1.7, (wide), 1/2"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',,b'Non-removable Li-Po 4020 mAh battery',b'About 260 EUR',,b'Fast battery charging 20W (VOOC 3.0)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A9',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-a9.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1800 / 2100',"b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, April'",b'162 x 76.1 x 8.3 mm (6.38 x 3.00 x 0.33 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.53 inches, 104.7 cm2 (~84.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',"b'microSD, up to 256 GB'","b'128 GB, 4/6 GB RAM'","b'16 MP, f/2.0'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',"b'Mica Green, Ice Jade White, Fluorite Purple'",,b'Mediatek MT6771V Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',"b'16 MP, f/1.8, AF 2 MP, f/2.4, depth sensor'","b'Dual-LED dual-tone flash, panorama, HDR'",b'HDR',b'Yes',b'PCAM10',b'Non-removable Li-Po 4020 mAh battery',b'About 190 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno 5G',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-10x-zoom.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps; 5G (2+ Gbps DL)'","b'2019, April'","b'Available. Released 2019, May'",b'162 x 77.2 x 9.3 mm (6.38 x 3.04 x 0.37 in)',b'215 g (7.58 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.6 inches, 106.9 cm2 (~85.5% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'256 GB, 8 GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 26mm (wide)'","b'2160p@30/60fps, 1080p@30/60/240fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'CDMA2000 1xEV-DO',"b'Ocean Green, Jet Black'",b'Corning Gorilla Glass 6',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',,"b'Dual-LED flash, HDR, panorama'",b'HDR',b'Yes',b'CPH1921',b'Non-removable Li-Po 4065 mAh battery',b'About 880 EUR',,b'Fast battery charging 20W (VOOC Flash Charge)',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF/Laser AF, OIS Periscope 13 MP, f/3.0, 130mm (telephoto), 5x optical zoom, PDAF/Laser AF, OIS 8 MP, f/2.2, 16mm (ultrawide)'",b'5G NSA / Sub6 / mmWave; N78',,,
b'oppo',b'Oppo Reno 10x zoom',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-10x-zoom.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, April'","b'Available. Released 2019, June'",b'162 x 77.2 x 9.3 mm (6.38 x 3.04 x 0.37 in)',b'210 g (7.41 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.6 inches, 108.6 cm2 (~86.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~387 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'256 GB, 6/8 GB RAM or 128 GB, 6 GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 26mm (wide)'","b'2160p@30/60fps, 1080p@30/60/240fps, gyro-EIS; video rec. only with main camera'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'CDMA2000 1xEV-DO',"b'Ocean Green (Fog Sea Green), Jet Black (Extreme Night Black), Mist Pink'",b'Corning Gorilla Glass 6',b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485)',b'Adreno 640',,"b'Dual-LED flash, HDR, panorama'","b'LED flash, HDR'",b'Yes',"b'CPH1919, CPH1919'",b'Non-removable Li-Po 4065 mAh battery',b'About 800 EUR',,b'Fast battery charging 20W (VOOC Flash Charge)',,,,,"b'Front glass (Gorilla Glass 6), back glass (Gorilla Glass 5), aluminum frame'",,,,,,,,b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 69dB / Noise 74dB / Ring 79dB',,b'Endurance rating 107h',,,,,,,,,b'Basemark OS II: 5504 / Basemark OS II 2.0: 4867Basemark X: 46636',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF/Laser AF, OIS Periscope 13 MP, f/3.0, 130mm (telephoto), 5x optical zoom, PDAF/Laser AF, OIS 8 MP, f/2.2, 16mm (ultrawide)'",,,,
b'oppo',b'Oppo Reno',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-reno1.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE - Global',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, April'","b'Available. Released 2019, April'",b'156.6 x 74.3 x 9 mm (6.17 x 2.93 x 0.35 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.4 inches, 101.0 cm2 (~86.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'No',"b'256 GB, 6/8 GB RAM or 128 GB, 6 GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 26mm (wide)'","b'2160p@30fps, 1080p@30/60/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',"b'Type-C 1.0 reversible connector, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'CDMA2000 1xEV-DO',"b'Ocean Green, Jet Black, Nebula Purple, Pink Mist, Coral Orange, Inspiration Edition'",b'Corning Gorilla Glass 6',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, depth sensor'","b'Dual-LED flash, HDR, panorama'",b'HDR',b'Yes',"b'PCAM00, PCAT00, CPH1917'",b'Non-removable Li-Po 3765 mAh battery',b'About 500 EUR',,b'Fast battery charging 20W (VOOC Flash Charge)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A1k',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-a1k.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, May'",b'154.5 x 73.8 x 8.4 mm (6.08 x 2.91 x 0.33 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.1 inches, 91.3 cm2 (~80.1% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 2 GB RAM'","b'8 MP, f/2.2, 1/3.2"", 1.4\xc2\xb5m, AF'",b'1080p@30fps',"b'5 MP, f/2.0, 1/5"", 1.12\xc2\xb5m'",b'720p',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Black, Red'",b'Corning Gorilla Glass 3',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',,"b'LED flash, HDR, panorama'",b'HDR',,b'CPH1923',,b'About 100 EUR',,,,,,,b'Plastic body',,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A7n',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-a7n.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, April'","b'Available. Released 2019, May'",b'155.9 x 75.4 x 8.2 mm (6.14 x 2.97 x 0.32 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'S-IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 8.1 (Oreo); ColorOS 5.2',"b'microSD, up to 256 GB (dedicated slot)'","b'64 GB, 4 GB RAM'","b'16 MP, f/2.0'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'CDMA 800 & TD-SCDMA',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',b'Green',,b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',b'Yes',"b'PCDM00, PCDT00'",b'Non-removable Li-Ion 4230 mAh battery',b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A5s (AX5s)',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-a5s-r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, April'",b'155.9 x 75.4 x 8.2 mm (6.14 x 2.97 x 0.32 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'S-IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 8.1 (Oreo); ColorOS 5.2',"b'microSD, up to 256 GB (dedicated slot)'","b'32/64 GB, 2/3/4 GB RAM'","b'8 MP, f/2.0'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Non-removable Li-Ion 4230 mAh battery',"b'Red, Black, Gold, Green'",b'Corning Gorilla Glass 3',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'","b'LED flash, HDR, panorama'",b'HDR',,"b'CPH1909, CPH1920'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
