Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple,Five
b'orange',b'Orange Rono',b'https://cdn2.gsmarena.com/vv/bigpic/orange-rono.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',,b'HSPA',b'2014',b'Available. Released 2014',b'142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in)',b'131.8 g (4.66 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',"b'microSD, up to 32 GB (dedicated slot)'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'Yes',b'',b'Yes',b'Yes',b'Removable Li-Po 2300 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,,b'Quad-core 1.2 GHz',,,b'LED flash',,,,,,,,b'Up to 340 h (3G)',b'Up to 10 h (3G)',b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Gova',b'https://cdn2.gsmarena.com/vv/bigpic/orange-gova.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, February'","b'Available. Released 2014, April'",b'7.9 mm thickness',b'-',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.5 inches, 55.8 cm2'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.3 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 1 GB RAM'","b'5 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Active noise cancellation with dedicated mic',b'Black',,,b'Quad-core 1.2 GHz',,,b'LED flash',,,,b'Removable Li-Ion 2000 mAh battery',,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Reyo',b'https://cdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA',"b'2014, February'","b'Available. Released 2014, February'",b'143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.2.2 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 1 GB RAM'","b'5 MP, AF'",b'720p@30fps',b'VGA',b'',b'Yes',b'Yes',b'Active noise cancellation with dedicated mic',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 2000 mAh battery',b'White',,b'Mediatek MT6572M (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,b'Up to 400 h',b'Up to 6 h 40 min',,,,,,,,,,b'0.66 W/kg (head)',,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Hiro',b'https://cdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA',"b'2013, Q3. Released 2013, Q3'",b'Discontinued',b'127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in)',b'96 g (3.39 oz)',b'Yes',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.3 inches, 51.0 cm2 (~64.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~228 ppi density)'",b'Android 4.1 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'","b'5 MP, AF'",b'720p',b'Yes',b'',b'Yes',b'Yes',b'Removable Li-Ion 1700 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",,b'Black',,b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',,b'LED flash',,,,,,,,,,,,,,,,,,,b'1.29 W/kg (head)',,,,,,,,,,,,,,,,,,,
b'orange',b'Orange San Diego',b'https://cdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2012, February. Released 2012, June'",b'Discontinued',b'123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in)',b'117 g (4.13 oz)',b'Micro-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'4.0 inches, 45.0 cm2 (~58.1% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~297 ppi density)'","b'Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)'",b'No',"b'16 GB (12 GB user available), 1 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'Yes',b'',b'Yes',b'Yes',b'HDMI port MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo editor Organizer Voice memo/dial/commands Predictive text input',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion battery',b'Black',,b'Intel Atom Z2460',b'1.6 GHz',b'PowerVR SGX540',,b'LED flash',,b'Yes',,,b'About 190 EUR',,,b'Up to 336 h',b'Up to 8 h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Tahiti',b'https://cdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 1900 / 2100',,b'HSPA',"b'2012, January. Released 2012, January'",b'Discontinued',b'190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in)',b'390 g (13.76 oz)',b'Mini-SIM',"b'LCD capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~60.3% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 3.2 (Honeycomb)',"b'microSD, up to 32 GB (dedicated slot)'","b'8 GB, 512 MB RAM'","b'5 MP, AF'",b'Yes',b'Yes',b'',"b'Yes, with stereo speakers'",b'Yes',b'HDMI port MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, compass'",b'Non-removable Li-Po 4000 mAh battery',b'Black/silver',,b'Qualcomm MSM8260 Snapdragon S3',b'Dual-core 1.2 GHz Scorpion',b'Adreno 220',,,,,,,,b'Yes',,b'Up to 192 h',b'Up to 6 h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Monte Carlo',b'https://cdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA',b'2011',b'Discontinued',b'125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'4.3 inches, 52.6 cm2 (~61.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~217 ppi density)'",b'Android 2.3 (Gingerbread)',"b'microSD, up to 32 GB (dedicated slot)'",b'512 MB RAM',"b'5 MP, AF'",b'Yes',,,b'Yes',b'Yes',b'No',"b'Wi-Fi 802.11 b/g, UMA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo/dial Predictive text input',b'Black',,,b'800 MHz',,,b'LED flash',,,,b'Removable Li-Ion 1400 mAh battery',,,,b'Up to 288 h',b'Up to 5 h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange San Francisco II',b'https://cdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 1900 / 2100',,b'HSPA',"b'2011, November. Released 2011, November'",b'Discontinued',b'117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.5 inches, 34.9 cm2 (~50.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'",b'Android 2.3 (Gingerbread)',"b'microSD, up to 16 GB (dedicated slot)'",b'512 MB RAM',"b'5 MP, AF'",b'Yes',b'Yes',b'',b'Yes',b'Yes',b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',"b'Wi-Fi 802.11 b/g, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion battery',b'Black',,,b'800 MHz',,,b'LED flash',,,,,b'About 120 EUR',,,b'Up to 240 h',b'Up to 4 h 30 min',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Sydney',b'https://cdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2011. Released 2011',b'Discontinued',b'102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'3.2 inches, 29.1 cm2 (~57.1% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",,b'microSD (dedicated slot)',b'34 MB',b'3.15 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP, EDR'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'MP3/AAC+/WAV/WMA player Organizer Voice memo Predictive text input',"b'Black, White'",,,,,,,,,,b'Removable Li-Ion battery',,,,b'Up to 312 h',b'Up to 6 h',b'Yes',b'Yes',,,"b'Yes, Photocall'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, MMS, Email, IM'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,
b'orange',b'Orange Miami',b'https://cdn2.gsmarena.com/vv/bigpic/orange-miami.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2011',b'Discontinued',b'105 x 50 x 12.5 mm (4.13 x 1.97 x 0.49 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 22.3 cm2 (~42.5% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~167 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",b'10 MB',b'2 MP',b'Yes',,,b'Yes',b'No',b'No',b'No',"b'2.0, A2DP'",b'No',b'Stereo FM radio',b'microUSB',b'',b'MP3/AAC+/WAV/WMA player Organizer Voice memo Predictive text input',"b'Black, Pink'",,,,,,,,,,b'Removable Li-Ion 800 mAh battery',,,,b'Up to 144 h',b'Up to 3 h',b'Class 12',b'Class 12',,,"b'1000 contacts, Photocall'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, MMS, Email, IM'",b'Yes',"b'Yes, MIDP 2.0'",b'0.45 W/kg (head)',,,,,,,,,,,,,,,,,,,
