Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple,Five
b'palm',b'Palm Palm',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 13(700), 17(700), 66(1700/2100)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, October'","b'Available. Released 2018, November'",b'96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in)',b'62.5 g (2.22 oz)',b'Nano-SIM or eSIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'3.3 inches, 30.0 cm2 (~61.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~445 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 256 GB'","b'32 GB, 3 GB RAM'","b'12 MP, AF'",b'720p@30fps',b'8 MP',b'720p@30fps',"b'Yes, with dual speakers'",b'No',b'IP68 dust/water resistant (up to 1m for 30 mins)',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'","b'Infrared face recognition, accelerometer, proximity, gyro, compass'",b'Active noise cancellation with dedicated mic',"b'Gold, Titanium'",b'Corning Gorilla Glass 3',b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core (4x1.4 GHz & 4x1.1 GHz)',b'Adreno 505',,"b'LED flash, HDR'",,,,b'Non-removable Li-Ion 800 mAh battery',b'About 300 EUR',,b'Charging: 50% in 31 min',,,,,"b'Front/back glass (Gorilla Glass 3), aluminum frame'",,,,,,,b'0.98 W/kg (head)',,,,,,,,,,,,,,,,,,,
b'palm',b'Palm Pre 2',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900',,b'HSPA 7.2/2 Mbps',"b'2010, October. Released 2010, November'",b'Discontinued',b'100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in)',b'145 g (5.11 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'HP webOS 2.0',b'No',"b'16 GB, 512 MB RAM'",b'5 MP',b'Yes',,,b'Yes',b'Yes',b'HSDPA 900 / 2100',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'microUSB 2.0',"b'Accelerometer, proximity'",b'No',b'Black',b'Corning Gorilla Glass',,b'1.0 GHz',,,b'LED flash',,,,b'Removable Li-Ion battery',b'About 260 EUR',,b'Wireless charging',b'Up to 350 h',b'Up to 5 h 30 min',,,,,,,,,,,,,,,,,b'QWERTY',"b'HTML, Adobe Flash'",,,,,,,,,,,
b'palm',b'Palm Pre 2 CDMA',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',,b'EV-DO Rev.A 3.1 Mbps',"b'2010, October. Released 2010, October'",b'Discontinued',b'100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in)',b'145 g (5.11 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'HP webOS 2.0',b'No',"b'16 GB, 512 MB RAM'",b'5 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'microUSB 2.0',"b'Accelerometer, proximity'",b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input',b'Black',b'Corning Gorilla Glass',,b'1.0 GHz',,,b'LED flash',,,,b'Removable Li-Ion battery',b'About 210 EUR',,,b'Up to 350 h',b'Up to 5 h',,,,,,,,,,,,,,,,,b'QWERTY',"b'HTML, Adobe Flash'",,,,,,,,,,,
b'palm',b'Palm Pixi Plus',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 7.2/5.76 Mbps',"b'2010, March. Released 2010, June'",b'Discontinued',b'111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in)',b'92.5 g (3.25 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)'",b'320 x 400 pixels (~195 ppi density)',b'Palm webOS',b'No',b'8 GB',b'2 MP',b'Yes',,,b'Yes',b'Yes',b'HSDPA 850 / 1900 - for AT&T;',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'No',b'Black',,b'Qualcomm MSM7627',b'600 MHz ARM 11',b'Adreno 200',,b'LED flash',,,,b'Removable Li-Ion 1150 mAh battery',b'About 210 EUR',,,b'Up to 350 h',b'Up to 5 h 30 min (2G) / Up to 4 h (3G)',,,,,,,,,,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,,,,,,,,,,
b'palm',b'Palm Pre Plus',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',,b'HSPA 3.6/0.384 Mbps',"b'2010, March. Released 2010, May'",b'Discontinued',b'100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in)',b'138 g (4.87 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'Palm webOS 1.3.5',b'No',"b'16 GB, 512 MB RAM'",b'3.15 MP',b'Yes',,,b'Yes',b'Yes',b'HSDPA 850 / 1900 - for AT&T;',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',b'',b'Black',,,b'600 MHz Cortex-A8',b'PowerVR SGX',,b'LED flash',,,,b'Removable Li-Ion 1150 mAh battery',b'About 170 EUR',,b'Wireless charging',b'Up to 350 h (2G) / - (3G)',b'Up to 4 h (2G) / Up to 4 h (3G)',,,,,,,,,,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,,,,,,,,,,
b'palm',b'Palm Pixi',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 7.2/5.76 Mbps',"b'2009, September. Released 2009, Q4'",b'Discontinued',b'111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in)',b'99.5 g (3.53 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)'",b'320 x 400 pixels (~195 ppi density)',b'Palm webOS',b'No',b'8 GB',b'2 MP',b'No',,,b'Yes',b'Yes',b'No',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial',b'Black',,b'Qualcomm MSM7627',b'600 MHz ARM 11',b'Adreno 200',,b'LED flash',,,,b'Removable Li-Ion 1150 mAh battery',b'About 120 EUR',,,b'Up to 350 h',b'Up to 5 h',,,,,,,,,,,,,,,,b'1.56 W/kg (head) \xc2\xa0 \xc2\xa0 0.63 W/kg (body)',b'QWERTY',b'WAP 2.0 / HTML',,,,,,,,,,,
b'palm',b'Palm Pre',b'https://cdn2.gsmarena.com/vv/bigpic/palm-pre.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2009, Februray. Released 2009, October'",b'Discontinued',b'100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in)',b'133 g (4.69 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'Palm webOS',b'No',"b'8 GB, 256 MB RAM'",b'3.15 MP',b'No',,,b'Yes',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP (headset support only)'",b'Yes',b'No',b'microUSB',b'Accelerometer',b'Removable Li-Ion 1150 mAh battery',b'Black',,,b'600 MHz Cortex-A8',b'PowerVR SGX',,b'LED flash',,,,,b'About 180 EUR',,b'Wireless charging',b'Up to 300 h',b'Up to 5 h',,,,,,,,,,,,b'Photo',b'Voice 71dB / Noise 68dB / Ring 80dB',b'Noise -95.7dB / Crosstalk -53.9dB',,b'0.92 W/kg (head) \xc2\xa0 \xc2\xa0 0.94 W/kg (body)',b'QWERTY',b'WAP 2.0 / HTML',,,,,,,,,,,
b'palm',b'Palm Treo Pro',b'https://cdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2008, August. Released 2008, October'",b'Discontinued',b'114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in)',b'133 g (4.69 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.5 inches, 20.2 cm2 (~29.5% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~181 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',"b'microSD, up to 8 GB (dedicated slot)'","b'100 MB, 128 MB RAM'",b'2 MP',b'Yes',,,b'Yes',b'Yes',b'5-way navigation button',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'Yes',b'No',b'microUSB',b'',b'No',b'Obsidian',,b'Qualcomm MSM7201',b'528 MHz ARM 11',b'Adreno 130',,,,,,b'Removable Li-Ion 1500 mAh battery',b'About 70 EUR',b'Yes',,b'Up to 250 h',b'Up to 5  h',,,,,,,,,,b'0.75 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',,,,,,b'0.60 W/kg (head) \xc2\xa0 \xc2\xa0 0.87 W/kg (body)',b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
b'palm',b'Palm Centro',b'https://cdn2.gsmarena.com/vv/bigpic/palm-centro.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, February. Released 2008, March'",b'Discontinued',b'107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in)',b'124 g (4.37 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.25 inches, 16.3 cm2 (~28.5% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~201 ppi density)'",b'Palm OS 5.4.9',"b'microSD, up to 4 GB (dedicated slot)'",b'64 MB',b'1.3 MP',b'Yes',,,b'Yes',b'No',b'5-way navigation button',b'No',"b'1.2, A2DP'",b'No',b'No',b'Proprietary',b'',b'No',"b'Obsidian, Glacier, Midnight, Cobalt, Onyx, Electric Blue, Rose, Olive'",,,b'32-bit Intel XScale PXA270 312 MHz',,,,,,,b'Removable Li-Ion 1150 mAh battery',b'About 70 EUR',b'Yes',,b'Up to 300 h',b'Up to 4 h',b'Class 10',b'Class 10',,,,,,,,,,,,,,b'0.27 W/kg (head) \xc2\xa0 \xc2\xa0 0.22 W/kg (body)',b'QWERTY',b'WAP 2.0 / HTML (Blazer 4.5)',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,
b'palm',b'Palm Treo 500v',b'https://cdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2007, September. Released 2008, February'",b'Discontinued',b'110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'Microsoft Windows Mobile 6.0 Standard Edition',b'microSD (dedicated slot)',b'150 MB',b'2 MP',b'Yes',,,b'Yes',b'No',b'5-way navigation button',b'No',"b'2.0, A2DP'",b'No',b'No',b'miniUSB',b'',b'No',"b'Black, White'",,,b'32-bit Intel XScale PXA270 312 MHz',,,,,,,b'Removable Li-Ion 1200 mAh battery',b'About 90 EUR',,,b'Up to 240 h',b'Up to 4 h 30 min',,,,,,,,,,b'0.89 W/kg (head)',,,,,,,b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,
