Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,,Stand-by,Talk time,Colors,4G bands,Chipset,GPU,_1,Price,_1_1,NFC,Music play,Protection,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Infrared port,SAR EU,SAR,Alert types,Languages,Clock,Alarm,Charging,Features_1,Models
b'qmobile',b'QMobile Noir A1',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, June'","b'Available. Released 2017, July'",b'154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in)',b'182 g (6.42 oz)',"b'Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 7 (Nougat); Amigo OS 4',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'64 GB, 4 GB RAM'","b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'16 MP, f/2.0, 1/3""'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Black, Gray, Gold'","b'LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)'",b'Mediatek MT6755 Helio P10 (28 nm)',b'Mali-T860MP2',b'Non-removable Li-Ion 4010 mAh battery',b'About 27500 INR',,,,b'Corning Gorilla Glass (unspecified version)',,,,,,,,,,,,,,,,,b'Fast battery charging 10W',,b'Noir A1'
b'qmobile',b'QMobile Noir E2',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',"b'HSPA, LTE'","b'2017, June'","b'Available. Released 2017, June'",b'148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in)',b'-',b'Hybrid Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~69.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Android 7.0 (Nougat)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'16 GB, 3 GB RAM'","b'13 MP, f/2.2, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.2'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity, compass'",b'Removable Li-Po 4000 mAh battery',,,b'Gold',"b'LTE band 3(1800), 5(850)'",b'Mediatek MT6755 Helio P10 (28 nm)',b'Mali-T860MP2',,b'About 15500 INR',,,,,,,,,,,,,,,,,,,,,,,b'E2 Noir'
b'qmobile',b'QMobile J7 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2017, May'","b'Available. Released 2017, May'",b'154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in)',b'175 g (6.17 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~70.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.4 GHz Cortex-A53',"b'microSD, up to 256 GB (uses shared SIM slot)'","b'32 GB, 3 GB RAM'","b'13 MP, PDAF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'",b'Non-removable Li-Po 3150 mAh battery',,,"b'Gold, Blue'","b'LTE band 3(1800), 5(850), 40(2300), 41(2500)'",b'Mediatek MT6737T (28 nm)',b'Mali-T720',,b'About 18000 INR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile M6',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, March'","b'Available. Released 2017, March'",b'152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in)',b'180 g (6.35 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 6.0 (Marshmallow); Amigo 3.5',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',"b'microSD, up to 128 GB (dedicated slot)'","b'64 GB, 4 GB RAM'","b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m, PDAF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'","b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Gold, Coffee'","b'LTE band 3(1800), 5(850), 40(2300)'",b'Mediatek MT6755 Helio P10 (28 nm)',b'Mali-T860MP2',b'Non-removable Li-Po 5000 mAh battery',b'About 29500 INR',,,,,,,,,,,,,,b'Yes',,,,,,,b'Fast battery charging 10W Power Bank/Reverse charging',,
b'qmobile',b'QMobile M6 Lite',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in)',b'184 g (6.49 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A53',"b'microSD, up to 128 GB (dedicated slot)'","b'16 GB, 3 GB RAM'","b'13 MP, f/2.2, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.2'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Po 4000 mAh battery',,,b'Gold',"b'LTE band 3(1800), 5(850), 40(2300)'",b'Mediatek MT6737 (28 nm)',b'Mali-T720MP2',,b'About 16500 INR',,,,,,,,,,,,,,,,,,,,,,,b'M6 Lite'
b'qmobile',b'QMobile King Kong Max',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA, LTE'","b'2017, January'","b'Available. Released 2017, January'",b'149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in)',b'162 g (5.71 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.3 inches, 77.4 cm2 (~71.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~277 ppi density)'",b'Android 6.0 (Marshmallow)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',"b'microSD, up to 64 GB'","b'32 GB, 3 GB RAM'","b'13 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',,,b'Gold',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Mediatek MT6750 (28 nm)',b'Mali-T860MP2',,b'About 18500 INR',,,,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile Energy X2',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',b'HSPA',"b'2017, February'","b'Available. Released 2017, February'",b'143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in)',b'184 g (6.49 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-7',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.0, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",b'Non-removable Li-Ion 5000 mAh battery',,,"b'Gold, Silver, Gray'",,b'Mediatek MT6580M (28 nm)',b'Mali-400MP2',,,,,,,,,,,,,,,,,,,,,,,,,b'ENERGY X2'
b'qmobile',b'QMobile M350 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2017, February'","b'Available. Released 2017, February'",b'145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in)',b'179 g (6.31 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6 (Marshmallow); Amigo 3',b'Quad-core 1.3 GHz Cortex-7',"b'microSD, up to 64 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.2, 1/4"", AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'5 MP, f/2.4'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'",b'Non-removable Li-Ion 5000 mAh battery',,,"b'Black, Gold, White'",,b'Mediatek MT6580M (28 nm)',b'Mali-400MP2',,,,,,,,,,,,,,,,,,,,,,,,,"b'M350, M350 Pro'"
b'qmobile',b'QMobile E1',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2017, January'","b'Available. Released 2017, January'",b'143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in)',b'-',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.0 GHz Cortex-A53',"b'microSD, up to 128 GB'","b'16 GB, 3 GB RAM'","b'8 MP, f/2.2, AF'",b'LED flash',b'1080p@30fps',"b'5 MP, f/2.4'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Po 4000 mAh battery',,,"b'Black, Gold'","b'LTE band 3(1800), 5(850)'",b'Mediatek MT6735P (28 nm)',b'Mali-T720MP2',,,,,,,,,,,,,,,,,,,,,,,,,b'E1'
b'qmobile',b'QMobile Noir S6 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2016, June'","b'Available. Released 2016, June'",b'144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in)',b'150 g (5.29 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~79.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Quad-core 1.3 GHz Cortex-A7',"b'microSD, up to 64 GB'","b'16 GB, 2 GB RAM'","b'8 MP, f/2.0, 1/4"", AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'5 MP, f/2.0'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Removable Li-Po 2500 mAh battery',,,b'Gold',,b'Mediatek MT6580 (28 nm)',b'Mali-400MP2',,,,,,,,,,,,,,,,,,,,,,,,,"b'S6, S6S, S6 PLUS'"
