Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,,Stand-by,Talk time,Colors,4G bands,Chipset,GPU,_1,Price,_1_1,NFC,Music play,Protection,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Infrared port,SAR EU,SAR,Alert types,Languages,Clock,Alarm,Charging,Features_1,Models,Build,Dual,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life
b'realme',b'Realme 3i',b'https://cdn2.gsmarena.com/vv/bigpic/realme-3i.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, July'","b'Coming soon. Exp. release 2019, July 23'",b'156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',"b'microSD, up to 256 GB (dedicated slot)'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m'","b'LED flash, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Non-removable Li-Ion 4230 mAh battery',,,"b'Diamond Blue, Diamond Red, Diamond Black'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Mediatek MT6771 Helio P60 (12 nm)',b'Mali-G72 MP3',,b'About 8000 INR',,,,b'Corning Gorilla Glass (unspecified)',,,,,,,,,,,,,,,,,,b'HDR',b'RMX1827',,"b'13 MP, f/1.8, 1/3"", 1.12\xc2\xb5m, PDAF 2 MP, depth sensor'",,,,,,
b'realme',b'Realme X',b'https://cdn2.gsmarena.com/vv/bigpic/realme-x.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps'","b'2019, May'","b'Coming soon. Exp. release 2019, July 15'",b'161.2 x 76 x 8.6 mm (6.35 x 2.99 x 0.34 in)',b'191 g (6.74 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.53 inches, 105.2 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'No',"b'128 GB, 8 GB RAM or 64 GB, 4/6 GB RAM'","b'Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3"", 1.0\xc2\xb5m'","b'LED flash, HDR'","b'2160p@30fps, 1080p@30fps (gyro-EIS), 1080p@120fps, 720p@960fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'Type-C 1.0 reversible connector',"b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",b'CDMA 800 & TD-SCDMA - China',,,"b'Steam white, Punk Blue'","b'LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Adreno 616',b'Active noise cancellation with dedicated mic Dolby Atmos sound',b'About 160 EUR',b'Non-removable Li-Po 3765 mAh battery',,,b'Corning Gorilla Glass 5',,,,,,,,,,,,,,,,,b'Fast battery charging 20W: 55% in 30 min (VOOC 3.0)',b'HDR',b'RMX1901',"b'Front glass (Gorilla Glass 5), plastic body'","b'48 MP, f/1.7, (wide), 26mm (wide), 1/2"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.4, depth sensor'",b'Basemark OS II 2.0: 2748 / Basemark X: 28416',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'Voice 67dB / Noise 73dB / Ring 80dB',b'Noise -92.9dB / Crosstalk -93.3dB',b'Endurance rating 86h'
b'realme',b'Realme 3 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/realme-3pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps'","b'2019, April'","b'Available. Released 2019, May'",b'156.8 x 74.2 x 8.3 mm (6.17 x 2.92 x 0.33 in)',b'172 g (6.07 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~83.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',"b'microSD, up to 256 GB (dedicated slot)'","b'64/128 GB, 6 GB RAM or 64 GB, 4 GB RAM'","b'25 MP, f/2.0, 1/2.8"", 0.8\xc2\xb5m'","b'LED flash, HDR'","b'2160p@30fps, 1080p@30/120fps, 720p@960fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion 4045 mAh battery',b'Up to 383 h (3G)',b'Up to 32 h (3G)',"b'Carbon Gray, Nitro Blue, Lightning Purple'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Adreno 616',,b'About 200 EUR',,,b'Up to 126 h',b'Corning Gorilla Glass 5',,,,,,,,,,,,,,,,,b'Fast battery charging 20W: 50% in 30 min (VOOC 3.0)',b'HDR',b'RMX1851',"b'Front glass, plastic body'","b'16 MP, f/1.7, 1/2.6"", 1.22\xc2\xb5m, Dual Pixel PDAF 5 MP, f/2.4, depth sensor'",b'Basemark OS II: 3229 / Basemark OS II 2.0: 2648Basemark X: 27031',b'Contrast ratio: 1782 (nominal)',b'Photo / Video',b'Voice 83dB / Noise 75dB / Ring 83dB',b'Noise -92.9dB / Crosstalk -91.1dB',b'Endurance rating 91h'
b'realme',b'Realme C2',b'https://cdn2.gsmarena.com/vv/bigpic/realme-c2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, May'",b'154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in)',b'166 g (5.86 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.1 inches, 91.3 cm2 (~80.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie); ColorOS 6 Lite',b'Octa-core 2.0 GHz Cortex-A53',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 3 GB RAM or 16 GB, 2 GB RAM'","b'5 MP, f/2.0, 1/5"", 1.12\xc2\xb5m'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Diamond Black, Diamond Blue'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Mediatek MT6762 Helio P22 (12 nm)',b'PowerVR GE8320',b'Non-removable Li-Po 4000 mAh battery',b'About 6000 INR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,b'HDR',"b'RMX1941, RMX1945'",b'Plastic body',"b'13 MP, f/2.2, 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, 1.75\xc2\xb5m, depth sensor'",,,,,,
b'realme',b'Realme 3',b'https://cdn2.gsmarena.com/vv/bigpic/realme-3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.22 inches, 96.6 cm2 (~81.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 9.0 (Pie); ColorOS 6',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',"b'microSD, up to 256 GB (dedicated slot)'","b'64 GB, 3/4 GB RAM or 32 GB, 3 GB RAM'","b'13 MP, f/2.0, 1/3"", 1.12\xc2\xb5m'","b'LED flash, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",,,"b'Black, Dynamic Black, Radiant Blue, Diamond Red'","b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'",b'Mediatek MT6771 Helio P60 (12 nm)Mediatek Helio P70 (12nm)',b'Mali-G72 MP3',b'Non-removable Li-Ion 4230 mAh battery',b'About 9000 INR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,b'Fast battery charging 10W',b'HDR',"b'RMX1825, RMX1821'","b'Front glass, plastic body'","b'13 MP, f/1.8, 1/3"", 1.12\xc2\xb5m, PDAF 2 MP, depth sensor'",b'Basemark OS II: 2104 / Basemark OS II 2.0: 2020Basemark X: 19157',"b'Contrast ratio: 1464:1 (nominal), 2.918 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 71dB / Ring 81dB',b'Noise -93.5dB / Crosstalk -91.6dB',b'Endurance rating 108h'
b'realme',b'Realme C1 (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-realme-c1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, January'","b'Available. Released 2019, February'",b'156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 8.1 (Oreo); ColorOS 5.2',b'Octa-core 1.8 GHz Cortex-A53',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 2/3 GB RAM'","b'5 MP, f/2.2'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Black, Blue'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Adreno 506',b'Non-removable Li-Ion 4230 mAh battery',b'About 7500 INR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,b'HDR',b'MX181',b'Plastic body',"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'",,,,,,
b'realme',b'Realme U1',b'https://cdn2.gsmarena.com/vv/bigpic/realme-u1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2018, November'","b'Available. Released 2018, December'",b'157 x 74 x 8 mm (6.18 x 2.91 x 0.31 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~83.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6'",b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',"b'microSD, up to 256 GB (dedicated slot)'","b'64 GB, 4 GB RAM or 32/64 GB, 3 GB RAM'","b'25 MP, f/2.0, 1/2.8"", 0.9\xc2\xb5m'","b'LED flash, HDR, panorama'","b'1080p@30fps, 720p@90fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Ambitious Black, Brave Blue, Fiery Gold'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Mediatek Helio P70 (12nm)',b'Mali-G72 MP3',b'Non-removable Li-Ion 3500 mAh battery',b'About 130 EUR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,b'Fast battery charging 10W',b'HDR',"b'RMX1831, RMX1833'",,"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'",b'Basemark OS II: 2353 / Basemark OS II 2.0: 2307Basemark X: 17290',"b'Contrast ratio: 1830:1 (nominal), 2.815 (sunlight)'",b'Photo / Video',b'Voice 68dB / Noise 73dB / Ring 72dB',b'Noise -92.8dB / Crosstalk -93.3dB',b'Endurance rating 93h'
b'realme',b'Realme 2 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-realme-2-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, September'","b'Available. Released 2018, October'",b'156.7 x 74 x 8.5 mm (6.17 x 2.91 x 0.33 in)',b'174 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.3 inches, 97.4 cm2 (~84.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)'","b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6'",b'Octa-core (4x2.0 GHz Kryo 260 & 4x1.8 GHz Kryo 260)',"b'microSD, up to 256 GB (dedicated slot)'","b'128 GB, 8 GB RAM or 64 GB, 4/6 GB RAM'","b'16 MP, f/2.0'","b'LED flash, HDR, panorama'","b'2160p@30fps, 1080p@30fps, 720p@240fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 \xd0\xb0/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 34(2000), 38(2600), 40(2300), 41(2500) - India'",,,"b'Black, Deep Blue, Light Blue'","b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500) - Global'",b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Adreno 512',b'Active noise cancellation with dedicated mic',b'About 150 EUR',b'Non-removable Li-Ion 3500 mAh battery',,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,b'Fast battery charging 10W',b'HDR',"b'RMX1801, RMX1807'",b'Plastic body',"b'16 MP, f/1.7, 1/2.8"", 1.12\xc2\xb5m, PDAF 2 MP, depth sensor'",b'Basemark OS II: 2335 / Basemark OS II 2.0: 1911Basemark X: 14576',"b'Contrast ratio: 1755:1 (nominal), 3.235 (sunlight)'",b'Photo / Video',b'Voice 69dB / Noise 74dB / Ring 81dB',b'Noise -93.3dB / Crosstalk -92.7dB',b'Endurance rating 97h'
b'realme',b'Realme C1',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-realme-c1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, September'","b'Available. Released 2018, October'",b'156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 8.1 (Oreo); ColorOS 5.2',b'Octa-core 1.8 GHz Cortex-A53',"b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'5 MP, f/2.2'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Black, Blue'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Adreno 506',b'Non-removable Li-Ion 4230 mAh battery',b'About 100 EUR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,b'HDR',b'A1603',b'Plastic body',"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'",,,,,,
b'realme',b'Realme 2',b'https://cdn2.gsmarena.com/vv/bigpic/oppo-realme-2-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, August'","b'Available. Released 2018, September'",b'156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'","b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6'",b'Octa-core 1.8 GHz Cortex-A53',"b'microSD, up to 256 GB (dedicated slot)'","b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Active noise cancellation with dedicated mic',,,"b'Diamond Black, Diamond Red, Diamond Blue'","b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Adreno 506',b'Non-removable Li-Ion 4230 mAh battery',b'About 120 EUR',,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,b'HDR',"b'RMX1805, RMX1809'",,"b'13 MP, f/2.2, AF 2 MP, f/2.4, depth sensor'",b'Basemark OS II: 1147 / Basemark OS II 2.0: 1039Basemark X: 6703',"b'Contrast ratio: 1437:1 (nominal), 3.006 (sunlight)'",b'Photo / Video',b'Voice 66dB / Noise 71dB / Ring 87dB',b'Noise -93.4dB / Crosstalk -89.7dB',b'Endurance rating 121h'
