Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1_1,Internal,Alert types,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Build,Chipset,GPU,Models,NFC,Charging,SAR,5G,Triple,Dual,Features_1,Performance,Display,Camera,Loudspeaker_1,Battery life,Quad,Audio quality,Triple_1,Keyboard,Languages
b'samsung',b'Samsung Galaxy Tab A 8.0 (2019)',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a-80-2019-r.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'2019, July'","b'Available. Released 2019, July'",b'210 x 124.4 x 8 mm (8.27 x 4.90 x 0.31 in)',"b'345g (Wi-Fi), 347g (LTE) (12.24 oz)'",b'Nano-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~71.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'microSD, up to 1 TB'",,,"b'8 MP, AF'",,b'1080p@30fps',b'2 MP',b'',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'microUSB 2.0',b'Accelerometer',,,,,b'Non-removable Li-Po 5100 mAh battery',,,,,"b'Carbon Black, Silver Gray'",b'About 130 EUR',,,,"b'32 GB, 2 GB RAM'",,,,b'0.75 W/kg (head) \xc2\xa0 \xc2\xa0 1.19 W/kg (body)',b'Android 9.0 (Pie)',b'Quad-core 2.0 GHz Cortex-A53',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'Front glass, aluminum back, plastic ends and frame'",b'Qualcomm SDM429 Snapdragon 429',b'Adreno 504',"b'SM-T290, SM-T295'",,,,,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Xcover 4s',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover-4s-sm-g398.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, June'","b'Available. Released 2019, July'",b'146.2 x 73.3 x 9.7 mm (5.76 x 2.89 x 0.38 in)',b'172 g (6.07 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'PLS TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'16 MP, f/1.7, PDAF'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.2'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Accelerometer, proximity, compass'",,,,,b'IP68 dust/water proof (up to 1.5m for 30 mins) MIL-STD-810G compliant',b'Active noise cancellation with dedicated mic',,,,b'Gray',b'About 260 EUR',,,b'Removable Li-Ion 2800 mAh battery',"b'32 GB, 3 GB RAM'",,,,b'0.91 W/kg (head) \xc2\xa0 \xc2\xa0 1.31 W/kg (body)',b'Android 9.0 (Pie)',b'Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)'",,b'Exynos 7885 (14 nm)',b'Mali-G71 MP2',"b'SM-G398F, SM-G398FN/DS'",b'Yes',,,,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy A2 Core',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a2-core-sm-a260f.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 900 / 2100 - A260F/DS',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'141.6 x 71 x 9.1 mm (5.57 x 2.80 x 0.36 in)',b'142 g (5.01 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'PLS TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'5 MP, f/1.9, AF'","b'LED flash, HDR'",b'1080p@30fps',"b'5 MP, f/2.2'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",,,,,b'HSDPA 850 / 900 / 2100 - A260G/DS',"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500) - A260G/DS'",,,,"b'Black, Blue, Red, Gold'",b'About 70 EUR',,,b'Removable Li-Ion 2600 mAh battery',"b'8/16 GB, 1 GB RAM'",,,,b'0.53 W/kg (head) \xc2\xa0 \xc2\xa0 1.09 W/kg (body)',b'Android 8.0 Oreo (Go edition)',b'Octa-core 1.6 GHz Cortex-A53',,,"b'LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - A260F/DS'",,b'Exynos 7870 Octa (14 nm)',b'Mali-T830 MP1',"b'SM-A260F, SM-A260G'",,,,,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Watch Active',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-active.jpg',b'No cellular connectivity',b'N/A',,,"b'2019, February'","b'Available. Released 2019, April'",b'39.5 x 39.5 x 10.5 mm (1.56 x 1.56 x 0.41 in)',b'25 g (0.88 oz)',b'No',"b'Super AMOLED capacitive touchscreen, 16M colors'","b'1.1 inches, 9.2 cm2 (~58.8% screen-to-body ratio)'","b'360 x 360 pixels, 1:1 ratio (~302 ppi density)'",b'No',,,,,,,,b'Yes',b'No',b'Wi-Fi 802.11 b/g/n',"b'4.2, A2DP, LE'","b'Yes, with GLONASS, GALILEO, BDS'",b'No',b'No',"b'Accelerometer, gyro, heart rate, barometer'",,,,,b'Samsung Pay MIL-STD-810G 50m waterproof (IP68) Compatible with standard 20mm straps',b'Always-on display',,,,"b'Silver, Black, Rose Gold, Sea Green'",b'About 210 EUR',b'No',b'No',b'Non-removable Li-Ion 230 mAh battery',"b'4 GB, 768 MB RAM'",,b'Corning Gorilla Glass 3',,,b'Tizen-based wearable OS 4.0',b'Dual-core 1.15 GHz Cortex-A53',,,,,b'Exynos 9110 (10 nm)',b'Mali-T720',,b'Yes',b'Qi wireless charging',,,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy View2',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-view2-sm-t927--.jpg',b'HSPA / LTE',b'N/A',b'HSDPA 900 / 2100 - Global',"b'HSPA, LTE-A'","b'2019, April'","b'Available. Released 2019, April'",b'417.1 x 263.4 x 17.3 mm (16.42 x 10.37 x 0.68 in)',b'2.23 kg (4.92 lb)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'17.3 inches, 825.1 cm2 (~75.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~127 ppi density)'","b'microSD, up to 400 GB (dedicated slot)'",,,b'5 MP',,b'2160p@30fps',,,"b'Yes, with stereo speakers (4 speakers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'5.0, A2DP, LE, EDR'","b'Yes, with A-GPS, GLONASS'",b'No',"b'2.0, Type-C 1.0 reversible connector'",b'Accelerometer',,,,,b'HSDPA 850 / 1900 - SM-T927A',"b'LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 14(700), 29(700), 30(2300), 66(1700/2100) - SM-T927A'",,,,b'Dark Grey',b'About 660 EUR',,,b'Non-removable Li-Po 12000 mAh battery',"b'64 GB, 3 GB RAM'",,,,,b'Android 8.1 (Oreo)',b'Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53)',,,"b'LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - Global'",,b'Exynos 7884 (14 nm)',b'Mali-G71 MP2',"b'SM-T927A, SM-T920'",,,b'1.14 W/kg (body)',,,,,,,,,,,,,,
b'samsung',b'Samsung Galaxy Fold',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-fold.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps; 5G (2+ Gbps DL)'","b'2019, February'","b'Coming soon. Exp. release 2019, September'",b'Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm',b'263 g (9.28 oz)',"b'Nano-SIM, Electronic SIM card (eSIM)Nano-SIM - 5G model'","b'Dynamic AMOLED capacitive touchscreen, 16M colors'","b'7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)'",b'1536 x 2152 pixels (~362 ppi density)',b'No',,,,"b'LED flash, HDR, panorama'","b'2160p@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10'",,"b'2160p@30fps, 1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer'",,,,,b'HSDPA 850 / 1700(AWS) / 1900 / 2100 - SM-F900U',"b'Samsung Pay (Visa, MasterCard certified)'",,,,"b'Space Silver, Cosmos Black, Martian Green, Astro Blue'",b'About 1750 EUR',,,b'Non-removable Li-Po 4380 mAh battery',"b'512 GB, 12 GB RAM'",,,,b'0.49 W/kg (head) \xc2\xa0 \xc2\xa0 1.58 W/kg (body)',b'Android 9.0 (Pie)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - SM-F900U'",,b'Qualcomm SDM855 Snapdragon 855 (7 nm)',b'Adreno 640',"b'SM-F900F, SM-F9000, SM-F900W, SM-F900U'",b'Yes',b'Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W',b'0.41 W/kg (head) \xc2\xa0 \xc2\xa0 1.39 W/kg (body)',b'5G NSA / Sub6 - only 5G model',"b'12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0\xc2\xb5m'","b'10 MP, f/2.2, 26mm (wide), 1.22\xc2\xb5m 8 MP, f/1.9, 24mm (wide), 1.22\xc2\xb5m, depth sensor Cover camera: 10 MP, f/2.2, 26mm (wide), 1.22\xc2\xb5m'",b'HDR',b'Basemark OS II: 8072 / Basemark OS II 2.0: 4527Basemark X: 45154',b'Contrast ratio: 185000:1 (nominal)',b'Photo / Video',b'Voice 70dB / Noise 73dB / Ring 90dB',b'Endurance rating 90h',,,,,
b'samsung',b'Samsung Galaxy S10 5G',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - USA',"b'HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps; 5G (2+ Gbps DL)'","b'2019, February'","b'Available. Released 2019, April'",b'162.6 x 77.1 x 7.9 mm (6.40 x 3.04 x 0.31 in)',b'198 g (6.98 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'","b'Dynamic AMOLED capacitive touchscreen, 16M colors'","b'6.7 inches, 112.0 cm2 (~89.4% screen-to-body ratio)'","b'1440 x 3040 pixels, 19:9 ratio (~502 ppi density)'",b'No',,,,"b'LED flash, auto-HDR, panorama'","b'2160p@60fps, 1080p@240fps, 720p@960fps, HDR, dual-video rec.'",,"b'2160p@30fps, 1080p@30fps'","b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'FM radio (USA & Canada only)',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2'",,,,,b'CDMA 800 / 1900 & TD-SCDMA',b'CDMA2000 1xEV-DO - USA',,,,"b'Crown Silver, Majestic Black, Royal Gold'",b'About 1160 EUR',,,b'Non-removable Li-Ion 4500 mAh battery',"b'256/512 GB, 8 GB RAM'",,b'Corning Gorilla Glass 6',,b'0.26 W/kg (head) \xc2\xa0 \xc2\xa0 1.55 W/kg (body)',b'Android 9.0 (Pie); One UI',b'Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA',,,"b'LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500), 46, 48, 66(1700/2100) - USA'","b'Front/back glass (Gorilla Glass 6), aluminum frame'",b'Exynos 9820 (8 nm) - GlobalQualcomm SDM855 Snapdragon 855 (7 nm) - USA',b'Mali-G76 MP12 - GlobalAdreno 640 - USA',"b'SM-G977U, SM-G977N, SM-G977B'",b'Yes',b'Fast battery charging 25W (USB Power Delivery 3.0) Fast wireless charging 15W Power bank/Reverse wireless charging 9W',b'0.46 W/kg (head) \xc2\xa0 \xc2\xa0 1.59 W/kg (body)',b'5G NSA / Sub6 / mmWave; N78',,"b'10 MP, f/1.9, 26mm (wide), Dual Pixel PDAF TOF camera'","b'Dual video call, Auto-HDR'",,,,,,"b'12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide) TOF 3D camera'",,,,
b'samsung',b'Samsung Galaxy S10+',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10-plus-new.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA'","b'HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps'","b'2019, February'","b'Available. Released 2019, March'",b'157.6 x 74.1 x 7.8 mm (6.20 x 2.92 x 0.31 in)',b'175 g / 198 g (ceramic) (6.17 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'Dynamic AMOLED capacitive touchscreen, 16M colors'","b'6.4 inches, 103.8 cm2 (~88.9% screen-to-body ratio)'","b'1440 x 3040 pixels, 19:9 ratio (~522 ppi density)'","b'microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only'",,,,"b'LED flash, auto-HDR, panorama'","b'2160p@60fps, 1080p@240fps, 720p@960fps, HDR, dual-video rec.'",,"b'2160p@30fps, 1080p@30fps'","b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'FM radio (USA & Canada only)',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2'",,,,,b'CDMA 800 / 1900 - USA',b'CDMA2000 1xEV-DO - USA',,,,"b'Prism White, Prism Black, Prism Green, Prism Blue, Canary Yellow, Flamingo Pink, Ceramic Black, Ceramic White, Cardinal Red, Smoke Blue'",b'About 830 EUR',,,b'Non-removable Li-Ion 4100 mAh battery',"b'1 TB, 12 GB RAM, 128/512 GB, 8 GB RAM'",,b'Corning Gorilla Glass 6',,b'0.52 W/kg (head) \xc2\xa0 \xc2\xa0 1.58 W/kg (body)',b'Android 9.0 (Pie); One UI',b'Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global'","b'Front glass (Gorilla Glass 6), back glass (Gorilla Glass 5), aluminum frameFront glass (Gorilla Glass 6), ceramic body'",b'Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China',b'Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China',"b'SM-G975F, SM-G975U, SM-G975W, SM-G975U1, SM-G9750, SM-G975N, SM-G975X'",b'Yes',b'Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W',b'1.06 W/kg (head) \xc2\xa0 \xc2\xa0 1.03 W/kg (body)',,"b'12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0\xc2\xb5m'","b'10 MP, f/1.9, 26mm (wide), 1.22\xc2\xb5m, Dual Pixel PDAF 8 MP, f/2.2, 22mm (wide), 1.12\xc2\xb5m, depth sensor'","b'Dual video call, Auto-HDR'",b'Basemark OS II: 4426 / Basemark OS II 2.0: 4568Basemark X: 45017',"b'Contrast ratio: Infinite (nominal), 4.514 (sunlight)'",b'Photo / Video',b'Voice 74dB / Noise 74dB / Ring 83dB',b'Endurance rating 91h',,b'Noise -93.0dB / Crosstalk -94.3dB',,,
b'samsung',b'Samsung Galaxy S10',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA'","b'HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps'","b'2019, February'","b'Available. Released 2019, March'",b'149.9 x 70.4 x 7.8 mm (5.90 x 2.77 x 0.31 in)',b'157 g (5.54 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'Dynamic AMOLED capacitive touchscreen, 16M colors'","b'6.1 inches, 93.2 cm2 (~88.3% screen-to-body ratio)'","b'1440 x 3040 pixels, 19:9 ratio (~550 ppi density)'","b'microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only'",,,"b'10 MP, f/1.9, 26mm (wide), 1.22\xc2\xb5m, Dual Pixel PDAF'","b'LED flash, auto-HDR, panorama'","b'2160p@60fps, 1080p@240fps, 720p@960fps, HDR, dual-video rec.'",,"b'2160p@30fps, 1080p@30fps'","b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'FM radio (USA & Canada only)',"b'3.1, Type-C 1.0 reversible connector'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2'",,,,,b'CDMA 800 / 1900 - USA',b'CDMA2000 1xEV-DO - USA',,,,"b'Prism White, Prism Black, Prism Green, Prism Blue, Canary Yellow, Flamingo Pink, Cardinal Red, Smoke Blue'",b'About 660 EUR',,,b'Non-removable Li-Ion 3400 mAh battery',"b'128/512 GB, 8 GB RAM'",,b'Corning Gorilla Glass 6',,b'0.48 W/kg (head) \xc2\xa0 \xc2\xa0 1.59 W/kg (body)',b'Android 9.0 (Pie); One UI',b'Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global'","b'Back glass (Gorilla Glass 5), aluminum frame'",b'Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China',b'Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China',"b'SM-G973F, SM-G973U, SM-G973W, SM-G973U1, SM-G9730'",b'Yes',b'Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W',b'0.93 W/kg (head) \xc2\xa0 \xc2\xa0 0.79 W/kg (body)',,"b'12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0\xc2\xb5m'",,"b'Dual video call, Auto-HDR'",b'Basemark OS II: 4539 / Basemark OS II 2.0: 4465Basemark X: 44097',"b'Contrast ratio: Infinite (nominal), 4.498 (sunlight)'",b'Photo / Video',b'Voice 82dB / Noise 74dB / Ring 85dB',b'Endurance rating 79h',,b'Noise -92.2dB / Crosstalk -92.7dB',,,
b'samsung',b'Samsung Galaxy S10e',b'https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10e.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',"b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA'","b'HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps'","b'2019, February'","b'Available. Released 2019, March'",b'142.2 x 69.9 x 7.9 mm (5.60 x 2.75 x 0.31 in)',b'150 g (5.29 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'Dynamic AMOLED capacitive touchscreen, 16M colors'","b'5.8 inches, 82.8 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~438 ppi density)'","b'microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only'",,,"b'10 MP, f/1.9, 26mm (wide), 1.22\xc2\xb5m, Dual Pixel PDAF'","b'LED flash, auto-HDR, panorama'","b'2160p@60fps, 1080p@240fps, 720p@960fps, HDR, dual-video rec.'",,"b'2160p@30fps, 1080p@30fps'","b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'FM radio (USA & Canada only)',b'Type-C 1.0 reversible connector',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer'",,,,,b'CDMA 800 / 1900 - USA',b'CDMA2000 1xEV-DO - USA',,,,"b'Prism White, Prism Black, Prism Green, Prism Blue, Canary Yellow, Flamingo Pink'",b'About 560 EUR',,,b'Non-removable Li-Ion 3100 mAh battery',"b'256 GB, 8 GB RAM or 128 GB, 6 GB RAM'",,b'Corning Gorilla Glass 5',,b'0.58 W/kg (head) \xc2\xa0 \xc2\xa0 1.57 W/kg (body)',b'Android 9.0 (Pie); One UI',b'Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global'","b'Front/back glass (Gorilla Glass 5), aluminum frame'",b'Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China',b'Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China',"b'SM-G970F, SM-G970U, SM-G970W, SM-G9700, SM-G970U1'",b'Yes',b'Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W',b'0.56 W/kg (head) \xc2\xa0 \xc2\xa0 0.70 W/kg (body)',,,"b'12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4\xc2\xb5m, Dual Pixel PDAF, OIS 16 MP, f/2.2, 12mm (ultrawide), 1.0\xc2\xb5m'","b'Dual video call, Auto-HDR'",b'Basemark OS II: 4286 / Basemark OS II 2.0: 4470Basemark X: 44059',b'Contrast ratio: infinite',b'Photo / Video',b'Voice 71dB / Noise 76dB / Ring 80dB',b'Endurance rating 83h',,b'Noise -92.9dB / Crosstalk -89.4dB',,,
