Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm
b'siemens',b'Siemens AL21',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-al21.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',b'Class 8',b'No',"b'2005, November'",b'Discontinued',b'86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in)',b'78 g (2.75 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",b'1.5 MB',b'No',b'Yes',b'Vibration; Polyphonic(32) ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes + downloadable',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 600 mAh battery',b'Up to 220 h',b'Up to 5 h',"b'Red Temptation, Black Magic'",,,,,,,,,,,,,,,
b'siemens',b'Siemens A31',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-a31.gif',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900 - US version',b'Class 8',b'No',"b'2005, November'",b'Discontinued',"b'102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)'",b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",b'1.5 MB',b'No',b'Yes',b'Vibration; Polyphonic(32) ringtones',b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes + downloadable',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 820 mAh battery',b'Up to 270 h',b'Up to 5 h',"b'Anthracite, Ruby Red'",,,,,,,,,,,,,,,
b'siemens',b'Siemens AF51',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-af51.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external 65K colors display, CSTN (96 x 64 pixels)'",b'Class 8',b'No',"b'2005, November'",b'Discontinued',b'79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",,b'No',b'Yes',b'Vibration; Polyphonic(32) ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 1.2.1',b'Yes + downloadable',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 620 mAh battery',b'Up to 220 h',b'Up to 5 h',"b'Panther Black, Dolphin Grey'",,,,,,,,,,,,,,,
b'siemens',b'Siemens ME75',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-me75.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Dust, shock and splash resistant'",b'Class 10',b'No',"b'2005, October'",b'Discontinued',b'105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 4:3 ratio'",b'No',"b'1000 x 20 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'",b'10 MB',b'No',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS, Email, Instant Messaging'",b'WAP 2.0/xHTML',b'Yes + downloadable',b'Yes',b'Removable Li-Ion 1000 mAh battery',b'Up to 450 h',b'Up to 8 h',"b'Amazon Green, Atlas Grey'",b'VGA',b'Yes',b'Yes',,,,,,,,,,,,
b'siemens',b'Siemens AP75',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',b'Class 10',b'No',"b'2005, October'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",,b'500 KB free memory',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'No',b'Removable Li-Ion 860 mAh battery',b'Up to 161 h',b'Up to 5 h 40 min',b'Cosmic Grey',b'CIF',b'No',,,,,,,,,,,,,
b'siemens',b'Siemens AX72',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',b'Class 8',b'No',"b'2005, October'",b'Discontinued',b'105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in)',b'79 g (2.79 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",,b'1.5 MB free memory',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 600 mAh battery',b'Up to 220 h',b'Up to 5 h',b'Basalt Black',,,,,,,,,,,,,,,
b'siemens',b'Siemens SG75',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'CIF videocall camera',,,"b'2005, Sep'",b'Cancelled',"b'98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)'",b'123 g (4.34 oz)',b'Mini-SIM',"b'TFD, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.6 cm2 (~26.0% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'RS-MMC',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",b'70 MB',b'Video telephony MP3 player Predictive text input Organizer',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS, EMail, Instant Messaging'",b'WAP 2.0/xHTML',b'Yes + downloadable',"b'Yes, MIDP 2.0'",b'Removable Li-Po 920 mAh battery',b'Up to 325 h',b'Up to 3 h 20 min',b'Metallic White',b'1.3 MP',b'Yes',,b'UMTS 2100',"b'Yes, 384 kbps'",,,,,,,,,,
b'siemens',b'Siemens SFG75',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif',b'GSM / UMTS',b'GSM 900 / 1800',"b'Second CSTN display (96 x 96 pixels), 65K colors Wallpapers Downloadable pictures'",,,"b'2005, Sep'",b'Discontinued',"b'90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)'",b'110 g (3.88 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.6 cm2 (~31.1% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'miniSD',"b'Yes, Photo call'","b'10 dialed, 10 received, 10 missed calls'",b'32 MB',b'CIF videocall camera',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 840 mAh battery',b'Up to 250 h',b'Up to 3 h',b'Silver Black',b'1.3 MP',b'Yes',b'Yes',b'UMTS 2100',"b'Yes, 384 kbps'",b'LED flash',,,,,,,,,
b'siemens',b'Siemens CC75',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',b'Class 10',b'No',"b'2005, August'",b'Cancelled',"b'111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)'",b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",b'3 MB',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',b'No',b'Removable Li-Ion 800 mAh battery (EBA-720)',b'Up to 270 h',b'Up to 3 h 30 min',b'Aluminium Silver',,,b'Yes',,,,,,,,,,,,
b'siemens',b'Siemens CF110',b'https://cdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'Class 8',b'No',"b'2005, August'",b'Discontinued',"b'83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)'",b'76.5 g (2.68 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'",b'1.5 MB',b'Predictive text input Organizer',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 600 mAh battery (EBA-160)',b'Up to 220 h',b'Up to 5 h',"b'Moonlight Silver, Midnight Blue'",,,,,,,,,,,,,,,
