Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'sony_ericsson',b'Sony Ericsson Xperia Arc S',b'https://cdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 / 800  - LT18a',,,"b'2011, August. Released 2011, September'",b'Discontinued',b'125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in)',b'117 g (4.13 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'4.2 inches, 48.6 cm2 (~61.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~233 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 8 GB included'",,,"b'1 GB (320 MB user available), 512 MB RAM'",b'No',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS; GLONASS'","b'Stereo FM radio, RDS'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Po 1500 mAh battery',b'Up to 460 h (2G) / Up to 460 h (3G)',b'Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G)',"b'Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink'","b'8 MP, AF'",b'720p@30fps',,b'HSDPA 900 / 2100  - LT18i',b'HSPA 14.4/5.76 Mbps',"b'LED flash, panorama'",,"b'Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)'",b'1.4 GHz Scorpion',,,,b'Qualcomm MSM8255T Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 37 h',b'About 210 EUR',b'Voice 67dB / Noise 65dB / Ring 76dB',,,,,,b'Photo / Video',b'Noise -89.3dB / Crosstalk -90.2dB',,,,,b'0.66 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Xperia neo V',b'https://cdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - MT11a',,,"b'2011, August. Released 2011, October'",b'Discontinued',b'116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in)',b'126 g (4.44 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'3.7 inches, 37.7 cm2 (~57.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~265 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'1 GB (320 MB user available), 512 MB RAM'",b'ANT+ HDMI port MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player TrackID music recognition Organizer Document viewer Voice memo/dial/commands Predictive text input (T9 Trace)',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Po 1500 mAh battery',b'Up to 430 h (2G) / Up to 400 h (3G)',b'Up to 6 h 55 min (2G) / Up to 7 h (3G)',"b'White, Blue Gradient, Silver'","b'5 MP, AF'",b'720p@30fps',,b'HSDPA 900 / 2100 - MT11i',b'HSPA 7.2/5.76 Mbps',"b'LED flash, panorama'",,"b'Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'1.0 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 31 h',b'About 150 EUR',b'Voice 68dB / Noise 65dB / Ring 71dB',,,,,b'Contrast ratio: 1578:1 (nominal)',b'Photo / Video',b'Noise -89.6dB / Crosstalk -80.9dB',b'Endurance rating 42h',,,,b'1.10 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Live with Walkman',b'https://cdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - WT19a',,,"b'2011, August. Released 2011, October'",b'Discontinued',b'106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in)',b'115 g (4.06 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.2 inches, 30.5 cm2 (~50.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'320 MB, 512 MB RAM'",b'ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document editor Voice memo Predictive text input',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Ion 1200 mAh battery',b'Up to 350 h (2G) / Up to 400 h (3G)',b'Up to 14 h 15 min (2G) / Up to 6 h 42 min (3G)',"b'Black, White'","b'5 MP, AF'",b'720p',,b'HSDPA 900 / 2100 - WT19i',b'HSPA 7.2/5.76 Mbps',b'LED flash',,"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'1.0 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 17 h 30 min',b'About 120 EUR',b'Voice 75dB / Noise 68dB / Ring 78dB',,,,,,b'Photo / Video',b'Noise -88.1dB / Crosstalk -87.9dB',,,,,b'1.00 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Xperia ray',b'https://cdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - ST18a',,,"b'2011, June. Released 2011, August'",b'Discontinued',b'111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'3.3 inches, 30.0 cm2 (~51.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~297 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 4 GB included'",,,"b'1 GB (300 MB user available), 512 MB RAM'",b'Touch sensitive controls',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'HTML, Adobe Flash'",,,b'Removable Li-Ion 1500 mAh battery',b'Up to 430 h (2G) / Up to 440 h (3G)',b'Up to 6 h 50 min (2G) / Up to 7 h (3G)',"b'Black, Gold, White, Pink'","b'8 MP, AF'",b'720p',,b'HSDPA 900 / 2100 - ST18i',b'HSPA 7.2/5.76 Mbps',b'LED flash',,"b'Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)'",b'1.0 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 36 h',b'About 170 EUR',b'Voice 64dB / Noise 61dB / Ring 66dB',,,,,b'Contrast ratio: 1.955:1 (sunlight)',b'Photo / Video',b'Noise -89.4dB / Crosstalk -91.3dB',,,,,b'0.96 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Xperia active',b'https://cdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 1900 / 2100 / 800',,,"b'2011, June. Released 2011, October'",b'Discontinued',b'92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in)',b'110.8 g (3.88 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'3.0 inches, 26.8 cm2 (~53.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'1 GB (320 MB user available), 512 MB RAM'",b'IP67 dust/water resistant (up to 1m for 30 mins) Flashlight',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'HTML, Adobe Flash'",,,b'Removable Li-Ion 1200 mAh battery',b'Up to 351 h (2G) / Up to 335 h (3G)',b'Up to 4 h 53 min (2G) / Up to 5 h 31 min (3G)',"b'Orange/Black, White/Black'","b'5 MP, AF'",b'720p',,b'HSDPA 900 / 2100',b'HSPA 7.2/5.76 Mbps',b'LED flash',,"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'1.0 GHz Scorpion',,,,b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 25 h',b'About 170 EUR',b'Voice 70dB / Noise 64dB / Ring 68dB',,,,,,b'Photo / Video',b'Noise -89.5dB / Crosstalk -91.4dB',,,,b'1.12 W/kg (head) \xc2\xa0 \xc2\xa0 1.07 W/kg (body)',
b'sony_ericsson',b'Sony Ericsson txt',b'https://cdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',b'Up to 60 kbps',b'Up to 177 kbps',"b'2011, June. Released 2011, October'",b'Discontinued',b'106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT,  256K colors'","b'2.55 inches, 20.1 cm2 (~31.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~157 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'","b'Yes, Photocall'",b'Yes',"b'120 MB (100 MB user available), 64 MB RAM'",b'SNS integration with native Facebook and Twitter clients MP4/H.264 player MP3/eAAC+/WAV player TrackID music recognition Voice memo Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'",b'No',"b'Stereo FM radio, RDS'",b'microUSB 2.0',b'',"b'SMS(threaded view), MMS, Email, Push email, IM'",b'HTML',b'Yes',"b'Yes, MIDP 2.1'",b'Removable Li-Ion 1000 mAh battery',b'Up to 416 h',b'Up to 3 h 12 min',"b'Black, Blue, White, Pink'",b'3.15 MP',b'Yes',,,,b'fixed-focus',b'QWERTY',,,,,,,,,,b'Scratch-resistant glass',,,,b'Up to 23 h',b'About 60 EUR',,,,,,,,,,,,,b'0.92 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Mix Walkman',b'https://cdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - WT13i',b'No',b'Up to 115 kbps',b'Up to 200 kbps',"b'2011, June. Released 2011, August'",b'Discontinued',b'95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in)',b'88 g (3.10 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.0 inches, 25.6 cm2 (~50.6% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'","b'Yes, Photocall'",b'Yes',b'256 MB (100 MB user available)',b'SNS integration Walkman player (MP3/eAAC+/WMA/MP4/H.263) SensMe TrackID music recognition Document viewer Voice memo Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'",b'No',"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'","b'SMS(threaded view), MMS, Email, IM'","b'WAP 2.0/xHTML, HTML'",b'Yes',b'Yes',b'Removable Li-Ion 1000 mAh battery',b'Up to 465 h',b'Up to 9 h 40 min',"b'Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band'",b'3.15 MP',b'320p',,,,,,,,,,,,,,,b'Scratch-resistant glass',,,,b'Up to 13 h',b'About 70 EUR',b'Voice 70dB / Noise 72dB / Ring 75dB',,,,,b'Contrast ratio: 751:1 (nominal)',b'Photo',,,,,,b'0.91 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson txt pro',b'https://cdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',b'Up to 85.6 kbps',b'Up to 236.8 kbps',"b'2011, June. Released 2011, July'",b'Discontinued',b'93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.0 inches, 25.6 cm2 (~53.0% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'","b'Yes, Photocall'",b'Yes',"b'100 MB, 64 MB RAM'",b'SNS integration MP4/H.263 player MP3/eAAC+/WAV/WMA player TrackID music recognition Document viewer Voice memo Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'",b'No',"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'","b'SMS(threaded view), MMS, Email, IM'","b'WAP 2.0/xHTML, HTML'",b'Yes',b'Yes',b'Removable Li-Ion 1000 mAh battery',b'Up to 400 h',b'Up to 5 h 10 min',"b'Black, White, Pink'",b'3.15 MP',b'320p',,,,,b'QWERTY',,b'PNX-4910',,,,,,,,b'Scratch-resistant glass',,,,,b'About 80 EUR',,,,,,,,,,,,,b'0.80 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Xperia mini',b'https://cdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,"b'2011, May. Released 2011, August'",b'Discontinued',b'88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in)',b'99 g (3.49 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'3.0 inches, 26.8 cm2 (~58.6% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'512 MB RAM, 320 MB'",b'No',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'HTML, Adobe Flash'",,,b'Removable Li-Ion 1200 mAh battery',b'Up to 340 h (2G) / Up to 320 h (3G)',b'Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G)',"b'Black, White, Blue, Dark pink'","b'5 MP, AF'",b'720p',,b'HSDPA 900 / 2100',b'HSPA 7.2/5.76 Mbps',b'LED flash',,"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'1.0 GHz Scorpion',,,,b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 25 h',b'About 120 EUR',b'Voice 71dB / Noise 65dB / Ring 66dB',,,,,,b'Photo / Video',b'Noise -88.7dB / Crosstalk -90.6dB',,,b'ST15i',,b'0.78 W/kg (head)'
b'sony_ericsson',b'Sony Ericsson Xperia mini pro',b'https://cdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,,"b'2011, May. Released 2011, August'",b'Discontinued',b'92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in)',b'136 g (4.80 oz)',b'Mini-SIM',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'3.0 inches, 26.8 cm2 (~55.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'512 MB RAM, 400 MB'",b'ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document viewer Voice memo Predictive text input',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,"b'HTML, Adobe Flash'",,,b'Removable Li-Ion 1200 mAh battery',b'Up to 331 h (2G) / Up to 340 h (3G)',b'Up to 5 h 40 min (2G) / Up to 5 h 25 min (3G)',"b'Black, White, Pink, Turquoise'","b'5 MP, AF'",b'720p',,b'HSDPA 900 / 2100',b'HSPA 7.2/5.76 Mbps',b'LED flash',b'QWERTY',"b'Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)'",b'1.0 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255 Snapdragon S2',,,,b'Scratch-resistant glass',b'Adreno 205',,,b'Up to 29 h',b'About 140 EUR',b'Voice 70dB / Noise 62dB / Ring 70dB',,,,,b'Contrast ratio: 714:1 (nominal)',b'Photo / Video',b'Noise -89.7dB / Crosstalk -91.0dB',,,,,b'0.46 W/kg (head)'
