Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b't_mobile',b'T-Mobile Revvlry+',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP54 splash proof',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July 19'",b'158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in)',b'-',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'6.24 inches, 97.5 cm2 (~81.8% screen-to-body ratio)'","b'1080 x 2270 pixels, 19:9 ratio (~403 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'64 GB, 4 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 3000 mAh battery',,,b'Black',"b'12 MP, 1.25\xc2\xb5m'","b'2160p@30fps, 1080p@30/60/120fps, gyro-EIS'",,b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'Dual-LED dual-tone flash, panorama, HDR'",,b'Android 9.0 (Pie)',b'Octa-core 1.8 GHz Kryo 260',,,b'1080p@30fps',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 20(800), 66(1700/2100), 71(600)'",,b'Adreno 509',,b'Fast battery charging 27W',,b'About 350 USD',,,,b'HDR',,,,,,"b'16 MP, f/1.7, 1.22\xc2\xb5m, PDAF, OIS 5 MP, f/2.2, depth sensor'",,,
b't_mobile',b'T-Mobile Revvlry',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Splash resistant',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July 19'",b'148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in)',b'-',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 81.1 cm2 (~76.4% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'32 GB, 3 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'2.0, Type-C 1.0 reversible connector'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 3000 mAh battery',,,b'Black',"b'13 MP, f/2.0, 1.12\xc2\xb5m, PDAF'",b'1080p@30fps',,b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'LED flash, panorama, HDR'",,b'Android 9.0 (Pie)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',,"b'8 MP, f/2.2, 1.12\xc2\xb5m'",b'1080p@30fps',b'Qualcomm SDM632 Snapdragon 632 (14 nm)',,,"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 38(2600), 66(1700/2100), 71(600)'",,b'Adreno 506',,b'Fast battery charging 10W',,b'About 200 USD',,,,b'LED flash',,,,,,,,,
b't_mobile',b'T-Mobile Revvl',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900',b'Non-removable Li-Ion 3000 mAh battery',,,"b'2017, August'","b'Available. Released 2017, August'",b'151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in)',b'157.9 g (5.64 oz)',b'Nano-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'","b'microSD, up to 128 GB'",,,"b'32 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,b'Up to 288 h (3G)',b'Up to 12 h (3G)',b'Black',"b'13 MP, AF'",b'1080p@30fps',,b'HSDPA 1700 (AWS)/ 1900',"b'HSPA, LTE'","b'LED flash, HDR'",,b'Android 7.0 (Nougat)',b'Quad-core 1.5 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6738',,,"b'LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 66(1700/2100)'",,b'Mali-T860MP2',,,,b'About 125 USD',,,,b'LED flash',,,,,,,,,
b't_mobile',b'T-Mobile Prism II',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',,,"b'2013, June. Released 2013, June'",b'Discontinued',b'117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in)',b'100 g (3.53 oz)',b'Mini-SIM',b'TFT capacitive touchscreen',"b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'4 GB, 512 MB RAM'",b'Removable Li-Ion 1750 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 260 h',b'Up to 8 h',b'Black',b'3.15 MP',b'Yes',,b'HSDPA 850 / 1700 / 1900 / 2100',b'HSPA',,,b'Android 4.1 (Jelly Bean)',b'1.0 GHz Cortex-A5',,,,,,,,,,,,,b'About 90 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile Concord',b'https://cdn2.gsmarena.com/vv/bigpic/zte-t-mobile-concord.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',,,"b'2012, August. Released 2012, August'",b'Discontinued',b'117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'512 MB, 512 MB RAM'",b'MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,b'Removable Li-Ion 1500 mAh battery',b'Up to 300 h',b'Up to 8 h 30 min',b'Black',b'2 MP',b'480p',,b'HSDPA 850 / 1700 / 1900 / 2100',b'HSPA 7.2/5.76 Mbps',,,b'Android 2.3.5 (Gingerbread)',b'832 MHz',,,,b'BCM21553',,,,,,,,,b'About 80 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile myTouch Q 2',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-q-2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype)',,,"b'2012, August. Released 2012, August'",b'Discontinued',b'124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in)',b'185 g (6.53 oz)',b'Mini-SIM',"b'Capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'4 GB, 1 GB RAM'",b'Removable Li-Ion 1500 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Up to 185 h',b'Up to 6 h',"b'Black, White'","b'5 MP, AF'",b'720p@30fps',,b'HSDPA 1700 / 2100',b'HSPA',b'LED flash',b'QWERTY',b'Android 2.3 (Gingerbread)',b'1.4 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255T Snapdragon S2',,,,,b'Adreno 205',,,,b'About 290 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile myTouch 2',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype)',,,"b'2012, August. Released 2012, August'",b'Discontinued',b'114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in)',b'140 g (4.94 oz)',b'Mini-SIM',"b'Capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~64.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'4 GB, 1 GB RAM'",b'Removable Li-Ion 1500 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Up to 186 h',b'Up to 6 h 10',"b'Black, Dark red'","b'5 MP, AF'",b'720p@30fps',,b'HSDPA 1700 / 2100',b'HSPA',b'LED flash',,b'Android 2.3 (Gingerbread)',b'1.4 GHz Scorpion',,b'VGA',b'',b'Qualcomm MSM8255T Snapdragon S2',,,,,b'Adreno 205',,,,b'About 290 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile Prism',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-prism.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',,,"b'2012, May. Released 2012, May'",b'Discontinued',b'116.3 x 60.2 x 12.2 mm (4.58 x 2.37 x 0.48 in)',b'125 g (4.41 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.5 inches, 36.5 cm2 (~52.1% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,b'512 MB',b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input (Swype)',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Removable Li-Ion 1400 mAh battery',b'Up to 400 h',b'Up to 6 h 30 min',b'Black',b'3.15 MP',b'Yes',,b'HSDPA 850 / 1700 / 1900 / 2100',b'HSPA',,,b'Android 2.3.5 (Gingerbread)',b'600 MHz',,,,,,,,,,,,,b'About 170 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile Move Balance',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-move-balance.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,,"b'2011, December. Released 2011, December'",b'Discontinued',b'118.5 x 59.5 x 10.5 mm (4.67 x 2.34 x 0.41 in)',b'142 g (5.01 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.7 inches, 39.0 cm2 (~55.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 4 GB included'",,,"b'4 GB, 512 MB RAM'",b'No',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,b'Removable Li-Ion 2000 mAh battery',b'Up to 770 h',b'Up to 11 h',b'Black',"b'5 MP, AF'",b'Yes',,b'HSDPA 850 / 1900',b'HSPA 7.2/0.384 Mbps',b'LED flash',,b'Android 2.3.5 (Gingerbread)',b'800 MHz',,,,,,,,,,,,,b'About 100 EUR',,,,,,,,,,,,,b'0.54 W/kg (head)'
b't_mobile',b'T-Mobile Arizona',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-arizona.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'Class 12',b'Class 12',"b'2011, Q4. Released 2011, December'",b'Discontinued',b'104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~42.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,b'100 MB',b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'microUSB 2.0',b'Accelerometer',,,,,b'Removable Li-Ion 1100 mAh battery',b'Up to 200 h',b'Up to 4 h',b'Black',b'2 MP',b'Yes',,b'HSDPA',b'HSPA 3.6/0.384 Mbps',,,b'Android OS',,,,,,,,,,,,,,,,,,,,,,,,,,,b'1.10 W/kg (head)'
b't_mobile',b'T-Mobile myTouch 4G Slide',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-4g-slide.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer  Voice memo/dial/commands Predictive text input',,,"b'2011, June. Released 2011, July'",b'Discontinued',b'122 x 66 x 14 mm (4.80 x 2.60 x 0.55 in)',b'184 g (6.49 oz)',b'Mini-SIM',"b'S-LCD capacitive touchscreen, 16M colors'","b'3.7 inches, 39.0 cm2 (~48.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 8 GB included'",,,"b'4 GB, 768 MB RAM'",b'Removable Li-Ion 1520 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 300 h (2G) / Up to 240 h (3G)',b'Up to 9 h (2G) / Up to 7 h (3G)',"b'White, Black'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 1700 / 2100',b'HSPA 14.4/5.76 Mbps',"b'Dual-LED flash, HDR'",b'QWERTY',b'Android 2.3.4 (Gingerbread)',b'Dual-core 1.2 GHz Scorpion',,b'Yes',b'',,,,,,b'Adreno 220',,,,b'About 350 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile Vivacity',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-vivacity.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input',,,"b'2011, November. Released 2011, November'",b'Discontinued',b'115 x 58 x 10.5 mm (4.53 x 2.28 x 0.41 in)',b'118 g (4.16 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.5 inches, 34.9 cm2 (~52.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,b'512 MB',b'Removable Li-Ion 1500 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,b'Up to 200 h',b'Up to 4 h',b'Black',b'5 MP',b'Yes',,b'HSDPA 900 / 2100',b'HSPA',b'LED flash',,b'Android 2.3 (Gingerbread)',,,b'Yes',b'',,,,,,,,,,b'About 170 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile Energy',b'https://cdn2.gsmarena.com/vv/bigpic/tmobile-energy.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',b'Yes',b'Yes',b'2011. Released 2011',b'Discontinued',b'116.5 x 60 x 12 mm (4.59 x 2.36 x 0.47 in)',b'121 g (4.27 oz)',b'Mini-SIM',"b'TFT touchscreen, 256K colors'","b'3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD (dedicated slot), 2 GB included'","b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'",,b'SNS applications MP3/WAV/AAC+ player MP4/H.263 player Organizer Predictive text input',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',b'Yes',b'No',b'FM radio',b'microUSB 2.0',b'',"b'SMS, MMS, Email'",,b'Yes',b'Yes',b'Removable Li-Ion battery',b'Up to 200 h',b'Up to 4 h 30 min',b'Black',b'3.15 MP',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile SpringBoard',b'https://cdn2.gsmarena.com/vv/bigpic/t-mobile-springboard.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document editor Predictive text input (Swype)',,,"b'2011, October. Released 2011, December'",b'Discontinued',b'190 x 129 x 10.4 mm (7.48 x 5.08 x 0.41 in)',b'607.8 (1.34 lb)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'7.0 inches, 142.1 cm2 (~58.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,b'16 GB',b'Non-removable Li-Po 7000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'2.0',"b'Accelerometer, compass'",,,,,,b'Up to 288 h',b'Up to 7 h',b'Black',"b'5 MP, AF'",b'720p',,b'HSDPA 850 / 1700 / 2100',b'HSPA 42.2/5.76 Mbps',,,"b'Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)'",b'Dual-core 1.2 GHz Scorpion',,b'1.3 MP',b'',b'Qualcomm MSM8260 Snapdragon S3',,,,,b'Adreno 220',,,,b'About 350 EUR',,,,,,,,,,,,,
b't_mobile',b'T-Mobile myTouch Q',b'https://cdn2.gsmarena.com/vv/bigpic/tmobile-mytouch-q.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',,,"b'2011, October. Released 2011, November'",b'Discontinued',b'121 x 64 x 13 mm (4.76 x 2.52 x 0.51 in)',b'160 g (5.64 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'3.5 inches, 36.5 cm2 (~47.1% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 2 GB included'",,,"b'2 GB, 512 MB RAM'",b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer  Voice memo/dial/commands Predictive text input (Swype)',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, UMA, hotspot'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,b'Removable Li-Ion 1500 mAh battery',b'Up to 280 h',b'Up to 3 h 20 min',"b'Gray, Violet'","b'5 MP, AF'",b'720p@30fps',,b'HSDPA 1700 / 2100',b'HSPA 42.2/5.76 Mbps',b'LED flash',b'QWERTY',b'Android 2.3 (Gingerbread)',b'1.0 GHz Scorpion',,,,b'Qualcomm MSM8255 Snapdragon S2',,,,,b'Adreno 205',,,,b'About 190 EUR',,,,,,,,,,,,,
