Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'tecno',b'TECNO Phantom 9',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-phantom-9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Ion 3500 mAh battery',,,"b'2019, July'","b'Coming soon. Exp. release 2019, July 17'",b'158.5 x 75.3 x 7.9 mm (6.24 x 2.96 x 0.31 in)',b'164.4 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.39 inches, 100.2 cm2 (~84.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'","b'microSD, up to 1 TB (dedicated slot)'",,,"b'128 GB, 6 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (under display), accelerometer, gyro, proximity, compass'",,,,,,,,b'Lapland Aurora',"b'32 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 9.0 (Pie)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',,,b'1080p@30fps',b'Mediatek MT6765 Helio P35 (12nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'",b'Corning Gorilla Glass 3',b'PowerVR GE8320',,,,b'About 15000 INR',,,"b'16 MP, f/1.8, PDAF 8 MP, f/2.4, 13mm (ultrawide) 2 MP, f/2.8, depth sensor'",b'HDR',,,,,,,,,
b'tecno',b'TECNO Camon iACE2X',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-camon-iace2x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 3050 mAh battery',,,"b'2019, February'","b'Available. Released 2019, February'",b'148.3 x 71.9 x 8.5 mm (5.84 x 2.83 x 0.33 in)',b'150 g (5.29 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~73.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'","b'microSD, up to 128 GB (dedicated slot)'",,,"b'32 GB, 3 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,,,"b'Champagne Gold, Midnight Black, Nebula Black'","b'8 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED, HDR, panorama'",,b'Android 8.1 (Oreo); HIOS 4.1',b'Quad-core 2.0 GHz Cortex-A53',,,b'',b'Mediatek MT6761 Helio A22 (12 nm)',,,b'LTE (unspecified)',,b'PowerVR GE8320',,,,b'About 7600 INR',,,,b'LED flash',,,,,,"b'13 MP, f/1.8, AF 0.3 MP, depth sensor'",,,
b'tecno',b'TECNO Camon iACE2',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-camon-iace2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 3050 mAh battery',,,"b'2019, February'","b'Available. Released 2019, February'",b'148.3 x 71.9 x 8.5 mm (5.84 x 2.83 x 0.33 in)',b'150 g (5.29 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~73.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'","b'microSD, up to 128 GB (dedicated slot)'",,,"b'32 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',b'microUSB 2.0',"b'\xd0\x90ccelerometer, proximity'",,,,,,,,"b'Champagne Gold, Midnight Black, City Blue'","b'8 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED, HDR, panorama'",,b'Android 8.1 (Oreo); HIOS 4.1',b'Quad-core 2.0 GHz Cortex-A53',,,b'',b'Mediatek MT6761 Helio A22 (12 nm)',,,b'LTE (unspecified)',,b'PowerVR GE8320',,,,b'About 6700 INR',,,,b'LED flash',,,,,,"b'13 MP, f/1.8, AF 0.3 MP, depth sensor'",,,
b'tecno',b'TECNO Camon 11 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-camon11-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Ion 3750 mAh battery',,,"b'2018, September'","b'Available. Released 2018, November'",b'156.5 x 76 x 5.6 mm (6.16 x 2.99 x 0.22 in)',b'155 g (5.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.7 cm2 (~81.3% screen-to-body ratio)'",b'720 x 1500 pixels (~268 ppi density)',"b'microSD, up to 128 GB (dedicated slot)'",,,"b'64 GB, 6 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot (Africa)Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot (other markets)'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Infrared face recognition, fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,,,,b'Nebula black',"b'24 MP, f/2.0, 26mm (wide)'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Quad-LED dual-tone flash, HDR, panorama'",,b'Android 8.1 (Oreo)',b'Octa-core 2.0 GHz Cortex-A53',,,b'1080p@30fps',b'Mediatek MT6762 Helio P22 (12 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'",b'NEG',b'PowerVR GE8320',,,,,,,,"b'LED flash, HDR'",,,,,,"b'16 MP, f/1.8, 25mm (wide), AF 5 MP, f/2.4, depth sensor'",b'CF8',,
b'tecno',b'TECNO Camon 11',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-camon11.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'",,,"b'2018, September'","b'Available. Released 2018, November'",b'156.5 x 76 x 5.6 mm (6.16 x 2.99 x 0.22 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.7 cm2 (~81.3% screen-to-body ratio)'",b'720 x 1500 pixels (~268 ppi density)',"b'microSD, up to 128 GB'",,,"b'64 GB, 4 GB RAM or 32 GB, 3 GB RAM'","b'LTE band 3(1800), 7(2600), 20(800), 28(700)'",b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot (Africa)Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot (other markets)'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Infrared face recognition, fingerprint (rear-mounted), accelerometer, proximity, compass'",,,,,b'Non-removable Li-Ion 3750 mAh battery',,,"b'Bordeaux Red, Aqua Blue, Midnight Black'","b'16 MP, f/2.0'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Quad-LED dual-tone flash, HDR, panorama'",,b'Android 8.1 (Oreo)',b'Quad-core 2.0 GHz Cortex-A53Quad-core 1.5 GHz Cortex-A53',,,b'1080p@30fps',b'Mediatek MT6761 Helio A22 (12 nm)Mediatek MT6739 (28 nm)',,,"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700)'",b'NEG',b'PowerVR GE8320PowerVR GE8100',,,,,,,,"b'LED flash, HDR'",,,,,,"b'13 MP, f/1.8, AF 2 MP, depth sensor'","b'CF7, CF7k'",,
b'tecno',b'TECNO Pop 1s',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-pop1s.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Non-removable Li-Ion 3000 mAh battery',,,"b'2018, July'","b'Available. Released 2018, July'",b'148.1 x 71.6 x 8.6 mm (5.83 x 2.82 x 0.34 in)',b'140 g (4.94 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.5 inches, 78.1 cm2 (~73.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'","b'microSD, up to 32 GB'",,,"b'16 GB, 1/2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,,,"b'Champagne Gold, Midnight Black, City Blue'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR'",,b'Android 8.1 Oreo (Go edition)',b'Quad-core 1.3 GHz Cortex-A53',,b'5 MP',b'1080p@30fps',b'Mediatek MT6739WA (28 nm)',,,"b'LTE band 1(2100), 3(1800), 7(2600), 20(800), 28(700)'",b'NEG T2X',b'PowerVR GE8100',,,,,,,,"b'Dual-LED flash, HDR'",,,,,,,,,
b'tecno',b'TECNO Pop 1 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-pop1-pro.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Non-removable Li-Ion 2400 mAh battery',,,"b'2018, June'","b'Available. Released 2018, June'",b'151.5 x 71.9 x 8.5 mm (5.96 x 2.83 x 0.33 in)',b'140 g (4.94 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~70.4% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~197 ppi density)'","b'microSD, up to 32 GB'",,,"b'16 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Champagn Gold, Midnight Black, Bordeaux Red, Jewel Blue'","b'13 MP, AF'",b'1080p@30fps',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'Dual-LED dual-tone flash, HDR'",,b'Android 7.0 (Nougat)',b'Quad-core 1.3 GHz Cortex-A7',,b'5 MP',b'1080p@30fps',b'Mediatek MT6580W (28 nm)',,,,b'NEG T2X',b'Mali-400MP2',,,,,,,,b'HDR',,,,,,,,,
b'tecno',b'TECNO Pop 1',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-pop1.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'Non-removable Li-Ion 2400 mAh battery',,,"b'2018, March'","b'Available. Released 2018, March'",b'151.5 x 71.9 x 8.5 mm (5.96 x 2.83 x 0.33 in)',b'140 g (4.94 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~70.4% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~197 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Champagn Gold, Midnight Black, Bordeaux Red, Jewel Blue'","b'5 MP, AF'",b'1080p@30fps',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'Dual-LED dual-tone flash, HDR'",,b'Android 7.0 (Nougat)',b'Quad-core 1.3 GHz Cortex-A7',,b'5 MP',b'1080p@30fps',b'Mediatek MT6580W (28 nm)',,,,,b'Mali-400MP2',,,,,,,,b'HDR',,,,,,,b'F3',,
b'tecno',b'TECNO F2 LTE',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-f2-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 2400 mAh battery',,,"b'2018, May'","b'Available. Released 2018, May'",b'143.8 x 74 x 9.6 mm (5.66 x 2.91 x 0.38 in)',b'168.5 g (5.96 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'",,,,,,,,"b'Champagne Gold, Midnight Black, City Blue'",b'5 MP',b'1080p@30fps',,b'HSDPA 900 / 2100',b'cat',"b'Dual-LED flash, HDR'",,b'Android 8.1 Oreo (Go edition)',b'Quad-core 1.3 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6739WA (28 nm)',,,"b'LTE band 3(1800), 7(2600), 20(800)'",,b'PowerVR GE8100',,,,,,,,b'LED flash',,,,,,,,,
b'tecno',b'TECNO F2',b'https://cdn2.gsmarena.com/vv/bigpic/tecno-mobile-f2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 2000 mAh battery',,,"b'2018, March'","b'Available. Released 2018, March'",b'145 x 74.2 x 9.7 mm (5.71 x 2.92 x 0.38 in)',b'152.4 g (5.36 oz)',b'Dual SIM',"b'TFT capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'4.0',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,,,"b'Champagne Gold, Ice Blue, Phantom Red'",b'5 MP',b'1080p@30fps',,b'HSDPA 2100',b'HSPA 21.1/5.76 Mbps',"b'Dual-LED flash, HDR'",,b'Android 7.0 (Nougat)',b'Quad-core 1.3 GHz Cortex-A7',,b'2 MP',b'',b'Mediatek MT6580M (28 nm)',,,,,b'Mali-400MP2',,,,,,,,b'LED flash',,,,,,,b'F2',,
