Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'telit',b'Telit t800',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t800.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second CSTN display, 65K colors, 96 x 96 pixels'",b'Class 10',b'No',"b'2006, Q1'",b'Cancelled',b'95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in)',b'91 g (3.21 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',b'microSD',"b'1000 entries, Photocall'","b'10 received, dialed and missed calls'",b'64 MB',b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 860 mAh battery',,,b'Red',b'2 MP',b'Yes',,,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t250',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t250.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second CSTN display, 65K colors, 96 x 96 pixels'",b'Class 10',b'No',"b'2006, Q1'",b'Cancelled',b'96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',b'No',"b'1000 entries, Photocall'","b'10 received, dialed and missed calls'",b'7 MB',b'No',b'No',"b'Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 800 mAh battery',,,b'Black',b'VGA',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t650',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t650.gif',b'GSM',b'GSM 900 / 1800',"b'Second CSTN display, 65K colors, 96 x 96 pixels'",b'Class 10',b'No',"b'2006, Q1'",b'Cancelled',b'90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',b'microSD',"b'500 entries, Photocall'","b'10 received, dialed and missed calls'",b'64 MB',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 800 mAh battery',,,b'Black',"b'VGA, rotating lens'",b'No',b'Yes',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t200',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t200.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'Class 10',b'No',"b'2006, Q1'",b'Discontinued',b'96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',b'No',"b'1000 entries, Photocall'","b'10 received, dialed and missed calls'",b'7 MB',b'eZi text input Organizer Voice memo',b'No',"b'Vibration; Downloadable polyphonic, Midi, WAV, AMR ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes + downloadable',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 730 mAh battery',,,b'Red',b'VGA',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit GU1100',b'https://cdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif',b'GSM / UMTS',b'GSM 900 / 1800',b'MP3 player Predictive text input Voice memo Organizer',,,"b'2005, Q3'",b'Discontinued',b'112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in)',b'103 g (3.63 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',b'microSD (dedicated slot)',"b'500 entries, Photocall'",b'Yes',,b'Removable Li-Ion battery',b'Yes',"b'Vibration; Downloadable polyphonic ringtones, composer'",b'No',b'No',b'Yes',b'No',b'No',b'1.1',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 1.0'",,b'Up to 280 h',b'Up to 4 h',b'Silver',b'VGA',b'Yes',,b'UMTS 2100',"b'Yes, 384 kbps'",,,,,,b'Yes',b'',,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit SP600',b'https://cdn2.gsmarena.com/vv/bigpic/telit-sp600.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',b'Class 8',b'No',"b'2005, Q2'",b'Discontinued',b'109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in)',b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'176 x 220 pixels',b'miniSD',,,b'32 MB',b'MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo Organizer',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'1.1',b'',,b'WAP 2.0/xHTML',,,b'Removable Li-Ion 1000 mAh battery',b'Up to 130 h',b'Up to 5 h',b'Silver',b'1.3 MP',b'Yes',b'Yes',,,,,b'Microsoft Windows Mobile 2003 SE Smartphone',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t550',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t550.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Downloadable animation',b'Class 10',b'No',"b'2005, Q1'",b'Discontinued',b'105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in)',b'98 g (3.46 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',b'No',"b'1000 entries, Photocall'","b'10 received, dialed and missed calls'",,b'No',"b'Yes, with stereo speakers'","b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Removable Li-Ion 860 mAh battery',b'Up to 168 h',b'Up to 9 h',b'Black',b'1.3 MP',b'Yes',,,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t420',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t420.gif',b'GSM',b'GSM 900 / 1800',"b'Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation'",b'Class 8',b'No',"b'2005, Q1'",b'Discontinued',b'62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',b'No',"b'300 entries, Photocall'","b'10 received, dialed and missed calls'",,b'No',b'No',"b'Vibration; Downloadable polyphonic ringtones, composer'",b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',b'No',b'Removable Li-Ion 650 mAh battery',b'Up to 100 h',b'Up to 2 h',b'Black',b'VGA',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t180',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t180.gif',b'GSM',b'GSM 900 / 1800',b'No',b'Class 10',b'No',"b'2006, Q2'",b'Discontinued',b'100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',b'300 entries',"b'10 received, dialed and missed calls'",b'2 MB',b'Voice memo eZi text input Unit Converter World Clock',b'No',"b'Vibration; Downloadable polyphonic, MIDI ringtones'",b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',"b'Yes, MIDP 1.0'",b'Removable Li-Ion 650 mAh battery',b'Up to 250 h',b'Up to 5 h',"b'Navy Blue, Lacquered White'",b'VGA',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'telit',b'Telit t410',b'https://cdn2.gsmarena.com/vv/bigpic/telit-t410.gif',b'GSM',b'GSM 900 / 1800',"b'Second OLED display, 256 colors, 96 x 64 pixels Downloadable animation'",b'Class 8',b'No',"b'2005, Q1'",b'Discontinued',b'52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',b'No',"b'300 entries, Photocall'","b'10 received, dialed and missed calls'",,b'No',b'No',"b'Vibration; Downloadable polyphonic ringtones, composer'",b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',b'No',b'Removable Li-Ion 650 mAh battery',b'Up to 100 h',b'Up to 2 h',b'Black',b'VGA',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
