Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'toshiba',b'Toshiba Excite Go',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',b'No',"b'2014, May'","b'Available. Released 2014, July'",b'199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in)',b'354.4 g (12.49 oz)',b'No',"b'Capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'8 GB, 1 GB RAM'",b'Non-removable Li-Po 3500 mAh battery (13 Wh)',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'',b'No',b'microUSB 2.0',b'Accelerometer',,,,,,,b'Up to 7 h (multimedia)',"b'Black/Silver, Black/White'",b'VGA',b'Yes',,,,,,b'Android 4.4.2 (KitKat)',b'Quad-core 1.33 GHz',,,,b'Intel Atom Z3735G',,,,,,,,,b'About 80 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 7c AT7-B8',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',b'No',"b'2014, February'","b'Available. Released 2014, February'",b'199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in)',b'354.4 g (12.49 oz)',b'No',"b'Capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'microSD (dedicated slot)',,,"b'8 GB, 1 GB RAM'",b'Non-removable Li-Po 3500 mAh battery (13 Wh)',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'microUSB 2.0',b'Accelerometer',,,,,,,b'Up to 11 h (multimedia)',b'Black/Silver',b'VGA',b'Yes',,,,,,b'Android 4.2.2 (Jelly Bean)',b'Dual-core 1.5 GHz Cortex-A9',,,,b'Rockchip RK3168',,,,,,,,,b'About 70 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Pro',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg',b'No cellular connectivity',b'N/A',b'HDMI port',b'No',b'No',"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'630.5 g (1.39 lb)',b'No',"b'LED-backlit IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~299 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'32 GB, 2 GB RAM'",b'Non-removable Li-Po battery (33 Wh)',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,,,b'Up to 11 h (multimedia)',b'Silver',"b'8 MP, AF'",b'Yes',,,,b'LED flash',,"b'Android 4.2.1 (Jelly Bean), upgrad\xd0\xb0ble to 4.3 (Jelly Bean)'",b'Quad-core Cortex-A15',,b'1.2 MP',b'',b'Nvidia Tegra 4',,,,,b'ULP GeForce',,,,b'About 210 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Write',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg',b'No cellular connectivity',b'N/A',b'Stylus',b'No',b'No',"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'671.3 g (1.48 lb)',b'No',"b'LED-backlit IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~299 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'32 GB, 2 GB RAM'",b'HDMI port',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,b'Non-removable Li-Po battery (33 Wh)',,b'Up to 11 h (multimedia)',b'Silver',"b'8 MP, AF'",b'Yes',,,,b'LED flash',,b'Android 4.2.1 (Jelly Bean)',b'Quad-core Cortex-A15',,b'1.2 MP',b'',b'Nvidia Tegra 4',,,,,b'ULP GeForce',,,,b'About 440 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Pure',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',b'No',"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'598.7 g (1.32 lb)',b'No',"b'LED-backlit IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'16 GB, 1 GB RAM'",b'HDMI port',"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,b'Non-removable Li-Po battery (25 Wh)',,b'Up to 13 h 30 min (multimedia)',b'Silver',b'1.2 MP',b'Yes',,,,,,"b'Android 4.2.1 (Jelly Bean), upgrad\xd0\xb0ble to 4.3 (Jelly Bean)'",b'Quad-core',,,,b'Nvidia Tegra 3',,,,,,,,,b'About 230 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 10 SE',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg',b'No cellular connectivity',b'N/A',b'SRS audio',b'No',b'No',"b'2012, December. Released 2012, December'",b'Discontinued',b'261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in)',b'639.6 g (1.41 lb)',b'No',"b'LED-backlit IPS LCD capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~62.7% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'16 GB, 1 GB RAM'",b'Non-removable Li-Po battery (25 Wh)',"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,,,b'Up to 12 h (multimedia)',b'Black/Silver',"b'3.15 MP, AF'",b'Yes',,,,,,b'Android 4.1 (Jelly Bean)',b'Quad-core 1.5 GHz',,b'1.2 MP',b'',b'Nvidia Tegra 3',,,,,b'ULP GeForce 2',,,,b'About 250 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 13 AT335',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'SRS audio',b'Yes',b'Yes',"b'2012, April. Released 2012, July'",b'Discontinued',b'343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in)',b'998 g (2.20 lb)',b'Mini-SIM',"b'LED-backlit IPS LCD capacitive touchscreen, 16M colors'","b'13.3 inches, 644.9 cm2 (~88.8% screen-to-body ratio)'","b'1600 x 900 pixels, 16:9 ratio (~120 ppi density)'","b'SD/microSD, up to 32 GB (dedicated slot)'",,,"b'32/64 GB, 1 GB RAM'",b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',"b'Yes, with four speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,b'Non-removable Li-Po battery (38 Wh)',b'Up to 168 h',b'Up to 13 h',b'Dark gray metallic',"b'5 MP, AF'",b'1080p@30fps',,b'HSDPA',b'HSPA',b'LED flash',,b'Android 4.0 (Ice Cream Sandwich)',b'Quad-core 1.5 GHz',,b'2 MP',b'',b'Nvidia Tegra 3',,,,b'Corning Gorilla Glass',b'ULP GeForce 2',,,,b'About 540 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 10 AT305',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg',b'No cellular connectivity',b'N/A',b'SRS audio',b'No',b'No',"b'2012, April. Released 2012, May'",b'Discontinued',b'262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in)',b'599 g (1.32 lb)',b'No',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'","b'SD/microSD, up to 32 GB (dedicated slot)'",,,"b'16/32/64 GB, 1 GB RAM'",b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'",b'Yes',b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, compass'",,,,,b'Non-removable Li-Po battery (25 Wh)',b'Up to 168 h',b'Up to 10 h',b'Black/Silver',"b'5 MP, AF'",b'720p',,,,b'LED flash',,b'Android 4.0 (Ice Cream Sandwich)',b'Quad-core 1.5 GHz',,b'2 MP',b'',b'Nvidia Tegra 3',,,,b'Corning Gorilla Glass',b'ULP GeForce 2',,,,b'About 290 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 7.7 AT275',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'SRS audio',b'Yes',b'Yes',"b'2012, April. Released 2012, July'",b'Discontinued',b'204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in)',b'332 g (11.71 oz)',b'Mini-SIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'7.7 inches, 171.9 cm2 (~62.2% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~196 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'16/32/64 GB, 1 GB RAM'",b'MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,b'Non-removable Li-Po battery (15 Wh)',,,b'Dark gray metallic',"b'5 MP, AF'",b'720p',,b'HSDPA',b'HSPA',b'LED flash',,b'Android 4.0 (Ice Cream Sandwich)',b'Quad-core 1.5 GHz',,b'2 MP',b'',b'Nvidia Tegra 3',,,,b'Corning Gorilla Glass',b'ULP GeForce 2',,,,b'About 410 EUR',,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite AT200',b'https://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg',b'No cellular connectivity',b'N/A',b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',b'No',b'No',"b'2011, September. Released 2012, January'",b'Discontinued',b'256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in)',b'558 g (1.23 lb)',b'No',"b'LED-backlit LCD, capacitive touchscreen, 16M colors'","b'10.1 inches, 295.8 cm2 (~65.6% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'16/32 GB, 1 GB RAM'",b'Non-removable Li-Ion battery',"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",,,,,,,b'Up to 8 h (multimedia)',b'Black',"b'5 MP, AF'",b'720p',,,,b'LED flash',,b'Android 3.2 (Honeycomb)',b'1.2 GHz',,b'2 MP',b'',b'TI OMAP 4430',,,,,b'PowerVR SGX540',,,,b'About 530 EUR',,,,,,,,,,,,,
