Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'unnecto',b'Unnecto Quattro S',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 1400 mAh battery',,,"b'2016, May'","b'Available. Released 2016, July'",b'124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in)',b'113 g (3.99 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'Capacitive touchscreen',"b'4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 a/b/g/n',b'2.1',"b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 100 h (2G) / Up to 72 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',"b'Black, White, Navy'","b'5 MP, PDAF'",b'720p@30fps',,b'HSDPA 850 / 1900 / 2100',b'HSPA 42.2/21 Mbps',"b'LED flash, HDR, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.2 GHz',,"b'1.3 MP, AF'",b'',,,,,,b'Mali-400',,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Neo V',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Removable Li-Ion 2000 mAh battery',,,"b'2016, May'","b'Available. Released 2016, July'",b'143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in)',b'177 g (6.24 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 200 h (2G) / Up to 175 h (3G)',b'Up to 6 h (2G) / Up to 5 h (3G)',"b'Black, White, Blue'","b'8 MP, PDAF'",b'720p@30fps',,b'HSDPA 850 / 1900 / 2100',b'HSPA 42.2/11.5 Mbps',"b'Dual-LED flash, HDR, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',,"b'1.3 MP, AF'",b'',,,,,,b'Mali-400',,,,,,,,b'LED flash',,,,,,,,b'0.62 W/kg (head) \xc2\xa0 \xc2\xa0 0.96 W/kg (body)',
b'unnecto',b'Unnecto Bolt',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2000 mAh battery',,,"b'2016, June'","b'Available. Released 2016, August'",b'145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in)',b'170 g (6.00 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.1, LE'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,b'Up to 200 h (2G) / Up to 175 h (3G)',b'Up to 6 h (2G) / Up to 5 h (3G)',"b'Black, Silver'","b'8 MP, PDAF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'","b'LED flash, HDR, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.1 GHz',,"b'2 MP, AF'",b'',,,,"b'LTE band 2(1900), 3(1800), 4(1700/2100), 12(700), 17(700)'",,b'Adreno 304',,,,,,,,,,,,,,,,b'1.25 W/kg (head) \xc2\xa0 \xc2\xa0 1.15 W/kg (body)',
b'unnecto',b'Unnecto Quattro V',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Removable Li-Ion 1600 mAh battery',,,"b'2016, May'","b'Available. Released 2016, July'",b'120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in)',b'163 g (5.75 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~59.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",,,,,,b'Up to 160 h (2G) / Up to 140 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',"b'Black, White, Blue'","b'5 MP, PDAF'",b'720p@30fps',,b'HSDPA 850 / 1900 / 2100',b'HSPA 42.2/11.5 Mbps',"b'LED flash, HDR, panorama'",,b'Android 5.1 (Lollipop)',b'Quad-core 1.3 GHz Cortex-A7',,"b'1.3 MP, AF'",b'',,,,,,b'Mali-400',,,,,,,,,,,,,,,,b'0.87 W/kg (head) \xc2\xa0 \xc2\xa0 1.02 W/kg (body)',
b'unnecto',b'Unnecto Drone XS',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Removable Li-Ion 1100 mAh battery',,,"b'2016, May'","b'Available. Released 2016, June'",b'115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in)',b'113 g (3.99 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB'",,,"b'4 GB, 512 MB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'",,,,,,b'Up to 160 h (2G) / Up to 140 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',"b'Black, White, Blue'","b'3 MP, PDAF'",b'720p@30fps',,b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'LED flash, HDR, panorama'",,b'Android 4.4 (KitKat)',b'1.2 GHz Cortex-A7',,"b'1.3 MP, AF'",b'',,,,,,b'Mali-400',,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Primo 2G',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',b'Yes',b'Yes',"b'2016, March'","b'Available. Released 2016, April'",b'110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in)',b'73 g (2.57 oz)',b'Mini-SIM',b'TFT',"b'1.8 inches, 10.2 cm2 (~21.5% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 32 GB'",b'Yes',b'Yes',"b'32 MB, 32 MB RAM'",b'Audio/video player Organizer Voice memo',b'Yes',,b'Yes',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'SMS(threaded view), MMS'",,b'No',b'No',b'Removable Li-Ion 800 mAh battery',b'Up to 160 h',b'Up to 8 h',b'Black/Grey',"b'1 MP, AF'",b'720p@30fps',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Omnia',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 2000 mAh battery',,,"b'2015, January'","b'Available. Released 2015, March'",b'142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in)',b'163 g (5.75 oz)',b'Dual SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 188 h (3G)',b'Up to 6 h 30 min (3G)',"b'Black, White, Gray'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'HSPA, LTE'",b'LED flash',,b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz',,b'3 MP',b'',,,,"b'LTE band 2(1900), 4(1700/2100), 12(700), 17(700)'",,b'Mali-T720',,,b'Up to 24 h',,,,,,,,,,,,,,
b'unnecto',b'Unnecto Swift',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Ion 1600 mAh battery',,,"b'2015, January'","b'Available. Released 2015, March'",b'119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in)',b'120.5 g (4.27 oz)',b'Dual SIM',b'IPS LCD capacitive touchscreen',"b'4.0 inches, 45.5 cm2 (~60.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 1 GB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 188 h (3G)',b'Up to 6 h 30 min (3G)',"b'Black, White, Blue'",b'5 MP',b'1080p@30fps',,b'HSDPA 850 / 1900 / 2100',"b'HSPA, LTE'",b'LED flash',,b'Android 5.1 (Lollipop)',b'Quad-core 1.0 GHz',,b'VGA',b'',,,,"b'LTE band 2(1900), 3(1800), 4(1700/2100), 12(700)'",,b'Mali-T720',,,b'Up to 24 h',,,,,,,,,,,,,,
b'unnecto',b'Unnecto Quattro X',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 1600 mAh battery',,,"b'2015, January'","b'Available. Released 2015, January'",b'123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in)',b'120 g (4.23 oz)',b'Dual SIM (dual stand-by)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.0 inches, 45.5 cm2 (~57.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'","b'microSD, up to 32 GB'",,,"b'4 GB, 512 MB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 45 h (3G)',b'Up to 6 h (3G)',"b'Black, White, Blue'",b'5 MP',b'Yes',,b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'LED flash',,b'Android 4.4.2 (KitKat)',b'Dual-core 1.3 GHz',,b'VGA',b'',,,,,,b'Mali-400',,,b'Up to 24 h',,,,,,,,,,,,,,
b'unnecto',b'Unnecto Drone XL',b'https://cdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Li-Ion 1100 mAh battery',,,"b'2015, January'","b'Available. Released 2015, March'",b'115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in)',b'110 g (3.88 oz)',b'Dual SIM (dual stand-by)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'","b'microSD, up to 32 GB'",,,"b'512 MB, 256 MB RAM'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,b'Up to 40 h (3G)',b'Up to 5 h (3G)',"b'Black, White, Blue'",b'3.15 MP',b'Yes',,b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'LED flash',,b'Android 4.4.2 (KitKat)',b'1.2 GHz',,b'VGA',b'',,,,,,b'Mali-400',,,b'Up to 20 h',,,,,,,,,,,,,,
