Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU
b'vertu',b'Vertu Signature Touch (2015)',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'TD-SCDMA',,,"b'2015, September'","b'Available. Released 2015, October'",b'155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in)',b'225-236 g (8.32 oz)',b'Micro-SIM',"b'Sapphire crystal glass capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~65.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'","b'microSD, up to 256 GB (dedicated slot)'",,,"b'64 GB, 4 GB RAM'",b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 2.0 (MHL), USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 3160 mAh battery',,,"b'Jet Calf, Garnet Calf, Grape Lizard, Pure Jet Lizard, Jet Alligator, Pure Navy Alligator, Clous de Paris Alligator, Pure Jet Red Gold'","b'21 MP, PDAF'",b'Yes',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'Dual-LED dual-tone flash, panorama, HDR'",,b'Android 5.1 (Lollipop)',b'Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57)',,b'2.1 MP',b'',b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',,,"b'LTE band 1(2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800), 25(1900), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)'",b'Sapphire crystal glass',b'Adreno 430',b'Yes',b'Fast battery charging 18W (Quick Charge 2.0) Qi wireless charging',,b'About 9000 EUR',,,,,,,,,,,,,
b'vertu',b'Vertu Aster',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',,,"b'2014, October'","b'Available. Released 2014, December'",b'143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in)',b'193 g (6.81 oz)',b'Nano-SIM',"b'Sapphire crystal glass capacitive touchscreen, 16M colors'","b'4.7 inches, 59.9 cm2 (~60.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~473 ppi density)'",b'No',,,"b'64 GB, 2 GB RAM'",b'Dolby Digital Plus audio enhancement Active noise cancellation with dedicated mic',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, aptX, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 2275 mAh battery',b'Up to 380 h (3G)',b'Up to 15 h 30 min (3G)',"b'Onyx Calf, Lagoon Calf, Blush Calf, Caviar Karung, Tangerine Karung, Raspberry Ostrich, Cognac Ostrich'","b'13 MP, Hasselblad certified, AF'",b'Yes',,b'HSDPA 850 / 900 / 1700 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Dual-LED flash',,b'Android 4.4.2 (KitKat)',b'Quad-core 2.3 GHz Krait 400',,b'2.1 MP',b'',b'Qualcomm Snapdragon 801 (28 nm)',,,"b'LTE band 1(2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 25(1900)'","b'Sapphire crystal glass, oleophobic coating'",b'Adreno 330',b'Yes',b'Qi wireless charging',,b'About 5440 EUR',,,,,,,,,,,,,
b'vertu',b'Vertu Signature Touch',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',,,"b'2014, June'","b'Available. Released 2014, June'",b'145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in)',b'192 g (6.77 oz)',b'Micro-SIM',"b'Sapphire crystal glass capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~60.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~469 ppi density)'",b'No',,,"b'64 GB, 2 GB RAM'",b'Dolby Digital Plus audio enhancement Bang & Olufsen Active noise cancellation with dedicated mic',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 2275 mAh battery',b'Up to 380 h',b'Up to 15 h 30 min',"b'Jet/ Claret leather, pure Jet leather, pure Jet red gold, Seaspray/ Damson/ Pure navy lizard, Jet alligator, Clous De Paris'","b'13 MP, Hasselblad certified, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1700 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Dual-LED flash',,b'Android 4.4.2 (KitKat)',b'Quad-core 2.3 GHz Krait 400',,b'2.1 MP',b'',b'Qualcomm Snapdragon 801 (28 nm)',,,"b'LTE band 1(2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 25(1900)'",b'Scratch-proof glass',b'Adreno 330',b'Yes',,,b'About 8290 EUR',,,,,,,,,,,,b'0.69 W/kg (head) \xc2\xa0 \xc2\xa0 1.29 W/kg (body)',b'0.49 W/kg (head)'
b'vertu',b'Vertu Constellation 2013',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',,,"b'2013, October. Released 2013, October'",b'Discontinued',b'142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in)',b'179 g (6.31 oz)',b'Nano-SIM',"b'Sapphire crystal glass capacitive touchscreen, 16M colors'","b'4.3 inches, 51.0 cm2 (~50.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~342 ppi density)'",b'No',,,b'32 GB',b'Active noise cancellation with dedicated mic',"b'Yes, built-in amplifier'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 1800 mAh battery',b'Up to 405 h (3G)',b'Up to 14 h 30 min (3G)',"b'Cappuccino, Black, Orange, Mocha, Raspberry, Pure Navy Alligator, Pure Plum Alligator'","b'13 MP, AF'",b'Yes',,b'HSDPA 850 / 900 / 1700 / 1900 / 2100',b'HSPA 42.2/5.76 Mbps',b'Dual-LED flash',,b'Android 4.2.2 (Jelly Bean)',b'Dual-core 1.7 GHz',,b'1.3 MP',b'',,,,,b'Scratch-proof glass',,b'Yes',,b'Up to 43 h',b'About 5000 EUR',,,,,,,,,,,,b'0.68 W/kg (head) \xc2\xa0 \xc2\xa0 0.98 W/kg (body)',b'0.49 W/kg (head)'
b'vertu',b'Vertu Ti',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (grade 5)',,,"b'2013, February. Released 2013, February'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'Sapphire crystal glass capacitive touchscreen, 16M colors'","b'3.7 inches, 39.0 cm2'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'64 GB, 1 GB RAM'",b'Active noise cancellation with dedicated mic',"b'Yes, with stereo speakers (Bang&Olufsen;)'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Non-removable Li-Ion battery',,,b'Black/Gray',"b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'LED flash',,b'Android 4.0 (Ice Cream Sandwich)',b'Dual-core 1.7 GHz',,b'1.3 MP',b'',,,,,b'Scratch-resistant glass',,,,,b'About 7900 EUR',,,,,,,,,,,,,
b'vertu',b'Vertu Constellation',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',,,"b'2011, October. Released 2011, October'",b'Discontinued',b'118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in)',b'164g - 199g (7.02 oz)',b'Mini-SIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'3.5 inches, 33.8 cm2 (~52.4% screen-to-body ratio)'","b'360 x 640 pixels, 16:9 ratio (~210 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,,b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'","b'Yes, with A-GPS'",,b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,b'Non-removable Li-Ion 1200 mAh battery (BL-5K)',b'Up to 400 h (2G) / Up to 400 h (3G)',b'Up to 7 h (2G) / Up to 4 h 30 min (3G)',"b'Stain/Polished stainless steel, brown/black/pink leather or black alligator skin'",b'8 MP',"b'720p@25fps, 720p@30fps (via SW update)'",,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA',b'Dual-LED flash',,"b'Symbian^3, upgradable to Nokia Belle OS'",,,,,,,,,"b'Shatter proof sapphire crystal glass, oleophobic coating'",,,,,b'About 2330 EUR',,,,,,,,,,,,,
b'vertu',b'Vertu Ascent Ferrari GT',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Flashlight',,,"b'2011, January. Released 2011, Q2'",b'Discontinued',b'118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in)',b'187 g (6.60 oz)',b'Mini-SIM',"b'TFT, 16M colors'","b'2.0 inches, 12.4 cm2 (~23.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'No',"b'2000 contacts, Photocall'",b'Yes',b'32 GB',b'Sapphire crystal stainless steel keys Chronograph stopwatch',b'Yes',,b'No',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',"b'SMS, MMS, Email'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion battery',b'Up to 300 h (2G) / Up to 300 h (3G)',b'Up to 4 h 50 min (2G) / Up to 4 h (3G)',b'Black',"b'5 MP, AF'",b'Yes',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Constellation Quest',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Optical trackpad',,,"b'2010, October. Released 2010, December'",b'Discontinued',"b'116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in)'",b'165-185 g (6.53 oz)',b'Mini-SIM',"b'TFT, 16M colors'","b'2.46 inches, 18.7 cm2 (~26.5% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~325 ppi density)'","b'microSD, up to 32 GB (dedicated slot), 32 GB included'",,,b'8 GB',b'No',b'Yes',,b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, compass'",,"b'WAP 2.0/xHTML, HTML'",,,b'Non-removable Li-Po 1500 mAh battery',b'Up to 350 h (2G) / Up to 430 h (3G)',b'Up to 7 h 30 min (2G) / Up to 5 h 40 min (3G)',"b'Silver, Pink, Black, Brown, Yellow Gold, Carbon fibre with gold, Carbon fibre'","b'5 MP, AF'",b'Yes',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 10.2/2 Mbps',b'Dual-LED flash',b'QWERTY',b'Symbian OS',,,,,,,,,,,,,,b'About 6140 EUR',,,,,,,,,,,,,
b'vertu',b'Vertu Ascent 2010',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Flashlight',,,"b'2010, April. Released 2010, April'",b'Discontinued',"b'117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in)'",b'170 g (6.00 oz)',b'Mini-SIM',"b'TFT, 16M colors'","b'2.0 inches, 12.4 cm2 (~23.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'No',"b'2000 contacts, Photocall'",b'Yes',"b'8 GB (Aluminium), 32 GB (Titanium)'",b'Sapphire crystal stainless steel keys Chronograph stopwatch',b'Yes',,b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'microUSB 2.0',b'Accelerometer',"b'SMS, MMS, Email'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",b'Non-removable Li-Ion battery',b'Up to 300 h (2G) / Up to 300 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',b'Aluminium and Titanium versions with various colors',"b'5 MP, AF'",b'Yes',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Constellation Ayxta',b'https://cdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',"b'External monochrome display, 128 x 160 pixels'",b'Class 10',b'Class 10',"b'2009, September. Released 2009, October'",b'Discontinued',"b'100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in)'",b'175 g (6.17 oz)',b'Mini-SIM',"b'TFT, 16M colors'","b'2.4 inches, 16.4 cm2 (~34.2% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~194 ppi density)'","b'microSD, up to 8 GB (dedicated slot)'","b'2000 contacts, Photocall'","b'30 received, dialed and missed calls'",b'100 MB',b'1500 calendar notes 1000 SMS',b'Yes',,b'No',b'No',b'2.0',"b'Yes, with A-GPS; Google maps'",b'No',b'2.0',b'',"b'SMS, MMS, Email'",b'WAP 2.0 / xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'Non-removable Li-Ion 1000 mAh battery (BL-4UV)',b'Up to 300 h',b'Up to 5 h 30 min',"b'Black, Dark Brown'","b'3.15 MP, AF'",b'Yes',,,,b'LED flash',,,,b'Yes',,,,,,,b'Scratch-resistant glass',,,,,b'About 5020 EUR',,,,,,,,,,,,,
