Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'yu',b'YU Ace',b'https://cdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Po 4000 mAh battery',,,"b'2018, August'","b'Available. Released 2018, September'",b'148 x 70.5 x 9.6 mm (5.83 x 2.78 x 0.38 in)',b'159 g (5.61 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.45 inches, 76.7 cm2 (~73.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'","b'microSD, up to 128 GB (dedicated slot)'",,,"b'32 GB, 3 RAM or 16 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,,,"b'Charcoal Grey, Elektric Blue, Rose Gold'","b'13 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'LED flash',,b'Android 8.0 (Oreo)',b'Quad-core 1.5 GHz Cortex-A53',,b'5 MP',b'720p@30fps',b'Mediatek MT6739WW (28 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500)'",,b'PowerVR GE8100',,b'Fast battery charging 10W',,b'About 6000 INR',,,,b'LED flash',,,,,,,b'YU5014',,,,
b'yu',b'YU Yureka 2',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2017, September'","b'Available. Released 2017, September'",b'152.6 x 76.5 x 8.2 mm (6.01 x 3.01 x 0.32 in)',b'-',b'Hybrid Dual SIM (Micro-SIM/Nano SIM)',"b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'microSD, up to 128 GB (uses shared SIM slot)'",,,"b'64 GB, 4 GB RAM'",b'Non-removable Li-Ion 3930 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,,,b'Gold',"b'16 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA, LTE'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 6.0 (Marshmallow)',b'Octa-core 2.0 GHz Cortex-A53',,b'8 MP',b'',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',,,"b'LTE band 3(1800), 5(850), 40(2300)'",b'To be confirmed',b'Adreno 506',,b'Fast battery charging 10W',,b'About 12000 INR',,,,,,,,,,,,,,,
b'yu',b'YU Yunique 2',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Removable Li-Po 2500 mAh battery',,,"b'2017, July'","b'Available. Released 2017, July'",b'145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in)',b'159 g (5.61 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'microSD, up to 64 GB (dedicated slot)'",,,"b'16 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity'",,,,,,,,"b'Champagne Gold, Coal Black'","b'13 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 7.0 (Nougat)',b'Quad-core 1.3 GHz Cortex-A53',,b'5 MP',b'',b'Mediatek MT6737 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Mali-T720',,,,b'About 6000 INR',,,,,,,,,,,b'YU5011',,,,
b'yu',b'YU Yureka Black',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2017, June'","b'Available. Released 2017, June'",b'142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in)',b'152 g (5.36 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.0 inches, 68.9 cm2 (~69.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'","b'microSD, up to 64 GB (uses shared SIM slot)'",,,"b'32 GB, 4 GB RAM'",b'Non-removable Li-Po 3000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'",,,,,,b'Up to 168 h (2G) / Up to 168 h (3G)',b'Up to 28 h (2G) / Up to 21 h (3G)',"b'Matte Black, Chrome Black'","b'13 MP, 1/3"", 1.12\xc2\xb5m, PDAF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'","b'Dual-LED flash, panorama'",,b'Android 6.0 (Marshmallow)',b'Octa-core 1.4 GHz Cortex-A53',,b'8 MP',b'',b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',,,"b'LTE band 1(2100), 3(1800), 5(850), 40(2300)'",b'Corning Gorilla Glass 3',b'Adreno 505',,,,b'About 9000 INR',,,,,,,,,,,b'YU5040',,,,
b'yu',b'YU Yunique Plus',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 2000 mAh battery',,,"b'2016, August'","b'Available. Released 2016, August'",b'8.3 mm thickness',b'128 g (4.52 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'","b'microSD, up to 32 GB'",,,"b'8 GB, 2 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, aptX'","b'Yes, with A-GPS, GLONASS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity'",,,,,,b'Up to 345 h',b'Up to 7 h',b'Black',"b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 5.1.1 (Lollipop)',b'Quad-core 1.2 GHz Cortex-A53',,b'2 MP',b'',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Adreno 306',,,b'Up to 12 h',b'About 80 EUR',,,,b'HDR',,,,,,,,,,,
b'yu',b'YU Yureka S',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Active noise cancellation with dedicated mic',,,"b'2016, August'","b'Available. Released 2016, August'",b'154.8 x 78 x 8.8 mm (6.09 x 3.07 x 0.35 in)',b'172 g (6.07 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~61.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'","b'microSD, up to 128 GB (uses shared SIM slot)'",,,"b'16 GB, 3 GB RAM'",b'Non-removable Li-Ion 3000 mAh battery',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,b'Up to 450 h',b'Up to 9 h',"b'Dark Grey, Rose Gold, White'","b'13 MP, f/2.2, 1/3"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'LED flash, panorama'",,b'Android 5.1.1 (Lollipop)',b'Octa-core (4x1.7 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53)',,"b'5 MP, f/2.2'",b'',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Adreno 405',,,,b'About 170 EUR',,,,,,,,,,,,,,,
b'yu',b'YU Yunicorn',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Around YU 2',,,"b'2016, May'","b'Available. Released 2016, June'",b'153.3 x 75.4 x 8.5 mm (6.04 x 2.97 x 0.33 in)',b'172 g (6.07 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~72.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'32 GB, 4 GB RAM'",b'DTS sound Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'",,,,,b'Non-removable Li-Po 4000 mAh battery',b'Up to 500 h (3G)',b'Up to 20 h (3G)',"b'Silver, graphite, gold'","b'13 MP, f/2.2, PDAF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED dual-tone flash, HDR, panorama'",,b'Android 5.1.1 (Lollipop)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',,"b'5 MP, f/2.0'",b'',b'Mediatek MT6755 Helio P10 (28 nm)',,,"b'LTE band 3(1800), 5(850), 40(2300)'",,b'Mali-T860MP2',,,b'Up to 100 h',b'About 180 EUR',,,,,,,,,,,b'YU5530',b'0.52 W/kg (head) \xc2\xa0 \xc2\xa0 0.81 W/kg (body)',,,
b'yu',b'YU Yureka Note',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'DTS sound Active noise cancellation with dedicated mic',,,"b'2016, April'","b'Available. Released 2016, May'",b'159 x 84.1 x 7.9 mm (6.26 x 3.31 x 0.31 in)',b'184 g (6.49 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 99.2 cm2 (~74.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~367 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'16 GB, 3 GB RAM'",b'Non-removable Li-Po 4000 mAh battery',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",,,,,,,,b'Black',"b'13 MP, PDAF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED flash, HDR, panorama'",,b'Android 5.1.1 (Lollipop)',b'Octa-core 1.5 GHz Cortex-A53',,b'8 MP',b'',b'Mediatek MT6753 (28 nm)',,,b'LTE (unspecified)',b'Corning Concore Glass 3',b'Mali-T720MP3',,b'Fast battery charging 18W (Quick Charge 2.0)',,b'About 180 EUR',,,,,,,,,,,"b'U60, 6000'",,,,
b'yu',b'YU Yutopia',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'DTS sound Active noise cancellation with dedicated mic',,,"b'2015, December'","b'Available. Released 2015, December'",b'146.6 x 72.7 x 7.2 mm (5.77 x 2.86 x 0.28 in)',b'159 g (5.61 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~565 ppi density)'","b'microSD, up to 256 GB (uses shared SIM slot)'",,,"b'32 GB, 4 GB RAM'",b'Non-removable Li-Po 3000 mAh battery',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB Host'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass'",,,,,,b'Up to 300 h (3G)',b'Up to 8 h (3G)',b'Silver',"b'21 MP, f/2.2, 27mm (wide), 1/2.4"", 1.12\xc2\xb5m, PDAF, OIS'","b'2160p@30fps, 720p@120fps'",,b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'Dual-LED dual-tone flash, HDR, panorama'",,"b'Android 5.1.1 (Lollipop), Cyanogen 12.1'",b'Octa-core (4x2.0 GHz Cortex A57 & 4x1.5 GHz Cortex-A53)',,"b'8 MP, f/2.2, 1/3.2"", 1.4\xc2\xb5m'",b'',b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',,,"b'LTE band 3(1800), 5(850), 7(2600), 20(800), 40(2300)'",b'Corning Concore Glass',b'Adreno 430',,b'Fast battery charging 18W (Quick Charge 2.0)',,b'About 420 EUR',,,,,,,,,,,,,,,
b'yu',b'YU Yunique',b'https://cdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Non-removable Li-Po 2000 mAh battery',,,"b'2015, September'","b'Available. Released 2015, September'",b'134.5 x 67.5 x 8.3 mm (5.30 x 2.66 x 0.33 in)',b'128 g (4.52 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'4.7 inches, 60.9 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'","b'microSD, up to 32 GB (dedicated slot)'",,,"b'8 GB, 1 GB RAM'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, aptX'","b'Yes, with A-GPS, GLONASS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB Host'","b'Accelerometer, proximity'",,,,,,b'Up to 271 h',b'Up to 7 h',b'Black',"b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'LED flash, HDR, panorama'",,b'Android 5.1.1 (Lollipop)',b'Quad-core 1.2 GHz Cortex-A53',,b'2 MP',b'',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',,,"b'LTE band 3(1800), 40(2300)'",b'Corning Gorilla Glass 3',b'Adreno 306',,,,b'About 70 EUR',,,,b'HDR',,,,,,,b'YU4711',,,,
